date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume,atr
2019-05-16,54.35,56.4,54.12,55.93,46057815,241250,55.641157,55.55,True,True,1654866.0,1.3635714285714289
2019-05-17,55.78,56.83,55.52,56.35,27299746,159745,56.415285,56.515,False,False,1810166.0,1.409285714285714
2019-05-20,55.79,56.39,55.5513,56.01,21127577,131013,55.983043,56.12,True,False,655984.0,1.4263357142857143
2019-05-21,56.63,56.75,56.13,56.52,18562320,103132,56.444864,56.41,True,True,530315.0,1.419192857142857
2019-05-22,56.24,56.3,55.67,55.69,19479165,103505,55.936258,55.9199,False,False,655906.0,1.4034785714285714
2019-05-23,54.98,55.01,53.94,54.19,22734249,133352,54.309674,54.63,False,False,544184.0,1.4706214285714283
2019-05-24,54.57,54.67,54.06,54.37,13067787,89267,54.367279,54.24,True,True,629223.0,1.4156214285714286
2019-05-28,54.73,55.03,53.82,53.93,29769282,99358,54.219163,54.71,False,False,545806.0,1.3841928571428568
2019-05-29,53.44,53.55,52.855,53.18,19762122,115564,53.223042,53.39,False,False,576846.0,1.4031214285714289
2019-05-30,53.44,53.78,53.335,53.57,12954318,81797,53.554908,53.6,True,False,428494.0,1.357407142857143
2019-05-31,52.79,52.88,52.01,52.03,20480449,116394,52.255569,52.31,True,False,505566.0,1.3545500000000008
2019-06-03,52.05,52.565,51.485,51.78,22399790,141422,52.003159,52.43,True,False,585765.0,1.2674071428571436
2019-06-04,52.48,53.635,52.41,53.23,21689299,126574,53.129096,53.19,True,True,872499.0,1.318478571428572
2019-06-05,53.85,54.79,53.75,54.75,22525717,133965,54.304776,53.975,False,True,1050256.0,1.3570500000000005
2019-06-06,54.89,55.3,54.21,55.1,15927322,98924,54.825379,54.42,True,True,944168.0,1.1520500000000002
2019-06-07,55.41,56.3,55.03,55.93,17394941,103165,55.940786,56.045,True,False,846714.0,1.1491928571428573
2019-06-10,56.14,56.65,55.96,56.42,16871195,108911,56.427495,56.45,False,False,566147.0,1.1407142857142856
2019-06-11,56.82,57.56,56.73,57.11,26723748,120381,57.172353,57.22,False,False,985865.0,1.169285714285714
2019-06-12,56.05,56.585,55.65,55.86,23183028,117640,56.048226,56.3539,True,False,833376.0,1.2128571428571426
2019-06-13,56.0,56.265,55.78,56.17,15795892,83523,56.063,56.04,False,True,640450.0,1.1224999999999998
2019-06-14,55.99,56.015,54.66,54.75,22530450,115630,54.954398,55.035,True,False,755214.0,1.1867857142857143
2019-06-17,54.99,55.47,54.86,55.4,20392873,102052,55.299782,55.19,False,True,541913.0,1.1517857142857142
2019-06-18,56.07,56.65,55.75,56.05,21173211,118909,56.253984,56.49,True,False,705792.0,1.1642857142857141
2019-06-19,56.04,56.37,55.77,56.13,21096325,112572,56.139472,56.21,True,False,472994.0,1.1642857142857135
2019-06-20,57.0,57.535,56.68,57.41,20969787,106861,57.196746,57.221,True,True,565089.0,1.1532142857142844
2019-06-21,57.5,58.15,56.98,57.03,58276369,126712,57.279502,57.99,True,False,822553.0,1.159642857142856
2019-06-24,57.23,57.29,56.69,57.18,17815224,94406,57.05229,56.829,False,True,615260.0,1.0699999999999992
2019-06-25,57.06,57.2,56.01,56.08,25555165,107083,56.392025,57.03,False,False,473507.0,1.043571428571428
2019-06-26,56.54,57.045,56.36,56.6,19286146,103827,56.688045,56.57,True,True,562871.0,1.0346428571428572
2019-06-27,56.96,57.25,55.47,55.73,23959954,110582,56.052095,56.385,False,False,729519.0,1.071071428571429
2019-06-28,55.91,55.98,54.025,54.73,103123709,195047,54.678703,55.16,False,False,794449.0,1.1592857142857145
2019-07-01,55.24,55.35,54.225,54.74,28573570,153213,54.711037,54.52,True,True,1488904.0,1.1582142857142859
2019-07-02,54.82,55.92,54.7758,55.81,20314657,103900,55.592349,55.655,False,True,883636.0,1.1382142857142858
2019-07-03,55.77,56.54,55.54,56.48,13866804,65832,56.13808,55.875,True,True,582279.0,1.1750000000000003
2019-07-05,56.0,56.73,55.71,56.6,14273870,66283,56.352205,55.78,False,True,402968.0,1.1399999999999995
2019-07-08,56.12,56.475,55.96,56.19,15857601,82206,56.214273,56.275,True,False,526651.0,1.134285714285714
2019-07-09,56.34,56.69,56.04,56.34,19564052,101103,56.378478,56.55,True,False,677953.0,1.091428571428571
2019-07-10,56.64,57.65,56.6,57.13,19434039,102215,57.171059,57.52,True,False,729047.0,1.1421428571428567
2019-07-11,57.42,57.62,56.92,57.3,15994650,84199,57.252455,57.0667,True,True,277211.0,1.0917857142857141
2019-07-12,57.58,57.99,57.57,57.95,13662070,80812,57.865136,57.69,False,True,503834.0,1.0574999999999999
2019-07-15,58.0,58.23,57.87,58.05,8809738,51337,57.99988,57.955,False,True,331721.0,1.0403571428571428
2019-07-16,58.1,58.26,57.46,57.62,11501067,63439,57.778993,58.165,True,False,232660.0,1.0124999999999993
2019-07-17,57.57,57.79,57.19,57.21,9266851,51161,57.412914,57.4221,False,False,288272.0,0.9864285714285705
2019-07-18,57.05,57.79,56.9,57.74,10293515,56768,57.439422,57.28,False,True,208760.0,0.9228571428571419
2019-07-19,57.86,58.07,57.32,57.36,13883347,76913,57.656042,57.8,False,False,251679.0,0.8367857142857135
2019-07-22,57.54,58.01,57.37,57.73,10485787,56435,57.73155,57.59,True,True,402920.0,0.8028571428571419
2019-07-23,58.06,58.095,57.48,57.71,12693887,60606,57.736666,57.77,True,False,417827.0,0.7624999999999993
2019-07-24,57.6,57.68,57.11,57.23,18176990,77943,57.277006,57.33,False,False,555797.0,0.7339285714285708
2019-07-25,57.4,57.5,56.37,56.62,15127255,84052,56.679157,56.945,False,False,521195.0,0.7417857142857142
2019-07-26,56.69,56.84,56.37,56.53,15264645,70189,56.523889,56.505,False,True,381742.0,0.7296428571428574
