date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume,atr
2019-05-16,1164.21,1188.16,1162.84,1178.98,1531404,36840,1180.018911,1187.2301,True,False,113250.0,32.91652857142857
2019-05-17,1168.47,1180.15,1160.01,1162.3,1208628,29330,1168.422838,1175.56,False,False,24075.0,32.71402142857145
2019-05-20,1144.5,1146.7967,1131.4425,1138.85,1361702,30146,1139.974029,1141.25,False,False,66052.0,26.87670000000001
2019-05-21,1148.59,1152.7077,1137.94,1149.63,1160158,25031,1147.809253,1147.66,True,True,52755.0,26.41010714285715
2019-05-22,1146.97,1158.52,1145.89,1151.42,914839,22310,1153.022047,1153.9404,False,False,31256.0,25.9417
2019-05-23,1140.5,1145.9725,1129.224,1140.77,1199307,29106,1137.899898,1140.54,True,True,32181.0,25.799271428571437
2019-05-24,1147.36,1149.765,1131.66,1133.47,1112341,28162,1139.748091,1142.25,False,False,40399.0,25.336057142857157
2019-05-28,1134.0,1151.5871,1133.12,1134.15,1365166,26935,1139.984541,1145.03,True,False,53176.0,24.55513571428573
2019-05-29,1127.52,1129.1,1108.2201,1117.0,1538216,38372,1116.610694,1119.72,False,False,52373.0,25.358392857142885
2019-05-30,1115.54,1123.13,1112.12,1117.95,951873,24521,1117.348473,1120.375,True,False,43724.0,24.80125000000003
2019-05-31,1102.3,1109.6,1100.18,1103.63,1508211,35514,1105.051386,1105.9461,False,False,38798.0,23.92053571428575
2019-06-03,1065.5,1065.5,1025.0,1036.23,5132081,117258,1036.537922,1035.3138,False,True,155841.0,26.525535714285752
2019-06-04,1042.9,1056.05,1033.69,1053.05,2844784,56324,1046.445718,1041.175,False,True,109452.0,26.631964285714307
2019-06-05,1051.54,1053.55,1030.49,1042.22,2168707,52049,1040.549908,1034.56,True,True,88297.0,24.37451428571431
2019-06-06,1044.93,1047.49,1033.7,1044.34,1703244,34842,1040.410721,1043.305,True,True,88097.0,23.550942857142868
2019-06-07,1050.0,1070.92,1048.4,1066.04,1802370,42029,1062.651904,1059.94,True,True,103773.0,24.010942857142872
2019-06-10,1072.98,1092.66,1072.3216,1080.38,1464248,31902,1083.308586,1083.215,True,False,55451.0,23.708264285714318
2019-06-11,1093.98,1101.99,1077.6025,1078.72,1437063,35847,1089.378975,1098.1892,False,False,53193.0,24.3953928571429
2019-06-12,1079.13,1080.93,1067.54,1077.03,1061260,28094,1074.535985,1071.03,True,True,62334.0,24.44967857142863
2019-06-13,1082.26,1094.17,1080.15,1088.77,1058000,23338,1088.597024,1090.54,False,False,50938.0,24.088535714285772
2019-06-14,1086.42,1092.69,1080.1721,1085.35,1111643,26824,1085.591948,1083.14,True,True,27454.0,23.689457142857204
2019-06-17,1086.28,1099.18,1086.28,1092.31,941602,23351,1094.142994,1096.07,True,False,27168.0,23.35823571428578
2019-06-18,1107.82,1116.39,1098.99,1103.6,1386688,34904,1108.346565,1111.06,False,False,51937.0,23.22610000000007
2019-06-19,1105.6,1107.0,1093.48,1102.33,1339218,32820,1099.424508,1095.06,True,True,31879.0,23.405385714285767
2019-06-20,1119.99,1120.12,1104.74,1111.42,1262011,29096,1111.000004,1111.35,False,True,38307.0,23.40681428571434
2019-06-21,1109.24,1124.11,1108.08,1121.88,1951423,34053,1117.947843,1120.76,True,True,55292.0,18.935385714285758
2019-06-24,1118.0,1122.0,1111.01,1115.52,1395706,31204,1116.279028,1120.565,False,False,38282.0,18.12324285714291
2019-06-25,1112.66,1114.35,1083.8,1086.35,1549337,37305,1092.180991,1091.76,False,False,63981.0,18.741814285714344
2019-06-26,1086.5,1092.97,1072.24,1079.8,1810869,40683,1080.7248,1087.56,False,False,56626.0,19.237528571428633
2019-06-27,1084.0,1087.1,1075.29,1076.01,1004477,24986,1080.084273,1080.3,False,False,28927.0,18.182528571428616
2019-06-28,1075.3,1081.0,1073.37,1080.91,1693525,34727,1077.718922,1075.02,True,True,31395.0,16.826100000000046
2019-07-01,1098.0,1107.58,1093.703,1097.95,1473300,33571,1098.811805,1097.715,False,True,69270.0,16.989135714285744
2019-07-02,1100.52,1111.77,1098.17,1111.25,991759,25397,1105.984269,1107.1,True,True,48570.0,17.01985000000002
2019-07-03,1117.41,1126.76,1113.86,1121.58,767011,20735,1121.529005,1126.3816,True,False,58807.0,16.90342142857144
2019-07-05,1116.14,1132.88,1116.14,1131.59,1264540,25034,1126.826369,1117.81,False,True,40840.0,17.20500000000001
2019-07-08,1125.17,1125.98,1111.21,1116.35,1238034,26392,1116.169864,1117.7053,True,False,38132.0,17.672857142857133
2019-07-09,1111.8,1128.025,1107.17,1124.83,1330599,29589,1121.570728,1118.7424,True,True,37343.0,17.442499999999978
2019-07-10,1131.22,1142.05,1130.97,1140.48,1209467,31562,1137.369077,1138.9116,True,True,42178.0,17.706785714285697
2019-07-11,1143.25,1153.07,1139.58,1144.21,1195569,27467,1146.296148,1146.79,False,False,56772.0,17.399642857142844
2019-07-12,1143.99,1147.34,1138.78,1144.9,863973,21423,1144.02948,1140.55,False,True,22677.0,16.866071428571413
2019-07-15,1146.86,1150.82,1139.4,1150.34,903784,21260,1146.799642,1146.4791,True,True,34561.0,16.896785714285688
2019-07-16,1145.0,1158.58,1145.0,1153.58,1238820,28561,1153.362306,1155.876,True,False,89323.0,15.601071428571393
2019-07-17,1152.07,1158.36,1145.77,1146.35,1170050,25299,1149.417542,1149.5153,False,False,33482.0,15.019642857142815
2019-07-18,1141.74,1147.605,1132.73,1146.33,1291282,24710,1142.159943,1143.52,False,True,29039.0,15.23857142857139
2019-07-19,1150.0,1151.14,1129.62,1130.1,1647245,27064,1137.665827,1143.975,False,False,23601.0,16.230714285714253
2019-07-22,1133.45,1139.25,1124.24,1138.07,1301846,28877,1133.528543,1126.78,True,True,50224.0,15.397857142857122
2019-07-23,1144.0,1146.9,1131.8,1146.21,1093688,26867,1140.595733,1135.97,True,True,43062.0,15.489285714285709
2019-07-24,1131.9,1144.0,1126.99,1137.81,1590102,33437,1136.085883,1143.8175,True,False,40729.0,15.754285714285711
2019-07-25,1137.82,1141.7,1120.92,1132.12,2209823,62618,1149.701707,1130.125,True,True,66448.0,16.042857142857137
2019-07-26,1225.0,1265.5499,1224.0,1250.41,4807300,123880,1249.078178,1245.53,True,True,165356.0,24.117850000000008
2019-07-29,1241.05,1247.37,1228.23,1239.41,2223741,50477,1237.279949,1233.3,False,True,83430.0,24.21249285714287
2019-07-30,1223.43,1234.87,1223.3,1225.14,1549363,30602,1227.642218,1227.66,False,False,35340.0,24.133207142857163
2019-07-31,1223.0,1234.0,1207.7635,1216.68,1725466,42516,1223.492067,1225.17,False,False,41293.0,25.043671428571447
2019-08-01,1213.14,1234.11,1205.72,1209.01,1968510,41681,1219.758659,1230.5015,True,False,45099.0,26.46010000000001
2019-08-02,1200.74,1206.9,1188.94,1193.99,1645077,41045,1195.494987,1193.25,False,True,77480.0,27.077957142857162
2019-08-05,1170.04,1175.24,1140.14,1152.32,2602856,59098,1155.936209,1161.03,False,False,100202.0,29.95438571428573
2019-08-06,1163.01,1179.96,1160.0,1169.95,1709374,38589,1169.870111,1175.79,True,False,40428.0,31.029385714285745
2019-08-07,1156.0,1178.4451,1149.6239,1173.99,1444345,36657,1168.465272,1170.7,True,True,48816.0,32.025542857142874
2019-08-08,1182.83,1205.01,1173.02,1204.8,1467997,34166,1195.494047,1187.78,True,True,37767.0,32.7734
2019-08-09,1195.71,1203.88,1183.603,1188.01,1065662,27697,1191.442281,1189.32,False,False,41885.0,33.21532857142857
2019-08-12,1179.21,1184.96,1167.6723,1174.71,1003187,23170,1176.129517,1178.643,False,False,17451.0,33.58944999999999
2019-08-13,1171.46,1204.78,1171.46,1197.27,1318009,33446,1195.71335,1199.17,False,False,43526.0,34.596592857142845
2019-08-14,1176.31,1182.3,1160.54,1164.29,1578668,38239,1168.387271,1174.4,False,False,40774.0,35.73587857142856
2019-08-15,1164.32,1175.84,1162.11,1167.26,1224753,32353,1168.853923,1170.25,True,False,36203.0,27.185885714285696
2019-08-16,1179.55,1182.72,1171.81,1177.6,1349436,32453,1177.737057,1179.39,True,False,40973.0,26.705885714285696
2019-08-19,1190.09,1206.99,1190.09,1198.45,1232617,30179,1199.339083,1199.315,True,False,33094.0,27.654457142857122
2019-08-20,1195.25,1196.06,1182.11,1182.69,919905,20183,1187.061724,1189.7327,False,False,24412.0,26.947564285714275
2019-08-21,1193.15,1199.0,1187.43,1191.25,741058,18373,1193.512859,1194.6247,False,False,21236.0,26.084707142857138
2019-08-22,1194.07,1198.0115,1178.58,1189.53,947906,22769,1188.491529,1179.28,False,True,58893.0,26.039100000000012
2019-08-23,1181.99,1194.08,1147.75,1151.29,1688271,42602,1160.79035,1190.315,True,False,44083.0,25.501957142857155
2019-08-26,1157.26,1169.47,1152.96,1168.89,1226616,30691,1161.645653,1157.0,True,True,64289.0,24.826242857142866
2019-08-27,1180.53,1182.4,1161.45,1167.84,1077452,27373,1169.039392,1171.747,False,False,22429.0,24.264014285714307
2019-08-28,1161.71,1176.4199,1157.3,1171.02,802243,21939,1169.863644,1173.1145,True,False,29045.0,23.34472142857146
2019-08-29,1181.12,1196.06,1181.12,1192.85,1088858,30950,1192.189229,1187.2095,False,True,46359.0,23.619221428571468
2019-08-30,1196.75,1198.5,1183.8026,1188.1,1129959,25778,1189.00877,1192.24,True,False,19015.0,23.216342857142894
2019-09-03,1177.03,1186.89,1163.2,1168.39,1481687,34058,1173.581029,1181.7113,True,False,32830.0,22.614914285714317
2019-09-04,1178.13,1183.48,1171.0,1181.41,1070221,25898,1177.876435,1172.98,False,True,38736.0,21.069200000000023
2019-09-05,1191.53,1213.04,1191.53,1211.38,1408601,38544,1207.040805,1205.4,False,True,77165.0,22.34777142857144
2019-09-06,1208.13,1212.015,1202.5222,1204.93,1072143,26517,1206.970436,1208.97,True,False,38345.0,21.921542857142867
2019-09-09,1204.0,1220.0,1192.62,1204.41,1471881,37759,1206.470543,1216.9,True,False,43901.0,21.77797142857144
2019-09-10,1195.15,1210.0,1194.58,1206.0,1260115,33277,1202.28904,1201.8777,True,True,46831.0,21.712257142857148
2019-09-11,1203.41,1222.6,1202.2,1220.17,1307078,33634,1217.163541,1217.82,True,True,40045.0,22.0044
2019-09-12,1224.3,1241.86,1223.02,1234.25,1725918,44918,1235.673823,1237.83,True,False,57122.0,22.165721428571405
2019-09-13,1231.35,1240.88,1227.01,1239.56,1301400,31278,1235.242094,1235.17,True,True,40519.0,19.847149999999992
2019-09-16,1229.52,1239.56,1225.61,1231.3,1053299,26385,1231.918008,1234.9919,False,False,51221.0,19.545007142857134
2019-09-17,1230.4,1235.0,1223.69,1229.15,958112,22549,1227.638824,1226.9204,True,True,42783.0,18.8564357142857
2019-09-18,1227.51,1235.61,1216.53,1232.41,1144336,26416,1227.852056,1229.4508,True,True,36549.0,18.853585714285682
2019-09-19,1232.06,1244.44,1232.02,1238.71,1000155,27397,1239.397663,1243.58,False,False,35045.0,17.952157142857118
2019-09-20,1236.55,1243.32,1223.08,1229.93,2337269,30611,1232.786891,1235.6663,False,False,40228.0,18.34805714285712
2019-09-23,1226.0,1239.09,1224.17,1234.03,1077130,23985,1233.833539,1231.7,False,True,34693.0,17.635199999999973
2019-09-24,1240.0,1246.74,1210.68,1218.76,1591801,37153,1227.042544,1240.1,False,False,29994.0,19.13305714285712
2019-09-25,1213.77,1248.3,1210.09,1246.52,1598392,32942,1234.462799,1221.39,True,True,43195.0,19.60305714285713
2019-09-26,1241.96,1245.0,1232.268,1241.39,1561885,39375,1239.068603,1238.65,True,True,47626.0,19.942999999999984
2019-09-27,1243.01,1244.02,1214.45,1225.09,1354767,49172,1226.572613,1233.06,True,False,38160.0,20.099428571428543
2019-09-30,1220.97,1226.0,1212.3,1219.0,1428763,44854,1219.015158,1215.75,False,True,30394.0,19.976571428571397
2019-10-01,1219.01,1231.23,1203.58,1205.1,1358280,36507,1212.107694,1215.7829,False,False,42769.0,20.494428571428557
2019-10-02,1195.0,1196.99,1171.29,1176.63,1639237,51999,1179.046653,1182.0301,False,False,70198.0,21.36014285714285
2019-10-03,1180.0,1189.06,1162.43,1187.83,1663701,47298,1180.264261,1171.555,False,True,63353.0,22.271571428571406
2019-10-04,1191.8,1211.44,1189.17,1209.0,1183264,34915,1203.761704,1196.35,False,True,34337.0,22.96157142857141
2019-10-07,1204.4,1218.2036,1203.75,1207.68,867149,27144,1211.026523,1211.7382,False,False,29697.0,23.186114285714275
2019-10-08,1197.59,1206.08,1189.01,1189.13,1141784,32405,1194.261519,1193.58,True,False,37705.0,23.156828571428573
2019-10-09,1199.35,1208.35,1197.63,1202.31,876632,29165,1202.523966,1201.1268,True,True,24765.0,23.64254285714284
2019-10-10,1198.58,1215.0,1197.34,1208.67,932531,26414,1207.996963,1210.0,False,False,19352.0,23.45825714285713
2019-10-11,1222.21,1228.39,1213.74,1215.45,1277268,36794,1222.641647,1222.74,False,False,43521.0,23.801114285714284
2019-10-14,1212.34,1226.33,1211.76,1217.14,882053,24896,1219.991489,1224.33,False,False,42316.0,22.266114285714284
2019-10-15,1220.4,1247.33,1220.4,1243.01,1395397,143568,1235.917581,1235.6336,True,True,35812.0,21.693257142857128
2019-10-16,1240.83,1254.74,1238.45,1243.64,1168186,29325,1246.199659,1250.5,False,False,55760.0,21.838828571428557
2019-10-17,1250.98,1263.325,1249.94,1253.07,980510,26214,1254.396853,1255.94,False,False,47744.0,21.132757142857127
2019-10-18,1254.42,1258.89,1241.08,1245.49,1354219,30647,1249.19284,1250.3,False,False,48902.0,21.426328571428567
2019-10-21,1252.26,1254.6287,1240.6,1246.15,1038042,23129,1246.998942,1247.3354,False,False,34051.0,20.453378571428566
2019-10-22,1247.85,1250.6,1241.38,1242.8,1051068,26941,1245.344191,1249.24,True,False,42827.0,18.696949999999983
2019-10-23,1242.36,1259.89,1242.36,1259.13,928595,25049,1255.049639,1253.5649,False,True,33810.0,18.046950000000006
2019-10-24,1260.9,1264.0,1253.715,1260.99,1039913,26139,1259.545335,1256.56,True,True,29391.0,17.095164285714286
2019-10-25,1251.03,1269.6,1250.01,1265.13,1213051,29643,1263.370069,1263.25,True,True,33438.0,17.462049999999994
2019-10-28,1275.45,1299.31,1272.54,1290.0,2613237,70392,1287.219659,1287.12,False,True,83915.0,18.56990714285712
2019-10-29,1276.23,1281.59,1257.2119,1262.62,1886383,51419,1263.848076,1273.355,True,False,75077.0,19.539057142857132
