date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume,atr
2019-05-16,49.27,49.66,49.21,49.58,17771783,61280,49.467488,49.47,False,True,336957.0,0.6489785714285716
2019-05-17,49.3,49.55,49.174,49.2,11257015,55614,49.302628,49.29,False,False,226212.0,0.653692857142857
2019-05-20,49.03,49.14,48.76,48.85,13850532,59997,48.888321,48.97,False,False,270307.0,0.6286928571428574
2019-05-21,49.0,49.03,48.445,48.6,10587371,55944,48.599541,48.625,False,False,290783.0,0.6329785714285714
2019-05-22,48.81,49.71,48.72,49.65,16050700,80262,49.354517,49.11,False,True,471431.0,0.6768571428571428
2019-05-23,49.5,49.9,49.4601,49.85,12199513,70358,49.754807,49.605,False,True,275431.0,0.6675642857142857
2019-05-24,49.85,49.89,49.53,49.61,6887900,42076,49.687027,49.79,True,False,229423.0,0.6604214285714285
2019-05-28,49.6,49.67,49.03,49.1,18614225,54669,49.190797,49.365,False,False,195021.0,0.6561357142857146
2019-05-29,48.89,49.03,48.41,48.61,12534850,65715,48.65813,48.725,False,False,212587.0,0.6761357142857152
2019-05-30,48.73,49.31,48.67,49.25,9087412,51026,49.04522,48.88,True,True,420316.0,0.6611357142857156
2019-05-31,49.03,49.31,48.78,49.13,11369039,57806,49.112764,49.01,False,True,867677.0,0.6350642857142869
2019-06-03,49.16,49.98,49.02,49.98,14184313,73221,49.687626,49.26,False,True,216512.0,0.6707785714285721
2019-06-04,50.0,50.28,49.615,50.0,12010729,69867,49.93146,49.82,False,True,409150.0,0.6275642857142861
2019-06-05,50.0,51.14,49.685,50.78,15838264,80339,50.748511,50.67,True,True,972437.0,0.6757785714285716
2019-06-06,50.91,51.54,50.59,51.4,15190441,69429,51.292636,51.155,True,True,309089.0,0.70935
2019-06-07,51.5,52.185,51.45,51.49,15293561,77803,51.757893,51.93,True,False,315479.0,0.736421428571429
2019-06-10,51.47,51.54,51.09,51.38,9737469,56164,51.28908,51.35,True,True,226606.0,0.7371357142857141
2019-06-11,51.45,51.59,51.18,51.33,9916035,59574,51.36249,51.435,True,False,271832.0,0.7246357142857143
2019-06-12,51.5,52.135,51.47,51.64,11088707,58453,51.723927,51.79,False,False,691878.0,0.70285
2019-06-13,51.46,51.7,50.775,51.13,10353647,62825,51.014105,51.02,False,True,418216.0,0.7375000000000002
2019-06-14,51.05,51.53,51.05,51.31,8694290,44170,51.333792,51.31,True,False,192741.0,0.746071428571429
2019-06-17,51.31,51.48,50.61,50.87,12322605,49891,50.860401,50.83,True,True,210209.0,0.7625000000000003
2019-06-18,51.28,51.3,50.53,50.64,9221096,50577,50.707868,50.65,False,False,252211.0,0.7682142857142854
2019-06-19,50.56,51.24,50.47,51.12,9414126,52401,50.926094,50.53,False,True,210169.0,0.7732142857142854
2019-06-20,51.5,51.785,51.35,51.66,10656580,53447,51.575244,51.42,False,True,217088.0,0.7828571428571424
2019-06-21,51.8,51.89,51.41,51.55,21264423,53662,51.641216,51.51,True,True,252772.0,0.7485714285714289
2019-06-24,51.77,52.2,51.7,51.92,10799154,56849,51.975541,51.9258,True,False,233714.0,0.7475000000000007
2019-06-25,52.0,52.1,51.64,51.76,11560597,62292,51.870999,51.95,False,False,313131.0,0.6764285714285724
2019-06-26,51.59,51.64,51.085,51.12,12405138,49642,51.216119,51.34,True,False,277990.0,0.6567857142857153
