date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume,atr
2019-05-16,126.79,129.38,126.46,128.93,30112493,213887,128.741226,129.09,True,False,1474541.0,2.74609285714286
2019-05-17,128.3,130.46,127.92,128.07,25770546,188554,128.857625,129.4442,True,False,860708.0,2.868235714285717
2019-05-20,126.41,127.5894,125.7607,126.22,23916959,161874,126.549371,127.19,False,False,789376.0,2.939950000000003
2019-05-21,127.49,127.5273,126.58,126.9,15293260,115599,127.03777,127.36,True,False,581124.0,2.8226142857142884
2019-05-22,126.62,128.24,126.52,127.67,15396485,118985,127.569957,127.41,False,True,553054.0,2.768328571428575
2019-05-23,126.2,126.29,124.74,126.18,23603810,187282,125.686563,125.7901,False,True,691678.0,2.7476142857142887
2019-05-24,126.91,127.415,125.97,126.24,14123481,115087,126.56936,126.4767,False,False,519799.0,2.6515428571428603
2019-05-28,127.02,128.0,126.05,126.07,23129165,144834,126.806055,127.31,True,False,694545.0,2.5101142857142884
2019-05-29,125.31,125.39,124.04,124.94,23013140,172869,124.867063,125.075,False,False,560748.0,2.5394000000000014
2019-05-30,125.26,125.76,124.78,125.73,16884613,134269,125.309958,125.38,True,True,469012.0,2.4508285714285725
2019-05-31,124.3,124.615,123.32,123.68,26646802,176193,123.761221,123.69,False,False,674456.0,2.3294000000000006
2019-06-03,123.84,124.37,119.01,119.84,38017886,315887,120.949508,122.7763,True,False,1027045.0,2.420114285714287
2019-06-04,121.31,123.28,120.6522,123.16,29466692,223844,122.287158,121.71,False,True,1082756.0,2.4851142857142867
2019-06-05,124.95,125.87,124.21,125.83,24932943,185854,125.225541,124.93,True,True,915203.0,2.4636857142857167
2019-06-06,126.31,127.97,125.6,127.82,21459001,152968,126.894448,126.0,True,True,809429.0,2.3929714285714314
2019-06-07,128.9,132.25,128.26,131.4,33886238,240621,131.259558,131.91,True,False,1865251.0,2.527971428571431
2019-06-10,132.4,134.08,132.0,132.6,26477798,203420,133.059599,133.6799,True,False,941789.0,2.5544500000000037
2019-06-11,133.88,134.24,131.2757,132.1,23913887,163001,132.252596,132.225,False,False,940542.0,2.6728071428571476
2019-06-12,131.4,131.97,130.71,131.49,17092564,136840,131.239062,131.155,True,True,738641.0,2.649235714285717
2019-06-13,131.95,133.0,131.56,132.32,17202711,130124,132.098905,132.13,True,True,691834.0,2.5478071428571445
2019-06-14,132.1,133.79,131.64,132.45,17821703,125537,132.52021,132.535,True,False,615406.0,2.598164285714287
2019-06-17,132.6,133.73,132.53,132.85,14518035,106460,132.989485,133.07,False,False,478474.0,2.550307142857144
2019-06-18,134.02,135.24,133.57,135.16,25949487,209171,134.807424,134.92,True,True,856304.0,2.576021428571432
2019-06-19,135.01,135.93,133.81,135.69,23744441,165317,135.050555,134.39,True,True,535569.0,2.6574500000000034
2019-06-20,137.45,137.66,135.72,136.95,33092802,200159,136.746615,136.695,True,True,879361.0,2.626021428571431
2019-06-21,136.77,137.73,136.46,136.97,36900235,175883,136.997874,137.24,True,False,991014.0,2.333878571428573
2019-06-24,137.03,138.4,137.0,137.78,20629072,135771,137.821727,137.685,True,True,493736.0,2.1903071428571446
2019-06-25,137.4,137.59,132.73,133.43,33384873,261089,134.377689,135.2365,False,False,1324217.0,2.3574500000000023
2019-06-26,134.4,135.74,133.6,133.93,23657914,165664,134.520248,134.91,True,False,807585.0,2.353164285714288
2019-06-27,134.14,134.71,133.51,134.15,16557490,127578,134.136797,134.38,True,False,560533.0,2.122450000000003
2019-06-28,134.53,134.6,133.1558,133.8,30044934,142933,133.804317,133.7075,False,True,319922.0,2.034178571428573
2019-07-01,136.51,136.7,134.97,135.68,22686920,172947,135.722855,135.995,True,False,655859.0,2.0295857142857137
2019-07-02,136.0,136.59,135.34,136.58,15237843,140664,136.098221,135.93,True,True,648761.0,2.0195857142857148
2019-07-03,136.81,137.74,136.295,137.46,13629399,100841,137.193463,137.4429,True,True,791388.0,2.01494285714286
2019-07-05,136.08,137.33,135.72,137.06,18141141,138766,136.584753,135.735,False,True,546115.0,1.985657142857146
2019-07-08,136.21,137.1,135.3701,136.96,16820023,127682,136.41318,136.105,True,True,539231.0,2.017792857142859
2019-07-09,136.0,136.97,135.8,136.46,19953102,139629,136.4474,136.505,True,False,579627.0,1.93065
2019-07-10,137.13,138.58,137.02,137.85,24204362,155042,137.755362,138.2795,True,False,738589.0,1.93065
2019-07-11,138.21,139.22,137.87,138.4,22328118,165863,138.478806,138.46,False,False,580491.0,1.8877928571428575
2019-07-12,138.82,139.13,138.0099,138.9,18937590,134852,138.763797,138.12,False,True,889465.0,1.8770857142857165
2019-07-15,139.5,139.54,138.46,138.9,16651652,127546,138.87115,138.7259,False,True,501771.0,1.852085714285715
2019-07-16,138.83,139.05,136.52,137.08,22726630,172114,137.366729,137.695,False,False,740733.0,1.6720857142857142
2019-07-17,137.64,137.93,136.22,136.27,20210956,146048,137.005242,137.43,False,False,760080.0,1.6292285714285717
2019-07-18,135.39,136.62,134.67,136.42,30863322,232592,136.061999,135.78,False,True,779025.0,1.6828000000000003
2019-07-19,140.22,140.67,136.45,136.62,48993275,338259,138.275519,138.8973,True,False,1465507.0,1.8832142857142864
2019-07-22,137.79,139.19,137.33,138.43,25081060,170374,138.406316,138.6432,False,False,1373886.0,1.859642857142859
2019-07-23,139.75,139.99,138.03,139.29,18034589,134742,138.870023,138.735,True,True,539048.0,1.9103571428571453
2019-07-24,139.0,140.74,138.85,140.72,21238465,137834,140.075238,139.75,True,True,696271.0,1.942142857142859
2019-07-25,140.28,140.61,139.3215,140.19,18356888,146681,140.101496,140.467,True,False,659516.0,1.917750000000002
2019-07-26,140.36,141.675,140.3,141.34,19076314,122526,141.16503,140.61,False,True,611327.0,1.9002571428571469
2019-07-29,141.39,141.51,139.3663,141.03,16606170,123134,140.677245,140.23,True,True,538844.0,1.9698071428571475
2019-07-30,140.0,141.2199,139.8005,140.35,16847128,114241,140.555981,140.86,False,False,700074.0,1.9197642857142898
2019-07-31,140.09,140.49,135.08,136.27,38706969,271997,137.788054,138.9128,False,False,1241260.0,2.2083357142857176
2019-08-01,137.0,140.9383,136.93,138.06,40557843,321338,138.998753,139.67,True,False,1184679.0,2.4617785714285736
2019-08-02,138.05,138.32,135.26,136.9,30793142,244997,136.374343,135.79,False,True,1416074.0,2.6032071428571464
2019-08-05,133.16,133.9298,130.78,132.21,42750774,331412,132.530203,132.94,False,False,1031007.0,2.859635714285718
