date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume,atr
2019-05-16,159.44,161.905,157.65,160.19,19527394,176216,161.576993,160.25,True,False,673655.0,6.254285714285713
2019-05-17,158.5,163.71,154.94,156.53,25552046,199008,159.654236,160.9977,False,False,902994.0,6.527142857142857
2019-05-20,152.55,154.77,150.75,151.75,14319520,124530,152.543512,152.79,True,False,647431.0,6.599285714285713
2019-05-21,154.22,155.7,152.64,155.06,9046247,73267,154.576254,155.0301,True,True,723922.0,6.570714285714284
2019-05-22,153.3,154.55,151.76,152.2,8146790,72637,152.808458,152.1011,False,True,336411.0,6.395357142857143
2019-05-23,149.69,149.69,144.9112,147.32,14796487,141964,146.76086,146.8268,False,True,495190.0,6.6731285714285695
2019-05-24,148.08,149.5,144.88,145.15,8964204,86523,146.730742,146.884,False,False,273277.0,6.359557142857142
2019-05-28,145.86,147.18,143.25,143.33,10709423,100326,144.549905,143.895,False,False,757626.0,6.020271428571427
2019-05-29,141.41,142.82,138.94,140.34,13995205,127155,140.637158,141.878,False,False,446435.0,5.9317
2019-05-30,140.31,141.7499,137.57,139.11,9857490,86152,139.66791,140.69,True,False,318336.0,5.621692857142859
2019-05-31,136.8,139.8548,135.39,135.46,9743879,82910,136.825951,137.56,False,False,433696.0,5.398464285714289
2019-06-03,135.91,137.47,132.6,133.78,11969036,103143,134.901995,136.1499,False,False,515366.0,4.9598928571428615
2019-06-04,136.45,143.21,135.4675,143.0,16092392,118430,140.567277,139.33,True,True,815502.0,5.2756071428571465
2019-06-05,145.97,146.19,139.82,141.28,12791232,100076,141.606577,140.62,False,True,543595.0,5.399892857142861
2019-06-06,141.45,144.77,141.35,143.78,10203540,78009,143.04797,142.7949,True,True,342815.0,5.345250000000005
2019-06-07,144.02,146.88,143.25,145.5,8871438,68344,145.635757,145.46,True,True,469591.0,4.978107142857147
2019-06-10,148.04,151.19,147.76,148.43,10069546,81987,149.515828,149.9,False,False,276420.0,4.971678571428575
2019-06-11,150.89,152.36,149.16,150.75,9596772,71173,150.786174,150.82,False,False,500289.0,4.970250000000005
2019-06-12,149.0,149.25,145.59,146.2,8972473,67836,146.744986,146.7195,False,False,364693.0,5.103107142857147
2019-06-13,147.09,149.0,146.38,148.26,7702027,55021,147.779798,147.375,False,True,276619.0,4.782478571428578
2019-06-14,144.7,145.49,142.836,144.64,9786271,76793,144.086741,144.21,True,True,447024.0,4.839907142857148
2019-06-17,144.57,146.5206,143.65,145.03,6911242,51832,145.515191,145.97,True,False,436449.0,4.764235714285718
2019-06-18,147.45,155.11,147.06,152.88,14547950,113944,152.736003,154.95,True,False,782952.0,5.170664285714289
2019-06-19,154.29,154.7568,152.0738,153.12,8291099,66554,153.088747,152.94,True,True,204002.0,5.06374285714286
2019-06-20,156.77,157.33,153.5178,154.1,8754182,68666,154.939626,155.79,True,False,290139.0,5.045542857142858
2019-06-21,153.63,155.48,151.5,151.76,10896814,68679,152.837304,154.98,True,False,285023.0,4.981971428571429
