,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,206.36,207.6,204.15,205.14,568981,13236,205.29336,205.695,True,False,10777.0
1,2021-07-01,206.08,209.18,204.83,208.94,609942,13311,207.636316,206.715,True,True,10221.0
2,2021-07-02,209.0,211.16,208.22,211.05,522032,11386,210.494358,210.015,True,True,13709.0
3,2021-07-06,210.41,210.55,206.47,208.7,540174,14229,208.303728,207.7,True,True,11738.0
4,2021-07-07,207.34,209.765,206.6,209.44,688365,15601,208.613686,207.01,False,True,29436.0
5,2021-07-08,206.4,209.7,205.46,207.51,659208,14856,207.775563,207.51,True,False,18176.0
6,2021-07-09,210.05,213.68,210.0,213.47,652577,12736,212.747848,211.5,False,True,17343.0
7,2021-07-12,212.91,213.94,211.16,211.93,379819,10332,212.285439,213.3936,False,False,9102.0
8,2021-07-13,210.89,212.13,208.82,208.97,687132,12621,209.694179,211.625,True,False,8583.0
9,2021-07-14,210.52,210.83,208.495,210.16,615933,12206,209.698828,209.48,True,True,33364.0
10,2021-07-15,208.52,210.535,207.57,209.25,545572,10325,209.22072,209.95,False,False,6803.0
11,2021-07-16,210.07,210.505,205.65,205.85,467262,11727,207.233538,208.08,False,False,15302.0
12,2021-07-19,203.25,206.38,202.64,205.67,598939,15070,205.031295,205.08,True,True,25323.0
13,2021-07-20,206.97,211.55,206.09,210.23,474002,13188,210.240603,209.94,True,True,14101.0
14,2021-07-21,211.32,212.21,209.08,209.4,619462,12244,209.705511,211.23,True,False,8542.0
15,2021-07-22,208.53,210.61,207.68,210.29,449831,9542,209.758979,210.2,True,True,9181.0
16,2021-07-23,211.17,215.09,210.58,214.95,359862,10492,213.936751,214.23,True,True,14722.0
17,2021-07-26,215.01,215.72,212.95,214.09,419091,10905,214.123156,213.28,False,True,26187.0
18,2021-07-27,217.42,217.69,212.415,215.37,701959,13255,214.663116,215.19,False,True,14047.0
19,2021-07-28,216.36,216.55,212.07,212.25,493544,10883,213.066146,212.45,True,False,15278.0
20,2021-07-29,213.415,213.65,211.29,213.39,451112,9961,212.902309,212.29,True,True,15255.0
21,2021-07-30,214.0,215.92,211.9,212.06,433549,9533,212.668681,213.8,True,False,5175.0
22,2021-08-02,213.2,213.92,210.4,212.71,513830,13368,212.205084,212.05,False,True,8607.0
23,2021-08-03,213.03,217.66,211.81,215.4,440438,11097,215.639183,216.8,True,False,13347.0
24,2021-08-04,214.89,215.14,209.45,209.67,493877,13009,210.732076,212.35,False,False,15940.0
25,2021-08-05,211.07,211.94,205.13,206.34,825735,15603,206.847002,208.27,False,False,21260.0
26,2021-08-06,207.76,207.94,204.99,205.72,521936,12983,205.785182,205.24,False,True,19120.0
27,2021-08-09,205.08,205.65,204.19,204.52,512539,10027,204.840999,204.51,True,True,11727.0
28,2021-08-10,204.4,209.39,204.21,208.74,407710,9650,208.274546,208.73,True,True,34642.0
29,2021-08-11,209.01,211.98,208.37,211.21,437803,10532,211.13934,211.125,True,True,8996.0
30,2021-08-12,211.02,212.3144,208.22,209.3,390379,10144,209.419948,208.78,False,True,10259.0
31,2021-08-13,209.52,209.785,206.36,206.43,455166,10725,207.526786,207.9,False,False,12993.0
32,2021-08-16,205.465,212.32,204.62,212.26,590400,12523,210.381927,209.67,True,True,23255.0
33,2021-08-17,209.57,210.48,206.08,207.77,513097,12946,207.581582,206.445,False,True,17717.0
34,2021-08-18,207.77,209.97,207.08,207.62,407653,11208,208.395633,209.07,False,False,10761.0
35,2021-08-19,206.01,209.72,205.53,208.37,379455,9909,207.808626,207.04,False,True,11469.0
36,2021-08-20,208.94,209.95,206.79,209.68,509874,11948,209.109156,207.125,False,True,18075.0
37,2021-08-23,210.99,211.2,207.64,207.77,1121615,21882,208.86244,209.26,True,False,38068.0
38,2021-08-24,206.75,214.67,205.03,207.78,1473155,26101,209.765374,209.51,False,False,72515.0
39,2021-08-25,208.87,212.6,207.93,212.24,1032107,18278,210.6568,208.66,False,True,18972.0
40,2021-08-26,211.36,212.0,208.0,208.82,677874,15199,209.09954,209.4,False,False,13425.0
41,2021-08-27,203.3,206.62,203.0062,203.82,673742,14913,204.686778,204.72,False,False,21122.0
42,2021-08-30,204.01,204.34,201.055,201.14,549240,12268,202.351853,203.93,False,False,42759.0
43,2021-08-31,201.06,203.8,200.29,202.85,660112,12720,202.702943,202.25,False,True,13133.0
44,2021-09-01,204.25,204.59,199.99,201.88,614058,13587,201.854901,201.83,True,True,24467.0
45,2021-09-02,201.94,202.52,200.0548,200.81,490906,12813,200.823526,200.84,False,False,9714.0
46,2021-09-03,199.73,201.35,197.7,199.44,698760,14679,199.609642,198.6,True,True,18318.0
47,2021-09-07,198.25,201.37,197.86,199.81,574679,13659,199.943199,199.35,False,True,17434.0
48,2021-09-08,198.58,200.51,198.15,200.18,569206,13332,199.58485,198.84,False,True,20458.0
49,2021-09-09,200.52,202.74,199.9,201.22,631106,10782,201.282378,202.145,True,False,17005.0
50,2021-09-10,202.69,203.0,199.91,200.03,359113,9512,200.838027,200.97,False,False,7696.0
51,2021-09-13,201.675,201.94,197.5,199.26,541694,14045,199.24576,200.335,False,False,10647.0
52,2021-09-14,199.49,201.24,197.89,201.17,470731,11954,199.639847,198.91,False,True,18001.0
