,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,136.14,137.41,135.87,136.96,63343601,418569,136.818806,136.785,True,True,1728060.0
1,2021-07-01,136.51,137.33,135.76,137.27,52355408,387069,136.670645,136.361,False,True,1911704.0
2,2021-07-02,137.91,140.0,137.745,139.96,78817014,520290,139.197833,138.62,False,True,2624808.0
3,2021-07-06,140.09,143.15,140.07,142.02,108075306,732900,141.741907,142.25,False,False,5287283.0
4,2021-07-07,143.5,144.89,142.66,144.57,104824172,732024,144.018226,142.93,False,True,5352486.0
5,2021-07-08,141.6,144.06,140.665,143.24,105564924,770833,142.552249,141.95,False,True,4213734.0
6,2021-07-09,142.76,145.65,142.6522,145.11,99690025,634479,144.783786,144.845,True,True,4113582.0
7,2021-07-12,146.17,146.32,144.0,144.5,76256145,516166,144.786799,145.095,True,False,3287991.0
8,2021-07-13,144.0,147.46,143.63,145.64,102196514,694714,146.04823,146.4372,False,False,3490316.0
9,2021-07-14,148.0,149.57,147.68,149.15,126807879,795718,148.821011,148.85,True,True,6389897.0
10,2021-07-15,149.17,150.0,147.09,148.48,106632325,696568,148.44226,148.425,False,True,4261665.0
11,2021-07-16,148.53,149.76,145.88,146.39,94785141,611771,147.634452,148.49,True,False,3185151.0
12,2021-07-19,143.78,144.07,141.67,142.45,120875926,933882,142.614243,142.63,True,False,4685169.0
13,2021-07-20,143.51,147.0997,142.96,146.15,96701324,611145,145.57763,144.65,True,True,2906314.0
14,2021-07-21,145.51,146.13,144.63,145.4,75235818,471141,145.370768,145.68,True,False,2769717.0
15,2021-07-22,145.89,148.195,145.81,146.8,77280533,479699,146.99095,147.7487,True,False,3848091.0
16,2021-07-23,147.5,148.7177,146.92,148.56,71340694,456134,148.037052,147.91,False,True,2479342.0
17,2021-07-26,148.2,149.83,147.7,148.99,72378287,488606,149.117949,149.345,True,False,2592710.0
18,2021-07-27,149.03,149.21,145.55,146.77,104787369,785169,146.832321,147.1499,False,False,4198362.0
19,2021-07-28,144.84,146.97,142.54,144.98,118727362,827611,144.887118,145.655,False,False,4770011.0
20,2021-07-29,144.66,146.55,144.58,145.64,56573653,414824,145.80623,145.895,True,False,2243335.0
21,2021-07-30,144.49,146.33,144.11,145.86,70293624,464979,145.396798,144.82,True,True,2314105.0
22,2021-08-02,146.33,146.95,145.25,145.52,62745328,456711,145.856668,145.54,False,False,2262721.0
23,2021-08-03,145.75,148.045,145.18,147.36,64536401,460706,146.770321,145.48,False,True,2099913.0
24,2021-08-04,147.14,147.79,146.28,146.95,56305292,401837,147.047331,146.8489,False,True,3218062.0
25,2021-08-05,146.91,147.84,146.17,147.06,46365090,355868,147.113031,147.4201,True,False,1778208.0
26,2021-08-06,146.27,147.11,145.63,146.14,54097528,373890,146.214215,147.04,True,False,1735104.0
27,2021-08-09,146.27,146.7,145.52,146.09,48857702,351878,146.111166,146.24,False,False,1749857.0
28,2021-08-10,146.52,147.71,145.3,145.6,68980001,430863,146.126086,145.9,False,False,4516660.0
29,2021-08-11,146.01,146.72,145.53,145.86,48481757,364781,146.022453,145.835,True,True,2197178.0
30,2021-08-12,146.21,149.05,145.84,148.89,73757305,514473,148.010325,147.73,True,True,2935284.0
31,2021-08-13,149.0,149.4444,148.27,149.1,59352311,407701,148.919361,148.905,False,True,1934454.0
32,2021-08-16,148.6,151.19,146.47,151.12,103451633,703898,149.399565,147.0616,True,True,3935285.0
33,2021-08-17,150.21,151.68,149.09,150.19,92080658,623050,150.247388,151.3902,True,False,3566843.0
34,2021-08-18,149.82,150.72,146.15,146.36,86135096,645871,148.300768,149.35,False,False,2597416.0
35,2021-08-19,145.0,148.0,144.5,146.7,86764233,637536,146.440968,145.7718,False,True,2318253.0
36,2021-08-20,147.53,148.5,146.78,148.19,60493423,412616,147.816451,148.18,True,True,2640004.0
37,2021-08-23,148.2,150.19,147.89,149.71,60040432,428029,149.48854,149.485,True,True,2128344.0
38,2021-08-24,149.5,150.86,149.15,149.62,48597949,369948,149.903488,150.31,False,False,1674889.0
39,2021-08-25,149.71,150.32,147.8,148.36,58967818,460644,148.59698,148.2852,False,True,3165353.0
40,2021-08-26,148.35,149.12,147.51,147.54,48444550,380576,148.11514,147.93,True,False,2061162.0
41,2021-08-27,147.31,148.75,146.83,148.6,55642640,403951,148.123267,147.5699,False,True,2036519.0
42,2021-08-30,148.98,153.49,148.61,153.12,91217890,659441,152.141616,151.765,True,True,4957772.0
43,2021-08-31,152.69,152.8,151.29,151.83,86313035,533183,152.020536,151.89,True,False,2489415.0
44,2021-09-01,152.82,154.98,152.34,152.51,80437349,592571,153.768721,154.8455,True,False,3516453.0
45,2021-09-02,153.93,154.72,152.4,153.65,71205789,519644,153.610105,154.1111,True,False,2664717.0
46,2021-09-03,153.88,154.63,153.09,154.3,57859731,431612,154.021736,153.995,False,True,2430603.0
47,2021-09-07,154.93,157.26,154.39,156.69,82234046,614639,156.184155,156.1538,True,True,3703374.0
48,2021-09-08,156.99,157.04,153.975,155.11,74033839,594744,155.110845,154.57,False,True,4354367.0
49,2021-09-09,155.53,156.11,153.95,154.07,57281005,468895,154.850585,155.3263,False,False,2544947.0
50,2021-09-10,155.0,155.48,148.7,148.97,140861543,1166805,150.997144,154.22,False,False,2620640.0
51,2021-09-13,150.55,151.42,148.75,149.55,102292319,737678,149.698907,149.76,True,False,4307403.0
52,2021-09-14,150.35,151.07,146.91,148.12,109840013,783564,148.835731,149.62,False,False,2894766.0
53,2021-09-15,148.53,149.44,146.37,149.03,83247002,618657,148.034413,146.78,True,True,3887735.0
54,2021-09-16,148.42,148.97,147.221,148.79,67955339,501052,148.151656,147.635,False,True,2474527.0
55,2021-09-17,148.69,148.82,145.76,146.06,129798033,713100,146.699382,146.85,False,False,3159571.0
56,2021-09-20,143.86,144.84,141.27,142.94,123207193,1019305,142.753265,142.635,False,True,3687615.0
57,2021-09-21,143.93,144.6,142.78,143.43,75784105,577588,143.74001,143.59,False,False,2488066.0
58,2021-09-22,144.37,146.43,143.7001,145.85,76081240,544687,145.408999,145.091,False,True,1967775.0
59,2021-09-23,146.54,147.08,145.64,146.83,64555135,470064,146.692239,146.623,False,True,1962256.0
60,2021-09-24,145.64,147.4701,145.56,146.92,53370477,399234,146.492692,146.0599,False,True,1803300.0
61,2021-09-27,145.39,145.96,143.82,145.37,73964064,527671,145.107988,145.41,False,False,2942509.0
62,2021-09-28,143.13,144.75,141.69,141.91,108560452,820510,142.673141,143.12,False,False,3474599.0
63,2021-09-29,142.46,144.45,142.03,142.83,74100708,524565,143.404803,144.0004,False,False,3296727.0
64,2021-09-30,143.68,144.378,141.28,141.5,88053071,633655,142.402335,142.859,False,False,2821059.0
65,2021-10-01,141.8,142.92,139.1101,142.65,94529685,728238,141.105483,139.2491,False,True,4087132.0
66,2021-10-04,141.76,142.21,138.27,139.14,97769370,823678,139.292125,139.5446,False,False,4705155.0
67,2021-10-05,139.5,142.24,139.36,141.11,80661990,561147,140.99195,139.84,False,True,2682630.0
68,2021-10-06,139.42,142.15,138.37,142.0,82429216,604014,140.383736,140.22,True,True,3483132.0
69,2021-10-07,143.0,144.215,142.72,143.29,61607808,449732,143.665566,143.9775,True,False,2284721.0
70,2021-10-08,144.02,144.1781,142.56,142.9,58509651,411074,143.175805,143.235,False,False,2475727.0
71,2021-10-11,142.18,144.81,141.81,142.81,64212619,397256,143.67396,144.285,False,False,3619556.0
72,2021-10-12,143.25,143.25,141.0401,141.51,72590324,522268,141.858258,141.67,False,False,2678291.0
73,2021-10-13,141.21,141.4,139.2,140.91,78993712,595435,140.361873,139.965,True,True,2430787.0
74,2021-10-14,142.08,143.88,141.51,143.76,69696731,445634,143.216983,142.95,False,True,2343692.0
75,2021-10-15,144.13,144.895,143.51,144.84,67393148,426182,144.320565,143.905,True,True,2205401.0
76,2021-10-18,143.45,146.84,143.16,146.55,84758665,537142,145.422312,144.531,True,True,2116935.0
77,2021-10-19,147.0,149.17,146.55,148.76,75839014,528624,148.327299,148.45,False,True,3712411.0
78,2021-10-20,148.74,149.7539,148.12,149.26,57882306,433775,149.091132,149.2373,False,True,1915783.0
79,2021-10-21,148.8,149.64,147.87,149.48,61019837,414768,149.029821,149.17,False,True,1660413.0
80,2021-10-22,149.75,150.18,148.64,148.69,57982316,430638,149.298562,149.735,False,False,1988130.0
81,2021-10-25,148.7,149.37,147.6211,148.64,50395763,422046,148.508581,147.85,False,True,1614967.0
82,2021-10-26,149.33,150.84,149.0101,149.32,60332588,454831,149.591198,149.3757,True,False,1885431.0
83,2021-10-27,149.32,149.73,148.49,148.85,55623366,403046,149.119103,148.87,True,False,1515271.0
84,2021-10-28,149.72,153.165,149.72,152.57,99567181,745271,151.590102,152.51,True,True,2977973.0
85,2021-10-29,147.05,149.94,146.4128,149.8,124268949,858642,148.328795,147.145,True,True,3827687.0
86,2021-11-01,148.86,149.7,147.8,148.96,74201074,526363,148.811069,148.44,False,True,2286563.0
87,2021-11-02,148.68,151.57,148.65,150.02,69374924,517286,150.356833,150.73,True,False,3969350.0
88,2021-11-03,150.42,151.97,149.82,151.49,54426976,398300,150.91672,150.3708,False,True,1319072.0
89,2021-11-04,151.56,152.43,150.64,150.96,60426944,457979,151.397186,151.72,False,False,1936421.0
90,2021-11-05,151.89,152.2,150.06,151.28,66030793,424172,151.094887,151.055,False,True,2520495.0
91,2021-11-08,151.49,151.57,150.16,150.44,55036579,416563,150.818531,150.8019,False,False,5210322.0
