,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,112.2,112.92,111.63,112.64,5037056,51225,112.533416,112.3,True,True,92198.0
1,2021-07-01,112.94,114.55,112.89,114.26,5295669,59135,113.975271,113.415,True,True,139491.0
2,2021-07-02,114.57,115.49,113.89,115.17,5706909,54267,115.041415,114.795,True,True,233983.0
3,2021-07-06,115.26,115.9,114.77,115.73,7164599,64575,115.53896,115.4,False,True,195591.0
4,2021-07-07,115.79,116.97,115.31,116.75,6682636,67466,116.347226,115.54,False,True,120733.0
5,2021-07-08,115.86,116.8099,115.6801,116.35,3936392,46673,116.192514,115.94,False,True,166513.0
6,2021-07-09,116.78,117.325,116.11,116.58,4806691,50258,116.720033,117.0793,False,False,183462.0
7,2021-07-12,116.63,118.35,116.62,117.63,8143457,61712,117.674637,117.665,False,False,245606.0
8,2021-07-13,117.62,118.09,116.69,117.91,7475917,56432,117.633909,116.86,False,True,169712.0
9,2021-07-14,116.85,117.55,116.39,117.36,6527316,59063,117.065878,117.14,False,True,197813.0
10,2021-07-15,116.88,117.49,115.75,117.18,4527447,42141,116.990687,116.14,True,True,91321.0
11,2021-07-16,117.52,118.33,116.92,117.5,6809907,57410,117.69445,117.8863,True,False,184748.0
12,2021-07-19,116.61,117.0,113.74,115.42,6698105,72599,114.995326,114.89,True,True,138428.0
13,2021-07-20,115.26,117.734,115.46,116.05,5558011,57361,116.348391,117.14,False,False,184931.0
14,2021-07-21,116.6,117.07,115.79,116.99,4109649,42564,116.701559,116.245,True,True,136501.0
15,2021-07-22,116.555,117.9126,116.3901,117.54,6253446,45231,117.126848,117.36,True,True,131981.0
16,2021-07-23,118.0,118.67,117.57,118.19,4401163,48044,118.250702,118.06,True,True,146293.0
17,2021-07-26,118.05,118.47,117.2692,117.79,3725045,38577,117.779934,117.5191,True,True,102361.0
18,2021-07-27,117.63,118.3,116.76,117.96,3769376,44903,117.81296,117.77,True,True,97598.0
19,2021-07-28,117.72,118.93,117.3,118.55,5634437,45658,118.431766,118.3,False,True,94384.0
20,2021-07-29,119.0,119.13,118.145,118.87,4620727,53697,118.736167,118.495,True,True,150341.0
21,2021-07-30,119.07,119.15,116.12,116.3,9006299,80938,116.904689,116.611,True,False,300925.0
22,2021-08-02,116.94,117.24,115.41,115.45,9220371,72309,115.943837,116.865,True,False,201153.0
23,2021-08-03,115.74,116.31,114.8894,116.25,5878086,59948,115.615094,115.38,True,True,146531.0
24,2021-08-04,115.8,116.52,114.91,115.08,4577779,54176,115.555835,116.18,False,False,150656.0
25,2021-08-05,115.255,115.56,114.45,115.12,5133283,49164,115.039206,115.06,False,True,89245.0
26,2021-08-06,115.32,115.55,114.43,114.45,5334819,49420,114.798196,115.055,True,False,109935.0
27,2021-08-09,114.66,115.19,113.74,114.06,5269397,58765,114.245303,114.55,True,False,126426.0
28,2021-08-10,114.18,115.03,112.92,114.82,5115345,59219,114.323051,113.95,False,True,247635.0
29,2021-08-11,115.16,115.34,113.545,113.72,6834616,59359,113.924542,114.44,False,False,166678.0
30,2021-08-12,114.0,115.73,113.91,115.64,4863275,50034,115.044571,114.13,True,True,136316.0
31,2021-08-13,115.8,116.76,115.7,116.48,4411544,47644,116.407366,116.24,False,True,251199.0
32,2021-08-16,117.0,118.62,116.71,118.41,8168309,65331,118.116285,118.1134,True,True,233229.0
33,2021-08-17,118.28,119.74,118.0,119.66,6524905,64137,118.943904,118.62,True,True,189521.0
34,2021-08-18,119.17,119.9167,117.18,117.29,5571276,52735,118.22368,119.345,False,False,348627.0
35,2021-08-19,116.69,118.96,116.21,117.93,6121760,61288,117.851361,117.64,False,True,143504.0
36,2021-08-20,118.21,119.47,117.65,118.82,4104351,45311,118.899261,118.92,False,False,177494.0
37,2021-08-23,119.57,120.45,119.22,119.36,4730054,53782,119.700245,119.64,False,False,170943.0
38,2021-08-24,119.59,119.72,118.4201,119.68,3830875,40600,119.500932,119.46,True,True,97805.0
39,2021-08-25,119.77,121.4,118.87,120.4,5239313,51471,120.507338,120.19,True,True,190897.0
