,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,114.7,115.1,113.62,114.49,781995,13275,114.340608,114.045,True,True,26364.0
1,2021-07-01,114.91,117.03,114.9,116.44,1181905,15376,116.264627,115.355,False,True,23296.0
2,2021-07-02,116.01,116.92,115.05,116.62,774775,11702,116.308378,115.52,True,True,12302.0
3,2021-07-06,115.77,116.13,112.66,115.42,955888,16565,114.75332,114.15,True,True,40882.0
4,2021-07-07,115.25,116.12,114.62,115.04,811600,13845,115.073716,115.27,True,False,11631.0
5,2021-07-08,114.49,114.84,113.255,114.44,636232,12164,114.259224,113.61,False,True,14881.0
6,2021-07-09,115.08,115.82,114.74,115.13,574609,9257,115.19765,115.25,False,False,14340.0
7,2021-07-12,114.44,116.25,114.26,115.55,644050,9609,115.64807,115.84,True,False,14794.0
8,2021-07-13,115.37,115.82,114.14,114.21,842272,16860,114.740175,115.12,False,False,15940.0
9,2021-07-14,113.46,114.33,113.28,113.56,593141,9658,113.691048,114.08,True,False,6453.0
10,2021-07-15,113.695,114.03,112.79,113.16,753358,12488,113.311166,113.53,True,False,17097.0
11,2021-07-16,113.33,113.765,112.6,112.88,416163,8782,113.06698,112.73,False,True,16661.0
12,2021-07-19,112.25,113.31,111.34,112.6,816940,15406,112.29867,112.365,True,True,32613.0
13,2021-07-20,118.75,119.8,116.35,116.49,2118297,27260,117.536483,118.875,False,False,46947.0
14,2021-07-21,116.98,118.42,116.69,118.22,1617631,17822,117.532697,117.535,False,True,26303.0
15,2021-07-22,118.52,120.05,117.61,119.84,956976,15798,119.034511,118.82,True,True,21824.0
16,2021-07-23,120.15,122.56,119.91,121.31,955687,15405,121.672865,121.43,True,False,27855.0
17,2021-07-26,121.82,122.49,120.31,120.79,623674,12210,120.97348,120.37,False,True,20244.0
18,2021-07-27,120.0,121.76,119.725,121.41,551093,11742,121.223247,121.28,True,True,16222.0
19,2021-07-28,121.33,121.66,120.33,121.34,550090,11382,121.23373,120.73,True,True,13471.0
20,2021-07-29,121.87,122.98,121.09,122.71,589079,13052,122.265263,121.59,True,True,14352.0
21,2021-07-30,122.91,123.24,122.01,122.17,779120,13717,122.511351,122.3,True,False,23012.0
22,2021-08-02,122.19,123.31,121.23,122.73,815065,14843,122.646549,123.28,True,False,28191.0
23,2021-08-03,122.61,124.33,122.42,123.71,872579,16884,123.491996,124.0,True,False,18610.0
24,2021-08-04,123.91,128.87,123.575,125.55,1708219,26413,126.561522,128.5,True,False,76324.0
25,2021-08-05,125.63,126.09,119.5,121.89,1988496,24843,121.758073,120.74,False,True,66710.0
26,2021-08-06,121.93,122.045,119.63,120.64,1116014,17487,120.747663,120.62,True,True,42907.0
27,2021-08-09,120.76,121.885,119.2,120.23,627039,13419,120.075071,119.77,False,True,16551.0
28,2021-08-10,120.01,120.02,117.32,118.97,989116,16996,118.879052,117.74,True,True,23157.0
29,2021-08-11,119.52,120.03,118.08,119.24,955113,13759,119.365999,119.43,True,False,10497.0
30,2021-08-12,119.33,120.52,118.2295,120.04,790065,11091,119.760631,119.4,True,True,10399.0
31,2021-08-13,119.73,120.22,118.28,119.57,854799,12847,119.177376,118.64,False,True,12975.0
32,2021-08-16,119.98,120.9193,119.25,120.07,572987,10654,120.093517,120.62,True,False,10501.0
33,2021-08-17,119.89,121.18,119.42,120.94,778939,11182,120.72281,120.9103,True,True,12970.0
34,2021-08-18,120.01,121.07,118.55,118.58,548732,10201,119.278309,120.39,False,False,11670.0
35,2021-08-19,117.95,120.65,117.7557,119.26,710617,12455,119.316456,119.86,False,False,44048.0
36,2021-08-20,118.83,119.9554,118.63,119.54,456554,9096,119.429985,119.33,True,True,22240.0
37,2021-08-23,119.85,120.24,118.99,119.68,445277,9439,119.842958,119.63,False,True,13610.0
38,2021-08-24,119.37,119.5,117.85,118.0,878489,15328,118.527359,118.89,False,False,23563.0
39,2021-08-25,117.81,118.86,116.52,118.09,898572,10948,118.077866,117.02,False,True,8362.0
40,2021-08-26,117.8,118.07,115.81,116.81,855874,16991,116.76139,116.56,False,True,13907.0
41,2021-08-27,117.24,120.29,117.19,119.89,819200,14923,119.544075,119.31,False,True,48587.0
42,2021-08-30,119.74,120.49,119.35,119.52,382936,11346,119.769093,120.27,True,False,12736.0
43,2021-08-31,119.4,122.8489,119.3,122.21,816509,15606,122.043807,122.19,False,True,32617.0
44,2021-09-01,122.1,122.82,119.84,122.68,681039,11367,121.801764,120.3,False,True,35383.0
45,2021-09-02,122.98,125.0,122.98,124.98,667261,13536,124.409621,123.96,True,True,13364.0
46,2021-09-03,125.28,125.56,124.905,125.14,549608,11775,125.217507,125.42,True,False,12321.0
47,2021-09-07,124.99,125.445,123.2512,124.21,510061,15551,124.238466,123.71,True,True,17272.0
48,2021-09-08,124.3,125.27,123.52,124.31,420095,8359,124.28151,124.495,False,False,11176.0
49,2021-09-09,124.16,124.99,123.56,123.6,489485,8496,124.018135,124.4,False,False,20098.0
