,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,117.005,117.18,115.25,115.93,5842465,58531,115.834043,115.49,True,True,208396.0
1,2021-07-01,115.75,117.29,115.48,117.16,4724319,50557,116.858966,116.48,False,True,133574.0
2,2021-07-02,117.01,118.25,116.65,118.04,4780033,39414,117.658726,116.89,True,True,84212.0
3,2021-07-06,117.9,119.065,117.76,118.82,5032618,54678,118.618323,118.54,True,True,142375.0
4,2021-07-07,119.28,119.98,118.75,119.87,4059092,49448,119.591255,119.005,True,True,206154.0
5,2021-07-08,119.05,119.43,117.9646,119.26,3899462,53210,118.880483,118.44,True,True,164426.0
6,2021-07-09,119.6,120.24,119.24,119.74,4343757,45240,119.717343,119.61,False,True,132282.0
7,2021-07-12,119.45,119.69,118.44,118.81,3901094,43607,118.925699,119.4,True,False,69221.0
8,2021-07-13,118.67,119.26,118.11,118.65,3851426,39220,118.651109,118.54,True,True,67869.0
9,2021-07-14,118.24,118.3,116.86,117.17,4644242,42964,117.358433,118.06,True,False,151888.0
10,2021-07-15,116.9,117.16,116.27,116.66,5746745,43528,116.720813,116.865,False,False,133175.0
11,2021-07-16,117.02,117.81,116.43,117.51,3966889,43271,117.390106,117.19,True,True,106456.0
12,2021-07-19,116.98,119.33,116.925,118.79,6672399,89073,118.508778,118.037,False,True,262358.0
13,2021-07-20,118.13,120.0,118.1,118.73,4655563,52844,118.868517,118.98,False,False,190214.0
14,2021-07-21,119.23,119.29,117.23,118.98,4263556,49599,118.479882,117.84,True,True,131575.0
15,2021-07-22,118.0,118.75,115.86,118.25,6955542,70277,117.645932,116.375,True,True,219041.0
16,2021-07-23,119.51,121.1,119.27,120.8,4726994,59584,120.455046,119.97,False,True,137734.0
17,2021-07-26,120.7,120.485,118.38,119.52,4951500,47749,119.245566,118.41,False,True,354934.0
18,2021-07-27,119.65,121.23,119.6,119.81,5628369,55199,120.2075,120.445,False,False,225181.0
19,2021-07-28,119.92,121.07,119.28,120.52,3776033,39673,120.557597,120.3,False,True,79994.0
20,2021-07-29,121.12,121.4,120.415,121.09,3916642,41773,120.945746,120.59,False,True,144007.0
21,2021-07-30,121.06,121.42,120.4,120.98,4675312,45122,121.002598,120.88,True,True,146299.0
22,2021-08-02,121.48,121.78,120.175,120.92,3634968,47624,121.053087,121.41,True,False,148589.0
23,2021-08-03,121.31,122.55,121.07,122.12,3678841,45568,121.923286,122.21,False,False,109566.0
24,2021-08-04,121.33,122.65,121.01,121.57,3505872,42322,121.822444,121.73,False,False,83070.0
25,2021-08-05,122.04,122.36,120.83,122.21,3254469,41764,121.655535,121.31,False,True,74075.0
26,2021-08-06,122.05,122.21,121.22,122.17,3548825,39865,121.800105,121.85,True,True,72170.0
