,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,296.4,296.99,293.815,294.79,1593199,25933,294.882985,295.1,True,False,41109.0
1,2021-07-01,295.22,300.06,295.0,300.0,3098316,39060,299.117948,298.1,True,True,69055.0
2,2021-07-02,300.24,305.17,300.0,304.84,2276160,31164,303.875907,302.83,True,True,44600.0
3,2021-07-06,305.5,306.85,301.69,305.4,1851594,33512,304.330634,302.881,True,True,64955.0
4,2021-07-07,306.02,309.79,305.2,309.61,1884804,33607,308.459682,306.45,False,True,50831.0
5,2021-07-08,304.73,309.24,302.66,309.15,1859279,35075,306.904183,304.52,True,True,63118.0
6,2021-07-09,310.1,316.22,310.18,312.62,2045039,36841,312.329974,312.86,True,False,50320.0
7,2021-07-12,311.67,312.18,310.73,311.57,1453153,25301,311.510948,311.69,True,False,40566.0
8,2021-07-13,311.2,313.91,310.05,312.63,1559497,28161,312.413463,311.4168,True,True,31122.0
9,2021-07-14,313.05,315.52,312.53,314.39,1735807,29395,314.428564,314.66,True,False,39585.0
10,2021-07-15,313.82,315.49,313.3,314.94,1917576,30423,314.572672,313.9993,True,True,48658.0
11,2021-07-16,316.79,317.12,311.3,311.91,2664884,32240,312.903988,314.27,False,False,47773.0
12,2021-07-19,308.38,309.785,306.26,309.18,1828071,41954,308.328865,308.2,True,True,77858.0
13,2021-07-20,310.79,314.17,308.99,312.06,1438019,28581,312.588135,312.47,True,False,30412.0
14,2021-07-21,312.23,314.05,311.95,313.77,1168339,22915,313.430918,313.34,True,True,23430.0
15,2021-07-22,314.5,315.0,312.7712,314.26,1270881,19100,314.236498,314.69,True,False,30388.0
16,2021-07-23,315.72,318.8,315.54,318.65,1217189,23416,317.618114,316.46,True,True,43846.0
17,2021-07-26,318.8,319.7444,316.85,318.98,1344030,23672,318.816198,317.36,True,True,28672.0
18,2021-07-27,318.8,320.1,315.81,319.89,1639706,28900,318.637976,318.33,False,True,47008.0
19,2021-07-28,320.45,321.0,316.12,316.31,1996033,34175,317.736881,319.59,False,False,69670.0
20,2021-07-29,317.38,319.14,316.13,318.35,1856967,29574,318.040276,317.62,True,True,45318.0
21,2021-07-30,317.56,319.18,316.9,317.68,2298165,31424,317.741662,317.9,True,False,54249.0
