,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,590.75,592.2402,585.0,585.64,1702071,44904,587.518422,589.22,False,False,37974.0
1,2021-07-01,583.06,587.7799,581.35,584.73,1640469,44688,584.130359,583.4325,True,True,47309.0
2,2021-07-02,588.67,594.08,587.96,593.07,1743433,45683,592.234719,589.83,False,True,46402.0
3,2021-07-06,595.57,600.66,592.48,596.9,1655727,49219,596.48078,596.91,False,False,52284.0
4,2021-07-07,600.0,607.665,597.4,605.77,2017636,59044,603.727128,597.92,False,True,58890.0
5,2021-07-08,595.64,607.2989,593.33,605.95,1839517,58639,602.77504,600.7741,False,True,83049.0
6,2021-07-09,601.43,605.95,597.44,604.5,2141163,56644,602.624777,599.69,True,True,102456.0
7,2021-07-12,606.0,607.4229,596.48,600.2,1694152,51677,599.71812,597.41,False,True,88960.0
8,2021-07-13,600.56,609.33,598.42,605.01,1426790,45461,604.912407,606.056,True,False,53343.0
9,2021-07-14,608.67,611.305,604.01,608.83,1368951,43750,608.625136,608.99,True,False,51430.0
10,2021-07-15,606.83,609.95,602.6501,606.17,1611374,46359,605.774514,604.5369,False,True,35848.0
11,2021-07-16,608.71,611.62,603.66,606.1,1245288,36605,607.33046,608.11,True,False,35683.0
12,2021-07-19,602.6,610.69,598.14,602.05,2030418,55329,602.866593,603.35,False,False,73213.0
13,2021-07-20,605.39,612.75,598.48,608.72,1663017,46705,607.767828,604.415,True,True,50872.0
14,2021-07-21,605.82,612.58,603.32,612.26,1391475,38751,610.022444,609.02,False,True,53474.0
15,2021-07-22,616.0,623.95,614.58,623.68,1476771,42079,621.605128,621.27,True,True,41560.0
16,2021-07-23,625.76,631.64,622.0001,625.87,2027074,45748,626.87794,626.425,False,False,27209.0
17,2021-07-26,625.0,625.87,619.725,620.8,1388144,41788,621.454467,621.365,True,False,37150.0
18,2021-07-27,621.71,623.92,610.64,618.28,1538916,48630,616.314823,614.64,False,True,52544.0
19,2021-07-28,621.855,626.0,617.57,620.92,1461246,39030,621.364433,622.98,False,False,50446.0
20,2021-07-29,618.23,625.67,617.04,621.7,1065487,32016,622.359518,622.985,False,False,36700.0
21,2021-07-30,619.03,622.8,617.29,621.63,1396579,38943,620.611046,620.0501,True,True,50152.0
22,2021-08-02,625.69,627.6,612.93,618.75,1459927,43205,618.914146,617.275,False,True,47955.0
23,2021-08-03,620.99,624.7,614.0,621.28,1061188,35142,619.688929,615.22,False,True,36928.0
24,2021-08-04,622.99,627.08,617.6202,625.68,1300806,40630,623.628704,618.45,True,True,29698.0
25,2021-08-05,626.99,632.47,623.0,632.08,1156969,35417,629.957972,627.015,False,True,28582.0
26,2021-08-06,629.21,631.84,625.17,631.38,1127015,32892,629.879784,628.6,True,True,25097.0
27,2021-08-09,634.98,634.98,626.925,629.22,1116515,32177,629.849589,629.91,True,False,36601.0
28,2021-08-10,630.48,633.2999,620.6,621.74,1538399,42504,623.576721,624.745,False,False,83689.0
29,2021-08-11,622.56,627.42,621.65,626.03,1326466,39437,625.072291,624.48,True,True,33190.0
30,2021-08-12,626.67,636.64,624.04,634.35,1162804,41612,632.737621,634.595,True,False,60675.0
31,2021-08-13,634.49,638.426,632.35,637.31,931732,31368,636.432892,635.7501,False,True,37680.0
32,2021-08-16,637.03,638.02,628.188,636.94,1103285,34601,634.185194,629.56,False,True,38578.0
33,2021-08-17,636.55,637.0,630.22,635.01,1342772,36199,633.947838,633.7646,True,True,38003.0
34,2021-08-18,633.07,637.14,626.05,626.77,1381710,38579,630.483902,633.53,False,False,27478.0
35,2021-08-19,624.88,642.55,623.6334,637.66,1688893,49610,636.320595,629.565,False,True,35928.0
36,2021-08-20,639.01,652.0,634.53,647.34,1429856,40431,647.052826,650.01,False,False,43082.0
37,2021-08-23,645.87,658.5,645.52,656.86,1679932,47696,654.912034,656.72,True,True,66608.0
38,2021-08-24,659.14,660.0,653.4,657.24,866292,35119,656.397733,656.42,True,True,23924.0
