,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,170.97,172.45,170.2,172.16,2949239,52687,171.657313,171.315,False,True,198232.0
1,2021-07-01,171.71,172.09,168.89,169.17,2858541,52106,170.004132,171.24,True,False,60770.0
2,2021-07-02,170.33,171.229,169.63,170.67,1562049,32112,170.506173,171.07,True,False,48772.0
3,2021-07-06,171.42,171.53,166.75,168.32,2290656,45265,168.571862,168.985,False,False,109319.0
4,2021-07-07,169.01,169.43,164.64,165.43,4197281,79718,166.069483,165.47,False,False,271019.0
5,2021-07-08,162.6,164.3,160.18,163.91,3143838,64606,162.936259,163.6,True,True,110354.0
6,2021-07-09,163.99,166.61,162.74,166.27,2340358,44879,165.474597,164.77,True,True,98986.0
7,2021-07-12,166.79,167.62,165.67,167.55,2072319,38098,166.882331,166.15,False,True,62658.0
8,2021-07-13,167.06,168.36,165.975,167.26,2130455,39017,167.444635,167.22,False,True,81537.0
9,2021-07-14,168.64,170.0,165.87,166.16,2002626,40445,167.204381,167.67,False,False,53529.0
10,2021-07-15,165.75,165.91,162.32,163.66,3492156,55012,163.663895,164.1675,False,False,135781.0
11,2021-07-16,164.19,164.75,160.26,160.44,2276646,42292,161.595687,162.18,False,False,67624.0
12,2021-07-19,158.73,159.61,156.55,158.98,2739017,61624,158.276121,159.04,True,False,78644.0
13,2021-07-20,159.41,161.81,157.92,160.91,2811822,50754,160.653339,159.715,True,True,67814.0
14,2021-07-21,161.29,164.84,160.78,164.84,2083223,39904,164.143146,163.28,False,True,49242.0
15,2021-07-22,162.52,163.03,160.83,162.02,3248170,43226,161.893277,162.01,True,True,81802.0
16,2021-07-23,163.15,163.84,161.67,163.55,2173131,40198,163.21857,162.56,True,True,49366.0
17,2021-07-26,162.49,164.34,161.27,163.9,1730520,36430,163.695795,163.29,False,True,69470.0
18,2021-07-27,163.6,163.75,159.54,162.59,4074730,72642,161.723518,161.39,False,True,181883.0
19,2021-07-28,163.13,164.65,162.84,164.04,3621324,54814,163.897287,163.155,False,True,67978.0
20,2021-07-29,164.54,167.16,164.54,166.54,3158189,58309,166.319415,165.665,False,True,112554.0
21,2021-07-30,165.59,168.2,165.14,167.42,2670431,46285,166.967653,166.28,False,True,73080.0
22,2021-08-02,168.48,171.33,167.37,167.62,2811687,65761,168.719531,169.45,False,False,79252.0
23,2021-08-03,168.55,169.02,165.59,168.68,3261299,60945,168.098282,166.615,False,True,105941.0
24,2021-08-04,168.74,175.25,168.6,172.58,10215150,166562,172.721084,172.33,False,True,595152.0
25,2021-08-05,173.56,173.77,168.83,169.93,3466247,65287,170.100271,169.47,True,True,193898.0
26,2021-08-06,168.94,171.89,168.37,171.13,3161430,50465,170.886611,170.73,True,True,114855.0
27,2021-08-09,171.07,172.53,169.385,171.31,2578229,45172,171.464686,171.33,True,False,89655.0
28,2021-08-10,171.09,171.635,169.0,171.0,1940671,37210,170.782296,169.37,False,True,85705.0
29,2021-08-11,171.74,172.088,168.68,170.46,1943036,39212,170.325853,169.76,True,True,61078.0
30,2021-08-12,169.14,169.71,166.56,168.58,2561281,45772,168.467142,167.99,True,True,60902.0
31,2021-08-13,169.1,170.77,168.39,170.08,2039059,34378,169.901501,170.165,True,False,128284.0
32,2021-08-16,169.63,171.56,169.47,171.07,2160870,40375,170.821384,170.85,True,True,62606.0
33,2021-08-17,170.07,170.14,165.66,166.3,4585177,78949,167.14401,168.825,True,False,143655.0
34,2021-08-18,164.88,168.04,161.285,165.78,5441634,96030,165.825876,166.24,True,False,337467.0
35,2021-08-19,165.48,166.97,163.55,166.79,3448654,60027,165.807735,163.86,False,True,121674.0
36,2021-08-20,167.25,168.18,165.07,166.64,2908750,54178,166.412684,166.675,False,False,109204.0
37,2021-08-23,170.0,172.8,166.06,169.63,13459363,168288,169.436144,168.34,True,True,424655.0
38,2021-08-24,169.89,170.36,164.75,165.85,8136584,123887,166.479328,167.61,True,False,263352.0
39,2021-08-25,166.17,167.93,163.08,164.0,19152526,231548,165.072448,164.28,False,False,589479.0
40,2021-08-26,164.75,168.48,163.69,167.36,7297473,89063,166.679711,166.08,True,True,288714.0
41,2021-08-27,167.31,169.81,166.17,166.48,9125496,82214,167.248767,169.18,True,False,248433.0
42,2021-08-30,166.93,168.27,166.65,166.98,4909330,60586,167.132336,167.115,False,False,110227.0
43,2021-08-31,166.34,166.52,161.34,162.95,9130185,72269,163.544173,163.73,True,False,174475.0
44,2021-09-01,163.84,164.2,161.04,161.11,6508960,67374,161.73898,162.12,False,False,209020.0
45,2021-09-02,162.13,162.94,161.222,162.62,4511153,48330,162.430199,162.3,True,True,184856.0
46,2021-09-03,162.43,163.495,161.735,162.44,2384999,41471,162.44141,161.85,False,True,88228.0
47,2021-09-07,162.85,163.74,162.145,163.27,5130741,48915,163.174583,163.0999,True,True,101630.0
48,2021-09-08,163.75,165.67,162.4,163.67,4600086,66712,163.781677,162.96,False,True,186263.0
49,2021-09-09,163.43,170.13,163.27,168.81,7599967,105129,167.997546,166.57,False,True,234276.0
50,2021-09-10,169.59,172.09,169.55,169.94,4277335,60551,170.655217,171.02,True,False,168790.0
