,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,296.9,296.8702,290.93,291.9,976554,24175,293.510017,295.872,True,False,27728.0
1,2021-07-01,291.06,295.22,290.61,293.7,754929,19574,293.431942,293.74,False,False,21056.0
2,2021-07-02,296.0,298.31,295.03,297.74,666974,16697,297.143711,295.41,False,True,15448.0
3,2021-07-06,297.99,301.0,294.12,295.6,1445677,30856,296.509426,298.17,False,False,34513.0
4,2021-07-07,298.26,299.205,293.46,296.11,997761,20969,295.965343,293.68,False,True,24761.0
5,2021-07-08,292.01,296.13,290.04,294.47,1177451,26177,293.741838,292.67,False,True,26366.0
6,2021-07-09,293.02,296.96,290.49,295.38,1024003,21779,294.828196,291.9,True,True,31495.0
7,2021-07-12,297.55,298.7,290.31,291.93,888155,21627,292.3195,292.93,True,False,24124.0
8,2021-07-13,292.23,297.22,290.93,296.42,1045366,25309,295.582272,293.76,True,True,20214.0
9,2021-07-14,298.68,300.725,296.14,297.1,1046055,25599,297.672182,299.16,False,False,17655.0
10,2021-07-15,297.48,298.0,292.0552,294.79,834929,21875,294.586121,292.8377,True,True,11160.0
11,2021-07-16,296.8,297.63,293.08,293.33,696935,18203,294.81639,297.02,True,False,28968.0
12,2021-07-19,289.68,290.0,284.42,287.31,1036740,27531,286.820331,285.36,False,True,32072.0
13,2021-07-20,287.53,298.635,285.92,296.12,1163097,26449,295.004654,290.855,True,True,28826.0
14,2021-07-21,294.82,302.1074,294.42,301.78,873801,23260,299.807832,297.51,False,True,15804.0
15,2021-07-22,301.9,309.33,302.05,308.51,1082166,29453,307.342266,306.4,True,True,13120.0
16,2021-07-23,310.0,314.92,309.3,312.65,1065001,28189,312.851671,312.75,False,False,28617.0
17,2021-07-26,311.99,313.96,309.81,313.62,902893,21860,312.60951,310.91,True,True,20552.0
18,2021-07-27,313.62,314.37,304.31,308.25,1075729,28029,307.716377,307.67,False,True,22586.0
19,2021-07-28,309.41,314.0925,306.07,313.13,1017901,25544,311.881299,308.75,False,True,30868.0
20,2021-07-29,313.0,322.68,312.68,320.5,1453586,32841,320.054668,319.73,False,True,49206.0
21,2021-07-30,318.3,321.725,317.005,321.13,1309085,29846,320.119296,318.93,False,True,52996.0
22,2021-08-02,323.0,324.13,319.15,322.07,909333,23846,322.29514,321.83,True,True,17436.0
23,2021-08-03,323.03,328.19,320.85,327.61,1038676,23232,325.918206,321.585,False,True,19309.0
24,2021-08-04,328.5,331.12,326.0224,329.09,1381244,35451,329.049032,328.7,False,True,46795.0
25,2021-08-05,330.19,331.5,326.75,328.82,1342315,31018,328.542229,327.47,False,True,23648.0
26,2021-08-06,327.1,334.06,326.67,332.77,856126,21689,331.588708,329.06,True,True,21245.0
27,2021-08-09,333.175,333.88,330.29,332.77,761653,22582,332.52901,332.0,False,True,18062.0
28,2021-08-10,333.4,335.67,328.77,331.28,873822,21724,331.859452,329.1,False,True,35549.0
29,2021-08-11,332.0,333.57,325.35,328.64,1049484,25644,328.65833,330.79,True,False,26946.0
30,2021-08-12,326.87,332.415,325.58,332.05,883339,21975,330.626406,330.3301,False,True,21506.0
31,2021-08-13,332.58,334.0,330.25,332.78,753726,18507,332.070175,331.65,False,True,21686.0
32,2021-08-16,331.83,332.67,326.65,330.18,922247,24261,329.366515,328.77,False,True,20848.0
33,2021-08-17,328.0,328.89,322.58,324.7,1084754,28341,324.589382,325.6834,True,False,35055.0
34,2021-08-18,323.52,326.06,322.23,323.52,912092,23189,324.192081,323.12,False,True,32333.0
35,2021-08-19,322.27,332.37,322.46,330.35,1222840,26954,329.728149,326.76,False,True,18402.0
36,2021-08-20,330.92,335.27,330.55,334.38,858733,22133,334.206124,334.68,True,False,22119.0
37,2021-08-23,336.0,338.275,334.02,336.76,1251815,26492,336.709171,337.105,True,False,23930.0
38,2021-08-24,338.8,344.39,338.48,341.07,1032526,24615,341.677808,343.75,True,False,49641.0
39,2021-08-25,342.36,343.56,339.33,342.27,1501566,33734,337.395844,341.66,False,True,29197.0
40,2021-08-26,316.01,324.0,308.025,310.19,5485151,97262,313.360306,316.38,False,False,134320.0
41,2021-08-27,314.27,318.23,310.15,315.64,1836918,40223,315.533149,315.49,True,True,60929.0
