,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,80.12,80.37,79.35,80.04,1367186,13705,79.92801,79.75,True,True,32340.0
1,2021-07-01,80.06,81.155,79.85,80.7,1017856,13328,80.709035,80.41,True,True,22083.0
2,2021-07-02,80.555,80.785,80.2,80.7,832967,10409,80.603386,80.43,True,True,8663.0
3,2021-07-06,80.48,81.46,79.98,81.4,959056,13481,81.033369,80.34,True,True,15322.0
4,2021-07-07,81.25,82.52,80.84,82.32,1017053,15022,82.1677,82.024,True,True,17296.0
5,2021-07-08,82.17,82.69,81.775,82.06,1063193,12514,82.118949,82.38,True,False,22731.0
6,2021-07-09,82.09,82.56,81.47,81.92,1291156,12076,81.882141,81.69,False,True,9171.0
7,2021-07-12,81.73,83.15,81.54,82.88,1021066,12241,82.714092,82.42,True,True,21527.0
8,2021-07-13,82.84,83.41,82.26,82.63,865496,13130,82.847991,83.26,False,False,18501.0
9,2021-07-14,82.28,83.64,82.03,83.22,707237,9992,83.14305,82.78,True,True,15706.0
10,2021-07-15,83.24,84.27,82.92,84.07,1458659,11643,83.963133,83.39,False,True,18907.0
11,2021-07-16,84.0,85.46,83.9,85.06,805877,10310,84.967472,84.37,False,True,10869.0
12,2021-07-19,85.05,85.54,82.97,83.98,1463880,15780,83.972361,84.31,False,False,26260.0
13,2021-07-20,84.24,85.11,83.73,83.98,946388,13693,84.210903,84.365,False,False,24247.0
14,2021-07-21,83.78,83.98,82.27,82.3,1207072,14593,82.678162,83.34,True,False,32101.0
15,2021-07-22,82.5,82.76,81.89,82.49,733220,10691,82.374222,82.06,False,True,49981.0
16,2021-07-23,82.31,83.42,82.24,83.39,550442,7930,83.214669,82.72,True,True,6575.0
17,2021-07-26,83.23,83.5,82.61,83.25,650635,12120,83.130595,82.75,False,True,13934.0
18,2021-07-27,83.16,85.21,82.81,84.99,741747,10667,84.597978,83.95,True,True,11631.0
19,2021-07-28,84.75,85.1,83.63,84.19,734866,12694,84.185776,84.5,False,False,24791.0
20,2021-07-29,84.16,84.69,83.8,84.27,716575,10722,84.242165,83.985,False,True,15251.0
21,2021-07-30,84.45,84.97,83.81,83.92,937003,11277,84.172868,84.42,True,False,13716.0
22,2021-08-02,84.1,85.03,83.9,84.81,743772,10795,84.651295,84.73,True,True,17068.0
23,2021-08-03,84.68,85.97,84.24,85.61,791069,11151,85.50122,85.64,True,False,17484.0
24,2021-08-04,85.09,85.35,84.08,85.25,896010,10696,84.957774,84.72,True,True,14669.0
