,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,84.13,84.73,83.82,84.59,2684574,26988,84.421575,84.07,True,True,70556.0
1,2021-07-01,84.68,85.62,84.46,85.26,2209884,25841,85.289698,84.98,True,True,25200.0
2,2021-07-02,85.42,85.58,84.84,85.2,2485015,30398,85.18205,85.36,True,False,50053.0
3,2021-07-06,85.27,85.375,84.015,85.24,1860133,28978,84.850487,84.42,True,True,48424.0
4,2021-07-07,85.24,85.68,84.84,85.62,2155864,28290,85.456063,85.46,True,True,71290.0
5,2021-07-08,85.68,86.11,85.1,85.31,2487077,27963,85.376522,85.64,True,False,48715.0
6,2021-07-09,85.15,85.51,84.45,85.39,2116413,26501,85.151039,84.63,False,True,43674.0
7,2021-07-12,85.27,85.465,84.78,85.41,1650486,21093,85.335206,85.35,False,True,38952.0
8,2021-07-13,85.31,85.72,84.81,85.24,2060483,24834,85.339594,85.56,True,False,58028.0
9,2021-07-14,85.41,86.55,84.82,86.18,2147673,26176,86.042641,85.71,True,True,182014.0
10,2021-07-15,85.85,87.26,85.52,87.18,2655675,26457,86.864521,86.375,False,True,58519.0
11,2021-07-16,87.01,88.125,86.85,87.49,2193652,28175,87.637429,87.37,False,True,31279.0
12,2021-07-19,87.71,88.06,85.0,85.77,3881281,45172,85.873579,86.38,False,False,100943.0
13,2021-07-20,86.02,86.82,85.66,85.74,3057191,38957,86.027963,86.125,False,False,69464.0
14,2021-07-21,85.6,86.05,84.61,84.72,2989277,37155,85.043853,85.61,True,False,79740.0
15,2021-07-22,84.74,87.17,84.61,84.88,2970327,39293,85.174972,84.93,True,False,60864.0
16,2021-07-23,84.92,86.095,84.68,85.98,3366790,27164,85.484099,85.21,True,True,49769.0
17,2021-07-26,85.65,87.82,85.4,87.68,4386799,47745,87.058034,86.25,True,True,191820.0
18,2021-07-27,87.68,89.766,87.32,89.39,3545893,48701,89.047148,88.64,True,True,102076.0
19,2021-07-28,89.57,89.81,88.26,88.99,2929452,35049,88.908173,89.18,False,False,103363.0
20,2021-07-29,89.09,89.5107,88.83,89.14,1945113,27120,89.124591,88.98,False,True,58041.0
21,2021-07-30,89.17,89.93,87.89,88.12,3597189,28217,88.452505,89.4113,True,False,42101.0
22,2021-08-02,88.21,88.88,87.66,88.34,2301431,27335,88.385074,88.7,True,False,65986.0
23,2021-08-03,88.41,89.63,88.23,89.09,2134379,28736,89.085216,89.3,True,False,106906.0
24,2021-08-04,88.79,89.02,87.96,88.83,3499815,29844,88.616233,88.3,False,True,86095.0
25,2021-08-05,88.97,89.78,88.39,89.66,2971394,30126,89.123195,88.74,True,True,43341.0
26,2021-08-06,89.52,89.99,89.09,89.34,2105281,28084,89.56598,89.91,True,False,56656.0
27,2021-08-09,88.65,88.98,88.135,88.76,1821030,23978,88.543519,88.36,True,True,42355.0
28,2021-08-10,88.59,89.22,88.26,88.75,2467405,25552,88.816711,88.81,True,False,83098.0
29,2021-08-11,89.09,89.67,88.75,89.17,3563511,26161,89.202563,89.2927,False,False,33837.0
30,2021-08-12,89.17,89.48,88.82,88.95,1788717,22499,89.051399,89.31,True,False,50006.0
31,2021-08-13,89.01,89.9,89.0,89.69,4167823,23006,89.562037,89.66,False,True,69897.0
32,2021-08-16,89.82,91.26,89.68,90.3,1926041,27046,90.445114,90.82,False,False,66153.0
