,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,26.35,26.45,25.82,26.07,6326096,26567,26.065958,26.2103,False,False,69981.0
1,2021-07-01,26.27,26.45,26.085,26.33,4094041,27229,26.352653,26.34,True,False,67769.0
2,2021-07-02,26.43,26.49,26.08,26.16,3308944,23584,26.195187,26.34,True,False,36648.0
3,2021-07-06,26.23,26.28,25.68,26.0,3572153,25338,25.922133,25.855,False,True,81230.0
4,2021-07-07,25.99,26.17,25.83,25.99,2943400,21767,25.985991,25.87,False,True,124720.0
5,2021-07-08,25.52,25.93,25.13,25.49,5585332,28594,25.538176,25.65,True,False,94015.0
6,2021-07-09,25.68,25.865,25.515,25.73,6050420,32699,25.701176,25.66,False,True,143340.0
7,2021-07-12,25.76,25.97,25.4,25.95,6081960,26611,25.658633,25.565,True,True,2386840.0
8,2021-07-13,25.92,25.98,24.8803,24.92,6088547,33467,25.228093,25.735,False,False,102887.0
9,2021-07-14,25.02,25.395,24.935,24.95,3629699,26002,25.086184,25.27,True,False,146399.0
10,2021-07-15,24.8,24.9,24.39,24.58,5472521,32997,24.613156,24.585,False,False,120449.0
11,2021-07-16,24.79,24.83,24.21,24.36,6344253,36947,24.383264,24.5,True,False,76758.0
12,2021-07-19,23.9,24.05,23.43,23.58,7579618,38960,23.649995,23.77,True,False,106874.0
13,2021-07-20,23.66,24.28,23.61,24.1,6701386,35952,24.116649,24.05,True,True,116071.0
14,2021-07-21,24.33,24.52,24.2,24.36,4609940,28068,24.359736,24.295,False,True,97162.0
15,2021-07-22,24.35,24.49,23.94,24.02,5471926,28246,24.043756,24.275,True,False,54604.0
16,2021-07-23,24.13,24.255,23.66,23.9,5721554,31984,23.849107,23.895,False,True,120632.0
17,2021-07-26,23.95,24.18,23.835,24.0,4898999,28265,23.994769,23.955,False,True,73649.0
18,2021-07-27,23.86,24.31,23.68,24.31,5487492,31713,24.06131,23.775,False,True,147762.0
19,2021-07-28,24.42,24.49,24.015,24.22,2960996,24961,24.203133,24.11,True,True,91111.0
20,2021-07-29,24.32,24.465,24.21,24.27,3320698,22493,24.313003,24.325,True,False,97163.0
21,2021-07-30,23.94,24.22,23.65,23.7,5188500,31049,23.871548,23.99,False,False,96191.0
22,2021-08-02,23.85,23.92,23.52,23.57,5547508,30634,23.663964,23.78,False,False,297580.0
