,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,53.31,53.705,53.13,53.66,3204693,27266,53.592629,53.63,True,True,66290.0
1,2021-07-01,53.88,54.2972,53.61,54.0,3551911,29403,54.029861,53.94,True,True,62958.0
2,2021-07-02,53.98,54.21,53.7,54.15,2830553,22065,53.998833,53.94,True,True,65360.0
3,2021-07-06,53.975,54.01,53.03,53.27,3852705,27597,53.257777,53.245,False,True,136488.0
4,2021-07-07,52.96,53.795,52.84,53.76,3087901,29081,53.532546,53.225,True,True,92970.0
5,2021-07-08,52.81,53.04,52.05,52.33,3394428,36018,52.495723,52.67,True,False,155355.0
6,2021-07-09,53.16,53.565,52.92,53.35,4824833,38846,53.271356,53.4,False,False,105562.0
7,2021-07-12,53.16,53.94,52.75,53.67,5009160,41701,53.647534,53.82,False,False,139986.0
8,2021-07-13,53.58,53.95,52.82,53.09,3534547,33357,53.191927,53.1,False,False,84334.0
9,2021-07-14,53.04,53.67,52.745,53.28,2646831,25328,53.178823,53.03,False,True,86644.0
10,2021-07-15,52.95,53.75,52.78,53.59,2980640,27772,53.445558,53.51,False,True,98107.0
11,2021-07-16,53.68,53.78,52.96,53.12,7459747,30984,53.177941,53.105,False,True,94197.0
12,2021-07-19,52.18,52.48,51.36,51.71,4620618,43398,51.711846,52.0291,True,False,114895.0
13,2021-07-20,51.53,53.43,51.48,52.98,3482321,28269,52.932571,52.88,False,True,87812.0
14,2021-07-21,53.45,54.43,53.3,53.88,2874650,26847,54.005813,53.975,False,False,125219.0
15,2021-07-22,53.86,54.08,52.955,53.1,2714395,22821,53.208991,53.45,True,False,59878.0
16,2021-07-23,53.34,53.7577,53.16,53.37,2162322,19552,53.362954,53.43,True,False,74126.0
17,2021-07-26,53.45,53.89,53.17,53.7,1821954,17904,53.683718,53.6,False,True,64628.0
18,2021-07-27,53.325,53.965,52.93,53.8,2571235,24303,53.691494,53.725,True,True,95682.0
19,2021-07-28,53.86,54.265,53.28,53.79,2771135,26114,53.796047,53.57,True,True,96983.0
20,2021-07-29,55.65,56.2007,54.87,55.61,4437406,40462,55.620845,55.69,True,False,119361.0
21,2021-07-30,55.47,55.9,54.945,55.0,3429164,28174,55.199448,55.31,True,False,95812.0
22,2021-08-02,55.4,56.11,54.64,54.71,3185139,31192,55.1781,55.6,True,False,100962.0
23,2021-08-03,55.0,55.64,54.28,55.6,2712477,27528,55.298179,55.03,True,True,120693.0
24,2021-08-04,54.94,55.565,54.76,54.94,3466289,30352,55.066107,55.51,True,False,85337.0
25,2021-08-05,55.39,55.98,55.165,55.57,2103796,21512,55.470089,55.54,True,True,92427.0
26,2021-08-06,56.12,56.41,55.9,56.24,3161547,27331,56.223688,56.06,False,True,79992.0
27,2021-08-09,56.04,56.39,55.6,56.11,2187245,22419,56.089145,55.87,True,True,76196.0
28,2021-08-10,56.01,56.96,55.7,56.7,3111008,22625,56.548964,56.465,True,True,118243.0
29,2021-08-11,56.83,57.19,56.45,56.95,3138807,27536,56.926907,56.84,False,True,421420.0
30,2021-08-12,57.15,57.43,56.85,57.36,1908916,23264,57.238639,57.025,True,True,47782.0
31,2021-08-13,57.49,57.63,57.14,57.26,1679569,18097,57.334985,57.33,True,False,41860.0
32,2021-08-16,56.97,57.64,56.68,57.52,2477487,24195,57.361847,57.43,True,True,97595.0
33,2021-08-17,56.88,57.4,56.62,57.11,2399458,24493,56.987684,57.1,False,True,82682.0
34,2021-08-18,56.68,57.21,56.34,56.37,2533429,22487,56.710322,56.97,False,False,64183.0
35,2021-08-19,55.68,56.37,55.51,55.92,2394735,25594,55.923592,55.91,False,True,99425.0
36,2021-08-20,55.66,56.5,55.5,56.36,1785590,19188,56.243479,55.96,False,True,79586.0
37,2021-08-23,56.7,57.235,56.1,56.71,2328437,23886,56.932295,57.105,True,False,107404.0
38,2021-08-24,56.76,57.025,56.5101,56.71,1899137,17747,56.781008,56.705,True,True,68680.0
39,2021-08-25,56.77,57.55,56.51,57.11,2609100,22785,57.170368,57.09,True,True,91188.0
40,2021-08-26,57.03,57.23,56.35,56.4,1916640,20869,56.622851,56.79,False,False,73776.0
41,2021-08-27,56.37,57.32,56.39,57.09,1656347,17159,57.045452,56.9204,True,True,50894.0
42,2021-08-30,56.94,57.09,56.35,56.43,1906138,23646,56.586366,56.585,True,False,54815.0
43,2021-08-31,56.41,57.04,56.14,56.68,3371162,23866,56.70861,56.88,True,False,72699.0
44,2021-09-01,56.55,56.86,56.16,56.34,2352794,22122,56.455707,56.41,False,False,59935.0
45,2021-09-02,56.37,56.59,55.83,55.99,2497617,23014,56.131189,56.39,True,False,73462.0
46,2021-09-03,55.895,56.09,55.535,55.71,1831692,20300,55.766479,55.7,False,True,59001.0
47,2021-09-07,55.71,55.9,55.22,55.25,2438816,25984,55.506915,55.58,False,False,93343.0
48,2021-09-08,55.13,55.335,54.8,55.17,2469872,27928,55.137022,54.83,False,True,104800.0
49,2021-09-09,55.08,55.93,55.02,55.14,2515769,25443,55.430988,55.68,False,False,87865.0
50,2021-09-10,55.46,55.54,54.65,54.66,2120003,22522,54.915725,54.9602,False,False,75812.0
51,2021-09-13,55.16,55.435,54.82,55.23,2166396,26580,55.149286,55.105,False,True,85481.0
52,2021-09-14,55.37,55.52,54.17,54.29,2543433,27723,54.516977,54.6,False,False,94392.0
53,2021-09-15,54.43,55.11,54.26,54.66,2429336,24075,54.732065,54.435,False,True,91630.0
54,2021-09-16,54.68,54.95,54.29,54.56,2213379,24147,54.636551,54.49,False,True,83338.0
55,2021-09-17,54.54,54.91,53.95,53.99,7979673,31860,54.108851,54.49,False,False,70154.0
56,2021-09-20,52.95,53.0,51.28,52.07,4403747,41420,51.993841,52.465,False,False,130593.0
57,2021-09-21,52.43,52.5,51.285,51.35,3543388,33837,51.650808,51.97,False,False,79451.0
58,2021-09-22,52.06,52.29,51.7,51.88,4107948,37846,51.971581,52.11,True,False,94779.0
59,2021-09-23,52.31,53.05,52.16,52.39,3038387,28599,52.659766,52.735,False,False,50211.0
60,2021-09-24,52.34,53.02,52.3,52.63,2156458,20189,52.746448,52.74,False,False,51097.0
61,2021-09-27,53.12,53.91,52.72,53.4,2511855,25050,53.565379,53.66,False,False,76034.0
62,2021-09-28,53.39,53.72,52.745,52.83,3008324,29492,53.038872,53.485,True,False,86747.0
63,2021-09-29,52.77,53.24,52.7,52.74,2179736,24625,52.888817,53.105,True,False,54143.0
64,2021-09-30,52.82,53.03,52.0401,52.13,3236061,28875,52.351343,52.785,True,False,90790.0
65,2021-10-01,52.27,53.29,52.15,52.94,2268942,28553,52.758115,52.24,False,True,75733.0
66,2021-10-04,52.98,53.9,52.56,52.77,3032561,33268,53.010772,53.26,False,False,79330.0
67,2021-10-05,52.89,53.63,52.56,53.43,2208974,23213,53.358306,53.44,True,False,72331.0
68,2021-10-06,52.93,53.33,52.405,53.32,2450435,23608,52.98832,52.585,False,True,56997.0
69,2021-10-07,53.95,54.389,53.64,54.16,2235560,25670,54.189623,54.18,False,False,55988.0
70,2021-10-08,54.47,54.895,54.22,54.52,2242432,21586,54.584909,54.78,True,False,48002.0
71,2021-10-11,54.6,55.3969,54.41,54.48,2546224,25105,54.776157,55.16,True,False,115411.0
72,2021-10-12,54.525,54.75,54.2,54.43,2795887,27241,54.453066,54.5,True,False,159716.0
