,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,47.2,47.735,47.19,47.6,2579654,20429,47.548575,47.62,True,False,76358.0
1,2021-07-01,48.065,48.56,47.77,48.27,2879521,20861,48.287125,48.215,False,True,74460.0
2,2021-07-02,48.22,48.39,47.805,48.05,1992409,20079,48.043653,48.09,False,False,37758.0
3,2021-07-06,47.69,47.69,46.32,46.61,3593962,26216,46.639276,46.695,True,False,78333.0
4,2021-07-07,46.16,47.05,46.02,46.79,4101086,38034,46.643696,46.17,False,True,318985.0
5,2021-07-08,45.9,46.0,44.595,44.86,5399730,48767,45.135723,45.56,True,False,192517.0
6,2021-07-09,45.85,47.08,45.53,46.87,4994064,43692,46.594907,46.23,False,True,212348.0
7,2021-07-12,46.37,47.725,45.97,47.44,3443450,27472,47.348653,47.28,True,True,60355.0
8,2021-07-13,47.26,47.545,46.68,46.73,2960522,29685,46.915354,46.93,False,False,47482.0
9,2021-07-14,46.96,47.35,46.02,46.41,2777829,25183,46.677768,46.47,False,False,70576.0
10,2021-07-15,47.24,48.2,47.02,48.07,7686807,54397,47.832348,47.68,False,True,218814.0
11,2021-07-16,48.23,48.25,46.64,46.9,4368390,39089,47.222353,47.32,False,False,166532.0
12,2021-07-19,45.48,45.78,44.54,44.93,5414445,51238,44.928451,45.32,True,False,118789.0
13,2021-07-20,44.99,47.53,44.87,47.23,5103356,43246,46.934173,46.69,False,True,95613.0
14,2021-07-21,47.7,48.97,47.65,48.29,3956743,32764,48.321881,48.48,False,False,140549.0
15,2021-07-22,48.0,48.1,47.24,47.56,2811299,23340,47.64076,47.7,True,False,68612.0
16,2021-07-23,47.86,48.35,47.13,47.31,3023083,28468,47.512452,47.7599,True,False,82518.0
17,2021-07-26,47.3,48.01,47.18,47.71,3023007,25205,47.56621,47.42,False,True,85721.0
18,2021-07-27,47.07,47.805,46.78,47.42,2343300,19932,47.38591,47.6,False,False,53775.0
19,2021-07-28,47.64,47.75,46.18,46.95,2946244,27570,47.000078,46.5,True,True,128039.0
20,2021-07-29,47.63,47.985,47.01,47.87,3481717,31311,47.732157,47.53,True,True,114530.0
21,2021-07-30,47.5,48.28,47.14,47.35,4686188,28184,47.45126,47.73,False,False,92665.0
22,2021-08-02,47.77,48.84,47.28,47.37,2767631,32755,47.665828,47.98,False,False,69818.0
23,2021-08-03,47.66,47.795,46.44,47.74,2330134,24214,47.477736,47.31,True,True,51603.0
24,2021-08-04,47.11,47.64,46.77,47.09,3585380,31220,47.170009,47.5,True,False,79390.0
25,2021-08-05,47.6,48.75,47.6,48.66,4681540,41008,48.346155,48.35,True,True,240160.0
26,2021-08-06,50.25,51.376,50.0,50.95,4807338,48625,50.890416,50.95,True,False,208108.0
27,2021-08-09,50.76,52.145,50.39,51.85,4382529,44196,51.723803,51.325,True,True,171861.0
28,2021-08-10,51.95,53.405,51.86,53.14,7484329,49752,53.104154,52.995,False,True,365505.0
29,2021-08-11,53.28,54.12,52.78,54.08,5612969,46738,53.764394,53.63,True,True,152756.0
30,2021-08-12,54.3,54.58,53.63,53.88,3644835,30336,53.966323,53.79,True,True,109669.0
31,2021-08-13,54.09,54.93,53.89,54.61,4672776,42905,54.493163,54.09,True,True,167470.0
32,2021-08-16,54.14,54.83,53.73,54.61,4638159,35188,54.449387,54.45,True,True,144887.0
33,2021-08-17,54.24,54.96,53.805,54.01,4477792,43740,54.219228,54.6572,False,False,100105.0
34,2021-08-18,53.69,54.9,53.53,53.76,4991610,41164,54.237607,54.615,True,False,126624.0
35,2021-08-19,52.83,53.9,52.54,52.96,7270366,53206,53.022274,53.34,False,False,109821.0
36,2021-08-20,53.06,53.83,52.72,53.57,4032734,36059,53.431577,52.73,False,True,140805.0
37,2021-08-23,54.07,54.76,54.0,54.16,3728853,33359,54.361007,54.415,True,False,150875.0
38,2021-08-24,54.13,54.69,53.885,54.36,3797697,33821,54.354973,54.07,True,True,121905.0
39,2021-08-25,54.48,55.5,54.22,54.93,4016821,35553,55.058209,55.045,True,False,249920.0
40,2021-08-26,54.99,55.13,53.99,54.02,3295057,32398,54.344525,54.49,False,False,86478.0
41,2021-08-27,54.28,55.11,54.15,55.01,3468762,32294,54.862568,54.71,True,True,169894.0
42,2021-08-30,54.92,55.05,54.0,54.02,3708147,25317,54.411989,54.48,True,False,72544.0
