,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,141.36,141.43,139.25,140.08,914079,12466,140.115098,140.61,True,False,35116.0
1,2021-07-01,140.4,141.04,139.96,140.42,985625,13782,140.421818,140.16,True,True,21621.0
2,2021-07-02,140.26,140.62,139.72,140.3,938724,12737,140.184327,140.27,False,True,24621.0
3,2021-07-06,140.05,141.03,139.98,140.96,997800,13362,140.678116,140.38,False,True,31187.0
4,2021-07-07,140.9,142.02,140.6,141.84,663965,12889,141.58773,140.8,False,True,19811.0
5,2021-07-08,140.59,140.915,138.49,138.82,984449,13428,139.212161,140.11,True,False,12542.0
6,2021-07-09,140.05,140.52,139.6,140.5,986138,15855,140.151812,139.66,False,True,40653.0
7,2021-07-12,140.31,141.75,140.27,140.98,788134,14329,141.039197,141.46,False,False,18134.0
8,2021-07-13,140.86,140.93,138.93,139.14,481788,10049,139.512945,140.1811,False,False,26993.0
9,2021-07-14,139.39,139.61,138.39,138.9,693571,10617,138.947854,139.07,True,False,14795.0
10,2021-07-15,138.3,140.83,138.0,140.14,594069,11733,139.975259,139.875,False,True,10835.0
11,2021-07-16,139.84,140.82,139.67,139.92,491929,8889,140.235269,140.11,True,False,20064.0
12,2021-07-19,138.82,138.83,135.5,136.64,892912,13179,136.68168,137.3275,False,False,18103.0
13,2021-07-20,136.99,139.82,136.69,139.27,1073538,14340,139.143408,139.05,True,True,18183.0
14,2021-07-21,139.63,146.98,139.29,140.85,1415046,20933,142.33595,140.75,True,True,11518.0
15,2021-07-22,141.645,142.53,140.95,142.11,936372,14327,142.020002,141.99,True,True,11244.0
16,2021-07-23,142.89,143.31,142.12,143.05,536383,9135,142.907989,142.8657,True,True,5484.0
17,2021-07-26,140.05,141.365,138.61,140.22,1745270,21576,140.22546,139.82,True,True,52218.0
18,2021-07-27,139.3,141.15,138.63,140.33,1496758,19623,140.273216,139.975,False,True,57937.0
19,2021-07-28,139.52,139.99,137.21,137.51,1166426,19571,137.866192,138.17,False,False,25833.0
20,2021-07-29,138.51,139.97,137.96,139.51,1145975,16355,139.333026,139.17,True,True,24089.0
21,2021-07-30,139.96,141.97,139.135,139.31,1430845,23034,140.033887,140.14,True,False,67628.0
22,2021-08-02,140.35,141.16,138.93,139.18,992288,18734,139.661798,140.86,True,False,23521.0
23,2021-08-03,139.07,140.24,138.25,138.55,1040852,18501,138.947312,139.95,False,False,36080.0
24,2021-08-04,138.48,139.03,136.92,136.95,765805,11010,137.514621,138.79,True,False,17136.0
25,2021-08-05,138.04,138.71,137.265,138.62,755888,11153,138.13694,138.44,True,True,14611.0
26,2021-08-06,139.55,139.77,138.37,139.06,888151,10858,138.952809,138.645,True,True,7424.0
27,2021-08-09,138.89,140.35,138.54,140.31,1053754,9719,139.903823,139.15,True,True,4204.0
