,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,117.65,117.81,116.355,116.6,953718,14582,116.774112,117.055,False,False,29792.0
1,2021-07-01,116.72,117.56,116.63,117.08,836665,13392,117.19692,117.25,True,False,16606.0
2,2021-07-02,117.75,118.235,117.56,118.04,640011,11026,117.957887,117.83,False,True,11855.0
3,2021-07-06,118.0,118.62,116.53,117.19,1086160,14647,117.334124,117.42,True,False,24549.0
4,2021-07-07,117.68,118.17,115.25,117.95,1983020,19754,117.563533,115.53,False,True,38361.0
5,2021-07-08,116.72,118.23,116.16,117.72,1012552,15255,117.338101,116.61,False,True,163529.0
6,2021-07-09,117.95,118.1,116.72,117.9,997371,16586,117.528549,116.91,True,True,39563.0
7,2021-07-12,118.04,118.255,115.29,115.55,1127207,21701,116.129337,117.025,False,False,61124.0
8,2021-07-13,115.52,116.69,115.02,115.14,932627,16534,115.486702,115.72,True,False,30029.0
9,2021-07-14,115.57,116.83,115.3,116.01,700793,12415,116.072001,116.54,True,False,22707.0
10,2021-07-15,115.95,116.79,115.45,116.45,859750,12913,116.393156,115.55,False,True,20788.0
11,2021-07-16,116.88,117.84,116.4,117.03,716711,12276,117.1759,116.9204,True,True,12013.0
12,2021-07-19,116.39,117.715,116.17,117.27,776861,15263,116.956415,116.44,False,True,30157.0
13,2021-07-20,117.8,118.58,117.48,117.54,1389883,17104,117.882195,118.3794,True,False,12904.0
14,2021-07-21,117.36,117.94,116.14,117.62,597293,11355,117.482497,117.39,True,True,6077.0
15,2021-07-22,117.8,119.56,116.72,116.96,1778916,24070,117.650042,119.28,True,False,27092.0
16,2021-07-23,117.42,120.665,116.56,119.54,1106287,16747,119.34638,118.34,True,True,29603.0
17,2021-07-26,119.5,120.0,118.34,119.22,563038,11040,119.209768,119.0,True,True,33304.0
18,2021-07-27,119.46,120.49,118.745,119.85,988995,17194,119.705394,118.75,False,True,26574.0
19,2021-07-28,119.84,120.625,118.73,119.14,675361,12398,119.267229,120.21,False,False,10954.0
20,2021-07-29,119.07,119.88,118.56,119.38,984224,11362,119.258224,118.83,False,True,20314.0
21,2021-07-30,118.54,120.675,118.43,119.92,850156,14022,119.915986,119.76,True,True,14771.0
22,2021-08-02,119.87,120.0,117.23,118.9,1094117,17177,118.746941,117.9469,False,True,42425.0
23,2021-08-03,119.05,120.28,118.56,119.82,1127058,18621,119.366977,119.335,True,True,33527.0
24,2021-08-04,113.55,113.97,110.2703,112.41,3857972,52135,112.028196,111.33,True,True,160531.0
25,2021-08-05,112.39,114.3,111.2801,113.38,1969495,25358,113.297526,113.58,True,False,67701.0
26,2021-08-06,113.47,115.075,113.45,114.57,1517110,19975,114.509838,114.52,False,True,124391.0
27,2021-08-09,114.97,115.32,114.33,115.09,986174,14202,114.982971,115.27,True,False,39219.0
28,2021-08-10,115.41,116.12,115.113,115.6,694749,14060,115.595851,115.57,True,True,50570.0
29,2021-08-11,116.04,116.82,115.41,116.36,703078,11570,116.108796,115.67,True,True,19102.0
30,2021-08-12,116.39,117.77,115.95,117.28,823297,15615,117.250002,117.065,True,True,8148.0
31,2021-08-13,117.62,117.81,115.96,116.29,1000938,16291,116.520586,117.29,False,False,28378.0
32,2021-08-16,116.037,116.29,114.65,115.26,881127,15004,115.180821,115.01,False,True,36756.0
33,2021-08-17,114.66,115.15,114.21,114.93,677750,12935,114.74711,114.9486,True,False,10947.0
34,2021-08-18,114.56,114.9,112.15,112.22,1090366,18971,112.979699,113.47,False,False,31133.0
35,2021-08-19,112.01,113.95,111.9365,113.02,1025886,15521,113.040397,112.52,False,True,25019.0
36,2021-08-20,113.31,114.7,112.75,114.49,851805,14272,114.262439,114.03,False,True,20234.0
37,2021-08-23,114.74,114.87,114.16,114.38,643390,10797,114.480517,114.665,True,False,12083.0
38,2021-08-24,114.52,114.8,113.285,113.75,720617,14088,113.799917,113.85,False,False,23548.0
39,2021-08-25,113.57,114.08,112.76,113.23,773694,14419,113.243904,113.47,True,False,23799.0
40,2021-08-26,113.01,113.75,112.18,113.315,757261,16397,113.174317,112.8412,True,True,29909.0
41,2021-08-27,113.0,113.08,111.16,112.2,1878683,27650,111.962178,112.485,False,False,38475.0
42,2021-08-30,112.75,113.595,112.19,113.02,1160751,19011,112.974373,113.01,False,True,27834.0
43,2021-08-31,113.22,113.55,112.29,113.25,1824788,22055,113.143081,113.12,False,True,34567.0
