,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,608.44,616.08,603.54,611.0,508656,16112,611.351721,612.65,False,False,24351.0
1,2021-07-01,609.31,619.04,607.59,618.96,657657,17034,615.659846,611.455,False,True,18712.0
2,2021-07-02,624.7,625.36,615.36,624.17,370897,10914,622.256385,617.79,True,True,5791.0
3,2021-07-06,625.1,626.96,592.13,604.67,846894,23347,605.183712,597.58,False,True,44929.0
4,2021-07-07,608.22,617.27,604.01,612.22,369539,15466,611.620072,604.86,False,True,15218.0
5,2021-07-08,604.93,620.525,598.02,616.79,410032,17023,613.07058,604.79,True,True,8371.0
6,2021-07-09,621.95,638.48,613.71,627.19,609109,22362,629.356588,637.1499,True,False,36287.0
7,2021-07-12,631.7,644.89,623.75,642.86,573420,17052,639.926498,638.9,True,True,15961.0
8,2021-07-13,643.495,647.825,636.45,642.4,404866,12164,642.352444,640.65,True,True,7829.0
9,2021-07-14,646.76,653.86,631.73,635.09,485119,15945,638.557784,642.49,False,False,11642.0
10,2021-07-15,634.49,638.27,609.36,621.7,699787,21811,620.268816,614.915,True,True,10042.0
11,2021-07-16,623.0,628.35,613.52,616.12,471551,12798,618.598938,624.09,True,False,12617.0
12,2021-07-19,610.0,609.37,591.56,595.56,675810,23352,596.772729,599.35,True,False,12564.0
13,2021-07-20,596.05,620.37,589.24,615.71,659982,17854,612.123828,605.02,True,True,13376.0
14,2021-07-21,615.71,621.47,603.5,619.65,629300,17860,615.203958,605.515,True,True,32526.0
15,2021-07-22,622.1,628.99,615.92,627.92,358015,11790,625.23026,625.82,True,True,12275.0
16,2021-07-23,631.31,640.41,624.9,638.28,411423,12849,635.165872,628.595,False,True,12577.0
17,2021-07-26,636.01,636.62,623.56,635.58,577867,16039,632.030381,629.23,False,True,79614.0
18,2021-07-27,635.19,638.2,617.67,625.51,489589,15886,624.825423,624.95,False,True,15498.0
19,2021-07-28,626.45,630.0,616.5801,621.87,546430,16318,623.082451,620.73,False,True,12449.0
20,2021-07-29,636.0,682.59,634.0,676.98,1575781,40776,667.244581,651.935,False,True,51095.0
21,2021-07-30,675.6,697.8673,673.0,695.8,965254,25987,691.696623,685.33,False,True,25011.0
22,2021-08-02,700.0,713.7,695.6,700.0,869339,25471,700.89116,705.16,True,False,20604.0
23,2021-08-03,699.16,706.0724,687.555,701.34,704369,19115,699.872615,696.28,False,True,17741.0
24,2021-08-04,698.62,712.98,698.58,708.01,519680,15425,707.237407,704.165,False,True,11988.0
25,2021-08-05,710.99,714.15,694.12,699.22,553081,17233,702.055936,701.29,True,False,17097.0
26,2021-08-06,696.73,700.79,684.0,693.67,656796,17530,691.241541,687.64,False,True,84570.0
27,2021-08-09,691.04,695.0,684.9,686.56,330470,11147,688.181852,691.255,False,False,7453.0
