,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,60.07,60.62,59.83,60.31,4110292,26881,60.194089,60.18,True,True,127419.0
1,2021-07-01,60.76,61.55,60.46,61.43,2286497,27643,61.026757,61.32,True,True,99571.0
2,2021-07-02,61.53,61.75,60.41,60.71,1195278,16888,60.730224,60.56,False,True,38141.0
3,2021-07-06,60.75,61.09,58.94,59.19,1451371,20001,59.415618,59.705,True,False,76823.0
4,2021-07-07,58.85,59.63,57.22,57.62,2205785,26724,57.881477,57.31,False,True,102026.0
5,2021-07-08,56.44,58.7299,55.93,57.78,1828152,22078,57.670645,57.65,True,True,57874.0
6,2021-07-09,58.27,59.59,58.27,59.38,1210479,16228,59.267902,59.27,False,True,45802.0
7,2021-07-12,58.75,59.8,58.07,59.67,1295638,18106,59.464934,59.53,False,True,41915.0
8,2021-07-13,59.07,59.105,57.47,57.62,1806703,24654,57.908656,58.33,False,False,60901.0
9,2021-07-14,58.5,59.39,57.21,57.55,1529985,20230,57.907509,58.35,False,False,135788.0
10,2021-07-15,57.11,58.0,56.01,56.91,1936447,23349,56.982503,57.38,False,False,59450.0
11,2021-07-16,57.5,57.62,54.36,54.62,2806439,28945,55.346979,56.395,False,False,56550.0
12,2021-07-19,52.89,53.71,51.75,52.83,3095833,40024,52.693095,53.01,True,False,182218.0
13,2021-07-20,52.9,55.91,52.58,55.48,2399467,28986,54.897059,54.23,False,True,85445.0
14,2021-07-21,56.64,58.22,56.26,57.59,2656060,31079,57.365052,57.07,False,True,72842.0
15,2021-07-22,57.01,58.98,55.4,57.98,4906476,48778,57.865151,57.275,True,True,157653.0
16,2021-07-23,58.83,59.48,57.7437,58.25,1918779,21821,58.464935,58.5,True,False,51782.0
17,2021-07-26,58.195,60.66,58.26,60.56,2324368,26211,59.764403,59.2,False,True,79763.0
18,2021-07-27,60.38,60.49,59.08,59.32,1551407,19608,59.445159,59.46,False,False,84340.0
19,2021-07-28,59.95,60.2,58.32,59.66,1582032,21168,59.426915,58.63,True,True,51795.0
20,2021-07-29,60.29,60.5,58.82,58.85,1421580,19905,59.4508,59.86,True,False,23315.0
21,2021-07-30,58.0,59.42,57.7,58.03,2071511,26703,58.153343,58.35,False,False,86829.0
22,2021-08-02,58.11,59.73,56.62,56.71,2432678,36525,57.756706,58.44,False,False,66395.0
23,2021-08-03,56.68,57.2,55.2,57.19,1829730,22926,56.432855,56.18,True,True,77828.0
24,2021-08-04,56.15,56.96,54.79,55.24,2126010,33607,55.485064,56.06,True,False,99558.0
25,2021-08-05,55.29,57.8698,55.15,57.56,2223137,26818,57.012904,56.59,True,True,113195.0
26,2021-08-06,58.28,58.49,57.02,57.87,1499297,17793,57.668289,57.11,False,True,53238.0
27,2021-08-09,57.2,57.47,55.87,56.86,1344916,18974,56.903562,56.32,False,True,43564.0
28,2021-08-10,56.71,58.98,56.52,58.47,1620021,22219,58.298096,57.9625,True,True,71710.0
29,2021-08-11,57.97,59.72,57.51,59.45,2008721,24441,59.027636,58.75,False,True,134928.0
30,2021-08-12,59.01,59.2499,57.71,58.57,1174575,15282,58.362156,57.99,False,True,36821.0
31,2021-08-13,58.47,58.55,57.45,57.62,1099502,16175,57.815171,57.88,False,False,27378.0
32,2021-08-16,56.92,57.52,56.09,57.36,1415365,21483,57.10046,57.18,True,True,49900.0
33,2021-08-17,56.24,56.4875,54.5599,55.24,1860312,27440,55.321162,55.7,False,False,55673.0
34,2021-08-18,55.0,56.17,54.75,54.89,2303686,25148,55.228953,55.42,True,False,88431.0
35,2021-08-19,54.49,54.815,52.88,53.98,1743570,24600,53.699569,53.41,False,True,76369.0
36,2021-08-20,53.94,54.46,53.595,54.35,1251263,17836,54.188944,53.77,False,True,43104.0
37,2021-08-23,54.96,56.07,54.94,55.15,2323259,29313,55.293433,55.32,False,False,69797.0
38,2021-08-24,56.14,57.48,55.96,57.12,1393683,20187,57.045815,56.76,False,True,47654.0
39,2021-08-25,57.23,58.09,56.71,57.66,1336246,18209,57.725142,57.61,True,True,18691.0
40,2021-08-26,57.25,58.18,56.65,57.18,1340945,19043,57.370369,57.51,False,False,57651.0
41,2021-08-27,57.35,58.72,57.31,58.22,1414010,20062,58.313637,58.2,True,True,67114.0
42,2021-08-30,58.63,58.51,56.53,56.71,1246991,18981,56.920328,57.19,True,False,42905.0
43,2021-08-31,56.45,57.71,56.3574,57.34,1410813,19039,57.167424,56.89,False,True,55109.0
44,2021-09-01,57.78,57.87,56.61,57.23,1173282,16774,57.372656,57.5,True,False,36794.0
45,2021-09-02,57.38,58.29,56.79,57.84,1149619,17084,57.79006,57.75,True,True,41891.0
46,2021-09-03,57.56,58.56,56.85,57.11,1401008,19061,57.519298,57.92,False,False,32840.0
47,2021-09-07,56.35,57.42,56.12,57.14,1253966,18941,56.970477,56.73,False,True,26024.0
48,2021-09-08,57.25,58.1,56.15,56.39,1351587,18895,56.545744,56.74,False,False,53585.0
49,2021-09-09,56.04,59.24,55.84,58.2,2206963,25823,58.316293,58.34,True,False,66348.0
50,2021-09-10,58.2,58.41,56.02,56.09,2096455,23809,56.531885,56.93,False,False,42364.0
51,2021-09-13,56.7,57.65,55.43,57.16,1360344,18021,56.944678,57.21,True,False,35486.0
52,2021-09-14,56.78,57.13,55.95,56.3,1080253,14822,56.289716,56.085,False,True,48825.0
53,2021-09-15,56.01,56.51,55.45,56.34,1571116,19643,56.16361,55.6,False,True,36709.0
54,2021-09-16,56.87,57.6,56.72,57.02,1377994,18835,57.212689,57.07,False,False,25126.0
55,2021-09-17,57.185,58.04,56.22,56.92,2368377,22164,56.948487,57.05,False,False,33187.0
56,2021-09-20,56.3,57.43,55.73,56.96,2279361,23399,56.591598,56.37,True,True,72038.0
57,2021-09-21,57.38,58.04,55.9,56.11,1564809,21256,56.415346,56.549,False,False,63710.0
58,2021-09-22,56.69,58.08,56.57,57.45,1904661,24898,57.549544,57.355,True,True,28515.0
59,2021-09-23,58.06,60.26,57.8017,59.8,2596527,29234,59.744567,59.6,True,True,147488.0
60,2021-09-24,59.99,61.39,59.7,60.79,2050735,28006,60.842267,60.95,True,False,100298.0
61,2021-09-27,61.65,62.85,61.17,61.25,1874855,27828,61.832713,62.37,True,False,51419.0
62,2021-09-28,61.4,62.37,61.01,61.22,1724955,23846,61.430075,61.54,True,False,54581.0
63,2021-09-29,61.7,61.71,60.36,60.45,1788406,15486,60.800597,61.565,True,False,49520.0
64,2021-09-30,60.13,60.18,58.16,58.6,2005590,26053,58.741734,58.72,True,False,98890.0
65,2021-10-01,60.41,62.68,59.82,62.2,2617013,33110,61.533431,60.21,False,True,111267.0
66,2021-10-04,62.77,63.76,61.97,62.09,1850861,23234,62.456153,62.48,True,False,68826.0
67,2021-10-05,62.15,62.91,61.195,61.6,1701557,20645,61.869166,62.79,True,False,50336.0
68,2021-10-06,59.83,61.08,59.51,61.05,1617901,21525,60.369887,59.69,False,True,47379.0
69,2021-10-07,61.76,61.87,60.21,60.24,1518247,17737,60.791833,61.345,True,False,45212.0
70,2021-10-08,60.59,60.73,59.4528,59.8,894853,13958,59.838614,60.26,True,False,24532.0
71,2021-10-11,59.07,60.02,58.33,58.46,1545600,22056,58.969028,59.4,True,False,36203.0
72,2021-10-12,58.09,58.89,57.63,58.43,1774388,23079,58.389289,58.15,True,True,68300.0
73,2021-10-13,57.98,58.04,56.43,57.04,2170940,32291,56.890927,56.8,False,True,74405.0
74,2021-10-14,57.55,58.01,56.93,57.52,1243406,18681,57.649991,57.79,False,False,35172.0
75,2021-10-15,58.73,59.12,57.68,57.77,1923435,24432,58.338949,58.36,True,False,76399.0
76,2021-10-18,57.1,57.96,56.7,57.42,1241746,16660,57.491598,57.775,False,False,35788.0
77,2021-10-19,57.525,57.62,56.44,56.94,1705414,20258,56.958945,57.26,False,False,44142.0
78,2021-10-20,57.05,57.8583,56.23,57.25,2056461,20494,57.095399,57.79,True,False,44864.0
79,2021-10-21,57.6,58.0,55.89,56.2,2730948,26181,56.726195,57.38,True,False,68693.0
80,2021-10-22,55.28,55.66,53.64,53.81,3064087,32897,54.229509,54.12,False,False,119876.0
81,2021-10-25,53.53,54.63,53.395,53.94,1833982,20595,53.88817,54.21,True,False,56022.0
82,2021-10-26,54.72,55.3,54.04,54.27,1573894,19097,54.519668,54.9853,True,False,86708.0
83,2021-10-27,54.28,54.47,52.69,52.71,1520963,20322,53.24032,53.68,False,False,43781.0
84,2021-10-28,52.81,53.44,52.62,52.86,1515305,18941,52.921007,53.08,False,False,41624.0
85,2021-10-29,53.02,53.5,52.2,52.8,1666607,19160,52.641396,52.91,True,False,32222.0
86,2021-11-01,53.02,54.74,52.5968,54.71,1748759,22169,54.246775,53.91,False,True,44157.0
87,2021-11-02,54.54,54.62,53.61,54.45,1400621,16574,54.195816,53.91,False,True,48693.0
88,2021-11-03,54.21,55.99,53.9601,55.93,1690275,22383,55.567427,55.535,True,True,68556.0
89,2021-11-04,56.22,56.4,55.26,55.73,1215246,17538,55.796356,55.965,True,False,25260.0
90,2021-11-05,58.51,59.7299,58.131,59.35,2459378,33377,59.030839,58.43,True,True,51948.0
91,2021-11-08,59.57,60.1167,58.64,58.88,1935171,27073,59.281624,59.71,True,False,178340.0
92,2021-11-09,58.77,59.2,57.96,58.83,1508250,19236,58.667566,58.815,False,True,66768.0
93,2021-11-10,57.85,58.815,57.26,57.54,1320543,20496,57.929805,58.3,True,False,116906.0
94,2021-11-11,57.56,57.72,56.74,56.81,806990,14267,57.09338,57.3675,False,False,50701.0
95,2021-11-12,56.76,57.13,55.05,55.65,2386471,23421,55.70067,56.6753,False,False,69323.0
96,2021-11-15,56.16,56.4,55.3778,55.67,1221417,16511,55.774059,55.98,False,False,87602.0
97,2021-11-16,55.42,55.545,53.56,53.89,2343665,27036,54.10213,54.89,False,False,118179.0
98,2021-11-17,53.56,54.06,52.95,53.54,1288785,19684,53.45702,53.725,True,False,107630.0
99,2021-11-18,53.74,53.75,52.04,52.54,1804737,21098,52.621438,53.21,False,False,94402.0
100,2021-11-19,51.76,52.84,50.98,52.74,3460971,28122,52.319216,51.33,False,True,175170.0
101,2021-11-22,53.09,53.88,52.48,53.08,1918923,19819,53.111749,53.34,True,False,88965.0
102,2021-11-23,53.64,54.09,52.4661,52.73,1219611,17248,52.903606,53.895,True,False,77304.0
103,2021-11-24,52.29,53.65,51.96,52.91,1523374,12799,52.934219,52.23,False,True,85742.0
104,2021-11-26,49.97,50.07,47.38,49.45,3090563,35639,48.506322,48.46,False,True,546559.0
105,2021-11-29,50.43,50.98,48.76,49.45,2657232,30907,49.454081,49.6,False,False,234746.0
106,2021-11-30,48.45,49.13,47.56,48.57,2249360,24205,48.370289,48.91,True,False,171897.0
107,2021-12-01,49.89,50.22,46.26,46.29,2591443,31506,47.675758,49.85,False,False,162345.0
108,2021-12-02,46.92,49.849,46.8028,49.52,2201578,26513,48.698015,48.3269,True,True,174357.0
109,2021-12-03,49.34,49.72,47.731,48.57,1676725,21454,48.555622,48.34,False,True,154068.0
110,2021-12-06,50.0,52.265,49.47,50.62,2714782,32595,51.220866,50.21,True,True,145352.0
111,2021-12-07,51.43,51.85,49.92,50.35,1873219,23244,50.718085,51.0599,False,False,135603.0
112,2021-12-08,50.78,52.8994,50.61,51.43,2169568,23514,51.771092,51.53,True,False,212071.0
113,2021-12-09,50.96,51.78,49.85,51.42,2309128,22468,51.302631,50.32,False,True,136758.0
114,2021-12-10,51.56,52.06,50.7214,51.67,2005094,22833,51.536554,51.12,False,True,95469.0
115,2021-12-13,50.78,50.94,49.68,50.3,1627479,22382,50.231822,50.42,False,False,87591.0
116,2021-12-14,50.09,51.69,50.01,50.14,1552900,20977,50.674112,51.05,True,False,110563.0
117,2021-12-15,50.23,50.43,48.78,50.27,1832660,24600,49.677989,49.1699,False,True,107785.0
118,2021-12-16,50.99,51.14,49.04,49.22,1726214,25487,49.822462,50.075,False,False,94143.0
119,2021-12-17,49.19,50.98,48.71,50.03,3771830,23552,49.939223,48.82,False,True,171747.0
120,2021-12-20,48.86,50.2,48.27,49.34,1867100,20426,49.133727,48.6001,False,True,107041.0
121,2021-12-21,49.98,52.28,49.875,52.07,2165441,24029,51.735019,50.6001,True,True,103997.0
122,2021-12-22,52.1,52.72,51.57,52.19,1604391,19719,52.232511,52.4,True,False,98786.0
