,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,130.06,130.62,129.295,130.44,1204910,15893,130.043152,129.79,True,True,32490.0
1,2021-07-01,131.18,133.69,130.57,132.79,1642951,23764,132.630211,131.37,True,True,29770.0
2,2021-07-02,132.89,133.495,131.96,133.23,953409,14858,133.00979,132.88,True,True,19800.0
3,2021-07-06,132.63,132.76,130.435,131.7,1989506,17896,131.671044,130.93,True,True,26265.0
4,2021-07-07,130.7,133.4,129.9348,133.09,1165733,19298,132.742708,131.68,True,True,56140.0
5,2021-07-08,132.09,132.89,129.76,130.4,1647632,22372,131.019307,132.34,True,False,28876.0
6,2021-07-09,132.49,133.7697,131.82,133.47,1186065,18098,133.295867,133.365,False,True,33188.0
7,2021-07-12,132.64,134.83,132.25,134.57,1477105,22393,134.160955,134.075,False,True,70933.0
8,2021-07-13,134.42,134.57,132.09,132.28,1121932,19940,132.684992,133.07,False,False,28579.0
9,2021-07-14,132.44,133.22,130.61,131.69,1312914,18486,131.624642,131.62,False,True,25621.0
10,2021-07-15,128.22,130.79,125.04,130.49,2877659,37626,129.18935,128.4,True,True,80148.0
11,2021-07-16,130.51,131.37,129.965,130.45,1625592,21361,130.538062,130.085,False,True,33171.0
12,2021-07-19,129.05,129.51,125.93,127.49,1972830,26284,127.181598,127.62,True,False,42528.0
13,2021-07-20,127.24,129.89,127.09,127.83,1908741,29658,128.207778,128.93,True,False,40453.0
14,2021-07-21,128.97,130.28,128.5,128.79,1164765,17249,129.068776,129.1,False,False,53823.0
15,2021-07-22,128.5,128.7,127.4,128.25,1303116,16601,128.109897,128.38,True,False,23085.0
16,2021-07-23,129.255,130.0,128.56,129.74,1008973,14988,129.468945,129.21,True,True,39461.0
17,2021-07-26,129.905,131.04,129.8,130.5,828352,13448,130.38664,130.01,False,True,21787.0
18,2021-07-27,129.95,131.96,129.37,131.45,715928,13706,131.279601,131.51,True,False,29721.0
19,2021-07-28,131.47,132.11,128.985,130.41,1078552,18739,130.383636,129.275,True,True,54074.0
20,2021-07-29,131.82,133.055,130.5,132.52,999184,15469,132.275415,131.55,True,True,31220.0
21,2021-07-30,131.825,131.99,129.635,130.05,1418966,19653,130.414409,131.09,True,False,39976.0
22,2021-08-02,130.67,132.075,129.65,129.76,1018326,18416,130.359215,130.91,False,False,57066.0
23,2021-08-03,130.16,130.89,128.655,130.71,1666281,19153,130.439942,130.105,True,True,40536.0
24,2021-08-04,130.02,130.66,128.93,128.93,1106388,17033,129.555848,130.52,True,False,32575.0
25,2021-08-05,127.4,128.0,124.8,127.93,1940446,27716,127.017121,127.1801,True,True,68847.0
26,2021-08-06,128.64,131.54,128.57,130.82,2027841,23979,130.647716,130.27,True,True,51772.0
27,2021-08-09,131.04,133.55,130.62,132.68,1455493,21691,132.719181,132.46,True,True,49686.0
28,2021-08-10,132.98,134.98,132.15,134.33,1452836,19960,134.23017,133.64,True,True,74894.0
29,2021-08-11,134.52,135.74,133.74,135.61,1104718,19740,135.201735,134.87,True,True,40977.0
30,2021-08-12,135.96,136.76,134.96,135.25,978785,17908,135.435113,135.66,True,False,26122.0
31,2021-08-13,136.02,136.27,134.255,135.06,845241,14477,135.096462,134.6909,True,True,40006.0
32,2021-08-16,134.61,136.63,134.0001,136.54,982144,14571,136.044372,135.92,False,True,35363.0
33,2021-08-17,134.36,135.4,133.694,134.73,1927862,20570,134.637649,134.08,False,True,48090.0
34,2021-08-18,134.26,136.46,134.09,134.31,1371483,19278,135.203484,135.66,True,False,19805.0
35,2021-08-19,133.41,134.98,132.915,134.03,1032900,18298,134.093063,134.2,False,False,35966.0
36,2021-08-20,134.01,135.18,133.62,134.56,1348024,20745,134.568661,133.975,False,True,67289.0
37,2021-08-23,135.34,138.78,135.01,137.33,2382252,27619,137.672337,137.115,False,True,46805.0
38,2021-08-24,137.39,138.0,136.86,136.95,1227408,16083,137.268908,137.23,True,False,35797.0
39,2021-08-25,137.34,139.45,137.34,137.87,1456031,20798,138.495926,139.15,True,False,59282.0
40,2021-08-26,138.09,138.23,136.18,136.22,1421256,21158,136.829358,137.42,False,False,24251.0
41,2021-08-27,136.87,137.58,136.35,137.51,1062741,16691,137.195742,136.9499,True,True,62454.0
42,2021-08-30,136.47,136.9399,134.48,134.52,1153642,17405,135.270521,135.675,True,False,27150.0
43,2021-08-31,134.14,135.87,133.42,135.28,1822851,20970,135.172622,135.33,True,False,44772.0
44,2021-09-01,135.24,135.52,133.75,134.27,1988254,24387,134.397648,134.256,True,True,71362.0
45,2021-09-02,134.69,135.46,133.64,133.97,1476871,21436,134.094618,134.56,False,False,45606.0
46,2021-09-03,133.81,134.33,133.03,133.97,1404850,19534,133.997053,133.65,True,True,53488.0
47,2021-09-07,133.59,133.91,131.4,131.47,1369815,22435,132.304772,133.23,False,False,32058.0
48,2021-09-08,131.62,133.22,131.21,132.82,1188437,19186,132.740027,132.18,False,True,54008.0
49,2021-09-09,132.53,134.31,132.01,132.09,1440414,26577,132.759744,133.73,True,False,39201.0
50,2021-09-10,132.95,132.97,130.938,131.55,1308660,23087,131.720125,131.19,False,True,53819.0
51,2021-09-13,132.84,133.49,131.92,133.27,1599935,31300,133.060484,132.87,False,True,70374.0
52,2021-09-14,133.65,134.15,131.65,132.13,2115566,30372,132.157484,132.1165,False,True,49718.0
53,2021-09-15,132.08,133.62,131.01,131.69,1911362,29380,131.902872,131.2513,False,True,51301.0
54,2021-09-16,131.77,132.31,130.77,131.48,1513776,24262,131.577889,131.3,True,True,74789.0
55,2021-09-17,131.03,132.07,130.16,131.03,3399460,31240,130.978894,130.36,False,True,53200.0
