,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,139.14,139.58,138.63,139.3,509119,8433,139.159592,139.16,False,True,4414.0
1,2021-07-01,140.27,140.915,139.78,140.21,428445,8822,140.262041,140.4956,True,False,8880.0
2,2021-07-02,140.11,140.73,139.34,140.04,362283,7950,140.074958,139.92,False,True,8322.0
3,2021-07-06,139.54,140.53,136.68,138.56,379544,8754,138.133573,137.54,False,True,7822.0
4,2021-07-07,138.62,140.12,137.78,140.02,515801,10725,139.661444,139.1,True,True,18020.0
5,2021-07-08,138.76,138.66,136.79,137.52,438865,10441,137.513829,137.62,True,False,7695.0
6,2021-07-09,138.57,140.06,138.09,138.27,851901,13205,138.506578,138.83,False,False,7564.0
7,2021-07-12,137.79,138.61,137.28,138.12,506826,9440,138.019858,138.16,True,False,8725.0
8,2021-07-13,137.67,137.95,134.02,134.04,777719,12914,134.762254,135.92,False,False,10885.0
9,2021-07-14,134.61,136.56,134.024,135.87,756765,13208,135.947778,135.815,True,True,13570.0
10,2021-07-15,135.46,137.52,135.03,137.32,1086986,15504,136.617962,136.49,True,True,25938.0
11,2021-07-16,138.2,138.905,137.91,138.5,1079338,14766,138.426331,138.36,False,True,41529.0
12,2021-07-19,135.85,136.93,134.705,135.91,1005465,15861,135.810137,136.04,True,False,27749.0
13,2021-07-20,136.68,142.25,136.47,141.35,1063848,19888,140.823492,139.38,False,True,22187.0
14,2021-07-21,140.45,141.34,137.95,140.47,1210032,17780,140.14656,139.0,True,True,58177.0
15,2021-07-22,138.01,139.99,134.73,135.97,1260572,18892,136.250817,136.35,True,False,68582.0
16,2021-07-23,137.42,139.64,137.09,139.18,708109,11732,138.471161,137.83,True,True,18171.0
17,2021-07-26,139.79,140.13,137.95,138.05,1440217,15438,138.701137,138.94,True,False,52312.0
18,2021-07-27,136.97,138.62,135.24,136.7,676924,13555,136.890785,138.08,True,False,31016.0
19,2021-07-28,136.95,137.505,135.54,135.59,699761,11976,136.028386,136.13,False,False,11555.0
20,2021-07-29,136.99,137.83,135.31,135.5,575619,14448,135.988435,136.76,True,False,11267.0
21,2021-07-30,135.05,137.07,135.29,136.6,570947,11662,136.425706,136.37,False,True,15091.0
22,2021-08-02,137.44,138.57,135.7,135.87,746737,13382,136.351591,137.08,False,False,11183.0
23,2021-08-03,136.38,137.9,135.28,137.81,423759,8233,137.403524,136.87,True,True,7916.0
24,2021-08-04,136.79,137.78,135.44,135.47,563506,9215,136.042612,137.21,False,False,6925.0
25,2021-08-05,136.395,137.36,135.06,137.3,612341,11205,136.644577,135.73,True,True,5682.0
26,2021-08-06,138.3,139.06,137.14,137.54,486598,8428,137.69261,138.16,False,False,20784.0
