,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,132.99,133.7,132.61,133.5,708824,10907,133.32603,133.625,True,False,12680.0
1,2021-07-01,134.695,134.69,133.475,133.94,604940,12280,133.898621,133.76,False,True,18211.0
2,2021-07-02,133.71,135.17,133.53,134.94,773744,9125,134.749591,134.21,True,True,11873.0
3,2021-07-06,134.45,134.72,131.57,133.0,1238980,15441,132.835549,132.18,False,True,48016.0
4,2021-07-07,133.09,135.57,132.6,135.28,977904,12583,135.018756,133.88,False,True,20521.0
5,2021-07-08,133.62,134.295,131.67,133.03,898097,11852,133.058235,132.37,True,True,12963.0
6,2021-07-09,134.66,135.96,134.45,135.47,909170,13747,135.427332,135.79,False,False,19731.0
7,2021-07-12,134.59,136.685,134.12,136.3,1109917,17042,136.105506,135.975,True,True,29553.0
8,2021-07-13,135.96,136.27,134.72,135.01,718861,12312,135.21636,135.63,False,False,15422.0
9,2021-07-14,135.16,135.71,134.04,134.82,1085509,14021,134.854932,134.51,True,True,15136.0
10,2021-07-15,133.995,136.1,134.0,135.73,873159,15034,135.419293,135.6001,True,True,22514.0
11,2021-07-16,136.09,137.2,135.4,136.23,2944965,22583,136.273092,135.66,True,True,36709.0
12,2021-07-19,134.3,134.48,131.625,133.06,1257987,19056,132.898117,132.585,True,True,20392.0
13,2021-07-20,133.52,137.3,133.19,136.73,1057877,15271,136.54926,136.25,True,True,18960.0
14,2021-07-21,137.53,137.89,136.6,137.02,760032,12735,136.990348,136.85,True,True,32831.0
15,2021-07-22,137.01,137.59,135.93,137.17,757167,9966,137.060074,136.94,True,True,14333.0
16,2021-07-23,137.61,138.13,136.69,137.83,679234,10809,137.565419,137.58,True,True,16165.0
17,2021-07-26,138.19,138.38,136.75,137.25,726348,8845,137.400074,136.78,False,True,17257.0
18,2021-07-27,136.36,137.84,135.64,137.03,635623,10346,136.866905,137.26,True,False,32086.0
19,2021-07-28,136.99,137.78,135.93,136.87,462157,7975,137.007674,136.14,False,True,13874.0
