,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,242.85,244.27,242.06,243.75,2318676,38473,243.466357,243.09,True,True,50180.0
1,2021-07-01,243.75,247.1,243.55,246.9,2083970,38396,245.995251,244.19,False,True,59408.0
2,2021-07-02,247.42,249.895,246.2518,248.7,1941215,35321,248.456526,248.0516,True,True,58700.0
3,2021-07-06,247.26,248.12,243.17,243.65,2790334,47682,244.251863,245.05,True,False,67772.0
4,2021-07-07,244.0,244.28,241.34,243.22,2378584,43219,242.818295,242.69,False,True,89280.0
5,2021-07-08,243.27,246.7,242.445,244.28,1989109,41913,244.008966,242.66,False,True,58238.0
6,2021-07-09,243.09,245.93,241.7064,245.2,1605202,34083,245.031122,245.18,True,True,47878.0
7,2021-07-12,244.59,247.9037,243.54,244.37,2147008,37828,244.937887,246.42,False,False,57708.0
8,2021-07-13,245.19,246.75,242.975,244.83,1610087,33685,244.748919,243.618,False,True,34299.0
9,2021-07-14,244.22,245.33,241.49,244.7,2175282,38840,244.133517,243.59,True,True,54049.0
10,2021-07-15,243.61,247.57,242.14,246.63,2097271,41896,246.131962,244.49,True,True,43343.0
11,2021-07-16,246.63,249.529,246.54,247.96,3134257,43670,248.236903,247.12,False,True,88343.0
12,2021-07-19,247.8,249.95,244.85,246.73,2507807,45906,246.489421,246.065,False,True,80774.0
13,2021-07-20,247.27,250.39,245.71,246.89,3018453,47414,247.430646,248.6,False,False,57732.0
14,2021-07-21,246.86,246.96,242.69,244.85,1915613,34105,244.4519,243.54,True,True,82712.0
15,2021-07-22,244.41,246.22,243.1294,244.74,1377051,26678,244.875398,244.65,True,True,34455.0
16,2021-07-23,246.27,248.56,244.87,247.72,1745090,28754,247.487911,246.65,True,True,27498.0
17,2021-07-26,247.11,248.39,244.81,245.08,1517027,28873,245.585021,245.65,False,False,56642.0
18,2021-07-27,244.66,245.61,243.38,244.68,2164789,44718,244.412919,244.82,True,False,54439.0
19,2021-07-28,244.64,247.695,243.515,244.25,1642418,32631,244.767478,245.675,False,False,44263.0
20,2021-07-29,245.16,245.16,242.21,242.46,1492793,30941,242.870051,242.915,False,False,39411.0
21,2021-07-30,242.62,243.095,240.63,241.54,2277054,39336,241.846068,241.52,True,True,53015.0
22,2021-08-02,242.19,242.48,238.37,239.79,1841782,38839,240.189326,241.23,False,False,40948.0
23,2021-08-03,240.44,244.39,239.41,244.08,2311237,48088,242.858286,241.97,False,True,63694.0
24,2021-08-04,238.37,239.42,227.1,228.31,6946089,119973,230.674738,233.86,False,False,197802.0
25,2021-08-05,228.75,234.04,228.06,233.99,3291951,58485,232.548056,232.55,False,True,97155.0
26,2021-08-06,233.2,233.25,228.77,230.15,2362756,44947,230.008708,229.43,True,True,107642.0
27,2021-08-09,230.52,231.4,227.22,227.89,2246289,42405,228.3384,229.53,True,False,48896.0
28,2021-08-10,228.04,228.2,223.94,227.96,2858290,49102,226.908618,225.09,False,True,112907.0
29,2021-08-11,229.14,230.0,227.49,228.13,2101999,44521,228.513549,229.17,False,False,61353.0
30,2021-08-12,228.2,229.48,225.81,228.15,1798671,35053,227.563628,227.41,True,True,88761.0
31,2021-08-13,229.07,231.89,228.76,229.68,1795688,31408,230.104159,230.75,True,False,32227.0
32,2021-08-16,228.01,231.29,227.92,231.07,2432931,41354,230.22131,229.37,False,True,89284.0
33,2021-08-17,229.66,231.28,229.52,231.2,2661396,44300,230.609941,230.735,True,True,67403.0
34,2021-08-18,230.26,231.33,226.6,226.84,2979131,43970,228.346934,228.28,False,False,80117.0
35,2021-08-19,225.84,227.7,223.3,224.39,2658560,48837,225.228103,225.61,False,False,57303.0
36,2021-08-20,224.05,226.24,222.01,223.53,2804499,47384,224.063078,225.44,True,False,85423.0
37,2021-08-23,224.18,227.44,223.77,225.64,1928892,36298,225.830091,226.79,True,False,59107.0
38,2021-08-24,225.52,225.68,223.56,224.38,1789860,36342,224.295847,224.93,True,False,38963.0
39,2021-08-25,224.31,224.83,221.18,221.59,2171340,45161,222.026413,222.5,True,False,46297.0
40,2021-08-26,221.64,222.06,220.16,221.47,2839351,46312,221.138769,220.665,True,True,104620.0
41,2021-08-27,222.34,225.36,220.22,222.78,2653055,49023,223.521579,224.23,False,False,85189.0
42,2021-08-30,222.28,225.31,222.1,224.13,1895558,34833,224.057577,224.965,True,False,69086.0
43,2021-08-31,224.62,225.65,223.34,225.53,2899164,45983,224.864296,224.44,False,True,150406.0
44,2021-09-01,225.57,226.12,221.88,223.35,2694617,54179,223.612297,223.3804,False,False,93643.0
45,2021-09-02,223.64,226.03,223.43,225.96,1817302,35180,225.232328,224.73,False,True,76407.0
