,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,247.86,249.78,247.06,248.88,589176,11238,248.787006,249.34,True,False,12004.0
1,2021-07-01,250.86,252.2,249.05,250.99,535008,13569,251.02687,250.25,False,True,14668.0
2,2021-07-02,250.52,251.65,250.07,250.92,371894,10501,250.884993,250.8,True,True,11338.0
3,2021-07-06,250.01,250.66,246.0,247.19,456654,10638,247.271514,247.4701,False,False,10025.0
4,2021-07-07,246.44,249.13,245.05,248.93,516822,12235,247.765537,245.64,False,True,20536.0
5,2021-07-08,245.01,246.82,240.42,241.33,669170,13211,242.489329,243.91,False,False,20408.0
6,2021-07-09,245.23,249.06,244.205,248.95,562069,13742,248.204742,248.06,False,True,17243.0
7,2021-07-12,248.09,252.17,246.64,251.65,442865,9986,251.11596,250.69,True,True,13314.0
8,2021-07-13,250.93,251.98,248.64,249.6,392047,10344,249.717218,248.89,True,True,11263.0
9,2021-07-14,248.74,251.32,245.04,246.85,421079,11704,247.041404,247.9,False,False,10696.0
10,2021-07-15,245.1,250.83,244.68,248.86,450795,11479,248.77952,248.77,True,True,13566.0
11,2021-07-16,249.65,250.115,246.66,246.78,484954,10912,248.23651,248.43,True,False,12737.0
12,2021-07-19,241.3,242.23,236.545,238.11,473535,15631,238.488258,241.48,True,False,14527.0
13,2021-07-20,238.89,247.365,237.89,245.82,483604,14373,245.606813,244.4,False,True,12836.0
14,2021-07-21,248.44,252.78,247.705,251.12,472584,11455,251.463913,251.14,True,False,13375.0
15,2021-07-22,250.1,250.52,246.7,246.88,456458,11156,247.540641,249.67,True,False,10425.0
16,2021-07-23,249.18,250.69,247.84,248.89,443368,10115,248.899964,250.2065,True,False,13336.0
17,2021-07-26,249.78,252.44,248.525,251.15,368085,10736,250.971076,250.16,False,True,10124.0
18,2021-07-27,243.84,252.31,241.74,249.55,713136,15455,249.650221,251.39,True,False,22593.0
19,2021-07-28,250.87,254.27,248.885,252.06,528867,14063,252.278644,250.34,True,True,18507.0
20,2021-07-29,253.99,260.05,253.29,259.21,554396,13027,258.542833,258.16,True,True,22930.0
21,2021-07-30,258.29,261.915,257.35,257.56,456029,10907,258.393511,258.97,False,False,15328.0
22,2021-08-02,259.395,263.15,257.88,258.42,442072,11200,259.366604,260.725,True,False,10770.0
23,2021-08-03,257.35,260.54,254.61,259.87,378941,9674,258.948125,258.17,True,True,13015.0
24,2021-08-04,257.46,260.03,255.29,255.56,339511,9314,256.890767,259.46,True,False,5323.0
25,2021-08-05,257.62,261.7,256.52,261.69,370562,9245,260.533862,260.3239,True,True,8129.0
26,2021-08-06,262.79,266.43,262.45,265.59,379664,9246,264.937082,263.325,False,True,11486.0
27,2021-08-09,263.41,267.04,262.53,265.61,289031,8137,265.854374,264.91,True,True,4499.0
28,2021-08-10,265.89,270.39,264.43,268.43,353825,9579,268.371267,267.49,False,True,13627.0
29,2021-08-11,268.48,272.94,267.725,271.32,545762,11313,271.480127,272.0159,True,False,19427.0
30,2021-08-12,271.04,273.175,269.61,272.8,345731,10111,272.036706,271.32,True,True,12780.0
31,2021-08-13,273.8,273.59,270.45,272.17,300005,8901,271.893992,271.41,True,True,9055.0
32,2021-08-16,270.51,272.41,268.45,271.26,321535,9316,271.025723,271.51,False,False,8851.0
33,2021-08-17,268.27,270.86,265.69,268.73,396570,12934,268.377588,269.565,False,False,8646.0
34,2021-08-18,267.22,269.25,263.66,264.02,411643,12101,266.673679,268.06,False,False,19650.0
35,2021-08-19,261.39,264.42,258.67,260.36,465868,14734,260.838926,261.96,False,False,9155.0
36,2021-08-20,260.81,263.67,259.72,261.6,510137,13995,261.828772,261.12,False,True,6530.0
37,2021-08-23,263.64,266.325,262.0,265.02,470062,14887,265.246252,264.44,True,True,17433.0
38,2021-08-24,265.9,268.7225,265.295,268.14,282544,9474,267.640304,266.06,True,True,9843.0
39,2021-08-25,269.47,274.22,268.48,272.68,308701,9259,272.655254,272.36,True,True,11100.0
40,2021-08-26,272.94,273.34,269.99,270.02,354331,9299,271.136011,271.84,False,False,9192.0
41,2021-08-27,270.95,276.59,270.535,276.42,577341,12473,275.229967,273.205,True,True,28472.0
42,2021-08-30,277.46,277.95,272.7119,272.78,286414,8551,273.902864,274.21,True,False,8393.0
43,2021-08-31,272.95,274.495,271.43,272.91,608725,11609,272.960794,273.49,True,False,7548.0
44,2021-09-01,272.07,273.17,268.58,272.28,438877,11955,271.937567,271.72,True,True,15160.0
45,2021-09-02,273.33,274.64,272.29,273.94,360912,8101,273.561218,274.16,True,False,6345.0
46,2021-09-03,272.48,275.0,271.44,272.35,388254,10674,272.547056,272.33,False,True,11269.0
47,2021-09-07,271.31,274.11,269.81,269.84,374151,11123,271.46437,272.51,False,False,8837.0
48,2021-09-08,268.96,271.0,267.33,269.1,332106,9477,269.211004,267.88,False,True,7783.0
49,2021-09-09,268.86,273.23,268.495,269.55,350716,9778,270.608606,272.4,True,False,11432.0
50,2021-09-10,270.49,272.22,266.65,266.73,370699,10999,268.279385,267.66,False,False,6856.0
51,2021-09-13,269.66,270.52,266.97,269.59,371413,12510,268.785787,268.39,True,True,10535.0
52,2021-09-14,269.37,271.33,265.84,266.58,431859,12854,267.584576,267.7375,False,False,39619.0
53,2021-09-15,266.35,273.07,266.0,271.27,540107,13018,271.035611,267.25,False,True,8011.0
54,2021-09-16,273.2,273.655,268.72,271.25,390058,11975,271.339647,270.12,True,True,11330.0
55,2021-09-17,272.8,273.71,267.7008,269.55,1193844,15097,269.70444,269.88,False,False,12349.0
56,2021-09-20,261.0,262.53,251.49,256.31,807514,17265,255.497728,259.18,True,False,14031.0
57,2021-09-21,256.81,258.74,252.2,253.5,519178,14001,254.259704,254.02,False,False,14130.0
58,2021-09-22,257.66,260.75,255.87,259.13,439565,12257,258.717065,257.2,True,True,12013.0
59,2021-09-23,263.62,270.23,261.91,267.75,422186,11575,267.496277,266.86,True,True,10416.0
60,2021-09-24,267.25,272.18,267.25,271.4,384883,9287,271.222718,270.59,False,True,8328.0
61,2021-09-27,272.63,278.46,272.18,277.6,490407,10942,276.964701,276.27,False,True,18383.0
62,2021-09-28,277.64,279.0,270.79,271.15,506587,13243,272.904208,275.63,True,False,14337.0
63,2021-09-29,272.01,273.17,269.56,270.71,327630,10287,270.9737,269.56,False,True,4064.0
64,2021-09-30,272.54,273.26,263.98,264.12,574331,13200,266.491056,270.04,False,False,21385.0
65,2021-10-01,265.57,270.43,262.89,268.53,482162,12712,267.362627,263.47,True,True,10739.0
66,2021-10-04,267.53,271.8,263.45,264.89,440981,10834,265.488866,267.85,True,False,19415.0
67,2021-10-05,266.64,274.02,266.04,272.93,493246,11485,272.488746,272.28,True,True,25933.0
68,2021-10-06,269.93,273.84,267.03,273.19,470227,12037,271.00979,268.905,False,True,20233.0
69,2021-10-07,276.05,280.89,275.73,276.35,510600,11839,277.729084,279.795,False,False,22116.0
70,2021-10-08,276.22,281.67,275.55,279.1,378887,8471,279.527073,281.21,True,False,14529.0
71,2021-10-11,279.08,284.09,277.18,277.23,397271,9258,279.644471,282.13,True,False,8594.0
72,2021-10-12,278.03,280.79,274.58,279.49,393393,10808,279.273641,278.5675,True,True,6256.0
73,2021-10-13,278.68,279.735,272.979,278.35,351196,9345,277.381078,276.085,True,True,9841.0
74,2021-10-14,281.74,285.94,280.1465,285.83,454443,10094,284.872752,282.48,False,True,9029.0
75,2021-10-15,289.56,292.3,287.48,289.87,461676,11292,289.788509,288.45,True,True,8113.0
76,2021-10-18,289.11,290.6,286.9,289.01,335483,8462,289.100307,290.06,False,False,9344.0
77,2021-10-19,290.785,293.75,289.495,293.18,299171,8359,292.481852,291.64,True,True,13059.0
78,2021-10-20,292.41,297.38,291.41,296.73,320174,8020,296.032431,296.35,True,True,4966.0
79,2021-10-21,296.97,298.0,294.77,296.11,341788,8555,296.111493,296.22,True,False,6672.0
80,2021-10-22,296.41,298.94,295.32,298.2,598223,11147,297.828461,298.63,False,False,7997.0
81,2021-10-25,298.14,300.58,297.11,298.0,446354,9934,298.765531,299.125,True,False,12904.0
82,2021-10-26,299.09,301.0,297.31,297.31,474509,11086,298.499904,299.025,False,False,22609.0
83,2021-10-27,295.5,307.55,295.5,296.32,591544,14920,300.734742,305.32,True,False,26374.0
84,2021-10-28,298.4,303.61,297.88,303.53,554180,14257,302.280815,302.03,False,True,13705.0
85,2021-10-29,301.55,306.26,300.66,302.13,523750,11559,303.195512,303.6886,True,False,8751.0
86,2021-11-01,304.18,305.97,301.59,305.77,379062,10594,304.442628,303.94,True,True,14486.0
87,2021-11-02,306.05,309.99,305.7601,307.87,572014,11240,307.300433,307.82,False,True,10706.0
88,2021-11-03,306.56,311.18,305.84,310.24,386298,10516,309.385683,310.02,True,True,13857.0
89,2021-11-04,309.7,309.975,303.71,306.69,439607,12898,306.440072,308.42,False,False,21969.0
90,2021-11-05,308.33,310.26,304.88,305.24,402696,10503,306.668508,308.77,True,False,7391.0
91,2021-11-08,308.49,309.095,305.73,306.93,395201,8047,307.13603,307.98,True,False,9067.0
92,2021-11-09,305.98,306.89,302.55,305.2,495354,11355,304.47104,304.77,False,True,11143.0
93,2021-11-10,304.45,308.25,302.195,304.83,395280,10907,305.034241,304.98,True,False,9446.0
94,2021-11-11,304.87,308.12,303.54,306.11,346027,10246,306.507773,305.5,True,True,8848.0
95,2021-11-12,305.48,309.06,304.2,308.53,327868,9991,307.639787,305.64,False,True,6698.0
96,2021-11-15,308.97,310.545,306.83,307.68,375868,8869,308.260476,308.5458,False,False,11885.0
97,2021-11-16,306.81,312.145,305.595,308.68,456276,10880,309.436044,305.93,False,True,18879.0
98,2021-11-17,308.08,308.55,301.58,302.41,564737,14740,303.002382,306.65,False,False,25530.0
99,2021-11-18,303.98,305.46,300.225,303.17,413679,11216,302.759952,303.37,False,False,14850.0
100,2021-11-19,299.36,301.93,295.09,299.55,780239,17295,299.008675,297.85,False,True,44161.0
101,2021-11-22,302.23,306.41,299.07,301.31,579470,14007,303.122751,300.39,False,True,22843.0
102,2021-11-23,302.25,304.625,299.72,303.97,512014,14363,302.405821,300.94,False,True,14442.0
103,2021-11-24,302.62,303.77,299.18,302.46,433913,10953,302.097811,301.98,True,True,8311.0
104,2021-11-26,291.61,294.97,285.51,291.74,496130,14397,290.503873,287.48,False,True,25922.0
105,2021-11-29,296.53,297.65,288.41,293.71,572672,15889,293.125905,293.34,False,True,20394.0
106,2021-11-30,288.99,291.6545,285.3,289.6,2644353,25576,289.0014,289.135,True,True,15682.0
107,2021-12-01,296.01,299.355,284.72,284.94,824949,20651,290.496332,296.11,False,False,25866.0
108,2021-12-02,288.62,297.28,286.2,295.78,543477,14856,294.691884,290.03,True,True,15085.0
109,2021-12-03,295.71,297.57,286.385,290.2,653596,18273,290.724794,296.22,False,False,40279.0
110,2021-12-06,293.57,296.3,290.92,293.64,591176,16335,293.858773,291.97,False,True,13282.0
111,2021-12-07,297.91,303.1675,297.94,301.58,465772,16166,301.267272,300.49,True,True,16384.0
112,2021-12-08,301.47,304.38,298.76,300.58,546075,12658,300.513415,301.43,True,False,6756.0
113,2021-12-09,297.83,300.225,296.49,297.35,444493,12110,298.490518,298.11,False,False,18777.0
114,2021-12-10,298.52,299.94,293.37,297.81,634231,12002,297.184509,297.4,False,True,95022.0
115,2021-12-13,297.37,297.37,291.285,292.84,589755,13720,293.362366,294.82,False,False,11336.0
116,2021-12-14,292.45,296.13,291.2,292.24,838205,16913,292.540094,294.56,True,False,18503.0
117,2021-12-15,293.22,298.3,290.14,298.24,543427,13547,295.414502,290.46,False,True,10970.0
118,2021-12-16,301.46,305.5,298.74,300.23,607038,16904,301.942298,300.14,False,True,14708.0
119,2021-12-17,297.57,299.71,292.2,294.63,1521031,16233,295.506263,294.36,False,True,130168.0
120,2021-12-20,288.58,290.45,278.685,283.82,611752,18382,282.722198,284.65,False,False,21497.0
121,2021-12-21,288.25,295.63,287.71,294.5,540901,15029,293.099849,289.34,True,True,18722.0
122,2021-12-22,294.71,299.66,293.99,298.69,370692,9886,297.732325,296.0,True,True,11664.0
123,2021-12-23,299.18,304.13,299.84,302.28,345719,8171,302.618105,302.97,True,False,12381.0
124,2021-12-27,304.34,307.74,302.74,307.39,331993,8592,306.485217,304.08,False,True,13299.0
125,2021-12-28,307.08,310.0,305.38,305.67,547396,8103,306.3351,309.225,True,False,7052.0
126,2021-12-29,305.09,308.54,304.33,305.41,333697,8795,305.931381,307.5442,True,False,12977.0
127,2021-12-30,306.23,307.61,301.62,301.97,251304,7783,303.473891,306.28,False,False,4298.0
128,2021-12-31,302.89,303.81,301.08,301.66,282561,6706,302.001859,301.96,True,False,3706.0
129,2022-01-03,302.48,306.34,302.415,304.26,389745,10488,303.863452,304.15,True,True,10081.0
130,2022-01-04,308.48,319.47,306.23,318.08,819071,21057,316.730846,312.36,True,True,27102.0
131,2022-01-05,321.43,323.35,314.51,314.94,734146,17777,318.181477,321.71,True,False,29854.0
132,2022-01-06,318.86,320.08,314.06,319.2,509666,14575,318.146571,318.24,True,True,23293.0
133,2022-01-07,319.86,320.2,316.27,319.33,584908,13889,318.909592,319.05,False,True,23464.0
134,2022-01-10,320.43,321.0,312.13,318.65,646053,16881,316.87248,318.74,False,False,92647.0
135,2022-01-11,318.7,326.46,316.69,326.03,488379,12830,323.328908,317.81,False,True,18623.0
136,2022-01-12,327.42,330.42,324.72,328.2,452557,12353,327.789572,329.69,True,False,18077.0
137,2022-01-13,329.7,332.37,326.28,327.32,498796,13479,329.49496,330.425,True,False,13238.0
138,2022-01-14,320.17,328.72,319.94,328.58,587726,15223,326.427449,323.11,True,True,15479.0
