,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,273.39,274.81,270.03,270.14,1856407,33369,271.213474,271.48,False,False,45508.0
1,2021-07-01,268.53,271.74,267.6519,270.33,1532045,29782,270.148791,268.46,True,True,32919.0
2,2021-07-02,271.88,273.5,271.3,272.87,1206980,21607,272.704194,271.735,False,True,21501.0
3,2021-07-06,272.46,275.88,271.57,275.73,1741567,26017,274.978106,273.51,True,True,29858.0
4,2021-07-07,275.09,279.66,274.01,278.17,1729706,34906,277.613735,276.13,False,True,40417.0
5,2021-07-08,277.66,280.2099,276.12,277.92,1174639,27839,277.698986,278.29,False,False,34356.0
6,2021-07-09,277.65,278.76,275.32,278.45,1149416,25879,277.271292,276.42,False,True,39219.0
7,2021-07-12,279.05,280.65,277.74,279.99,1322916,31188,279.65365,280.16,True,False,29037.0
8,2021-07-13,278.28,281.62,277.64,278.53,1222480,25315,279.406638,281.13,True,False,29618.0
9,2021-07-14,278.23,282.42,277.01,281.37,1191993,25140,281.044369,280.54,True,True,45315.0
10,2021-07-15,281.4,283.22,279.03,281.28,1079721,24745,281.175853,280.572,False,True,53353.0
11,2021-07-16,282.15,284.11,281.14,282.46,2098673,30023,282.635745,282.13,False,True,33795.0
12,2021-07-19,283.05,284.6499,278.56,280.89,2153328,43440,281.110045,281.608,False,False,98685.0
13,2021-07-20,282.53,284.44,279.69,283.0,1495049,30514,282.415021,281.01,True,True,35378.0
14,2021-07-21,282.75,283.135,279.93,280.26,1161889,27121,281.157225,282.35,True,False,49390.0
15,2021-07-22,279.55,282.12,276.89,281.6,1151217,28834,280.400133,279.45,True,True,38642.0
16,2021-07-23,281.82,285.74,280.73,285.26,1142854,25410,284.324323,282.4853,False,True,16220.0
17,2021-07-26,283.37,284.93,282.494,284.61,1173318,24858,283.90017,283.39,True,True,42477.0
18,2021-07-27,284.61,287.5,284.03,286.88,1228592,24049,286.23502,284.59,False,True,38042.0
19,2021-07-28,286.89,287.3,283.75,284.98,1631656,27149,285.112855,285.45,False,False,44550.0
20,2021-07-29,285.9,289.5121,282.26,283.0,1765342,32344,283.811766,285.04,False,False,65395.0
21,2021-07-30,283.36,286.635,282.73,282.8,1758515,31699,284.088739,285.87,True,False,64626.0
22,2021-08-02,284.48,286.13,283.17,283.62,1214014,29256,284.207763,284.8,False,False,24129.0
23,2021-08-03,283.78,285.82,282.81,284.35,995699,21389,283.98123,283.65,False,True,23195.0
24,2021-08-04,284.26,285.76,281.71,284.87,1313157,28092,284.325398,282.865,False,True,26764.0
25,2021-08-05,286.07,286.72,281.13,282.76,1306521,27013,282.851166,282.9399,False,False,30823.0
26,2021-08-06,281.45,283.44,281.01,282.12,1458612,26993,282.090039,281.975,True,True,42638.0
27,2021-08-09,282.49,282.42,278.95,280.06,1092123,22670,280.03723,280.52,True,False,23203.0
28,2021-08-10,281.03,281.98,275.0,275.3,1291971,28643,277.15404,278.78,False,False,62390.0
29,2021-08-11,276.645,277.695,275.37,277.22,869391,23852,276.826476,276.84,False,True,24763.0
30,2021-08-12,278.37,280.475,276.15,280.05,874076,23607,279.567368,279.4,True,True,35098.0
31,2021-08-13,280.5,282.95,279.205,282.92,806877,17625,281.657262,279.655,True,True,18457.0
32,2021-08-16,282.92,284.56,281.77,283.2,1066800,24164,283.197242,283.8,True,False,53057.0
33,2021-08-17,282.16,286.73,281.14,286.53,917425,20895,285.430224,284.5098,True,True,19204.0
34,2021-08-18,286.89,287.285,283.33,283.38,1143232,25134,284.379314,285.95,False,False,50635.0
35,2021-08-19,282.87,289.73,281.59,289.14,1200394,24384,287.597244,285.63,False,True,22935.0
36,2021-08-20,289.4,291.82,287.75,290.82,1709786,25097,290.762505,290.09,False,True,29112.0
37,2021-08-23,288.97,290.335,287.31,288.51,1069064,20704,288.92008,289.87,False,False,20571.0
38,2021-08-24,289.3,289.81,283.39,284.6,977708,23166,285.098595,286.86,True,False,26581.0
39,2021-08-25,284.21,284.69,281.72,282.9,972496,21544,283.044318,283.39,False,False,31560.0
40,2021-08-26,282.525,284.87,281.72,283.18,958363,20294,283.612523,282.8,True,True,20047.0
41,2021-08-27,284.17,285.81,282.205,285.5,880025,19313,284.833379,284.56,False,True,28366.0
42,2021-08-30,285.37,291.77,285.22,291.68,1631572,23519,289.368039,288.74,True,True,21255.0
43,2021-08-31,290.0,292.73,288.795,292.17,2325575,31688,291.728807,290.8,True,True,37082.0
44,2021-09-01,292.01,298.4399,291.99,297.96,1657100,32615,296.622871,294.415,True,True,35930.0
45,2021-09-02,298.48,300.98,295.69,300.89,1795013,29180,298.919189,296.0604,False,True,33106.0
46,2021-09-03,300.1,302.3,297.17,302.01,1645040,29163,301.127511,299.77,False,True,55429.0
47,2021-09-07,301.08,301.94,295.1,299.22,1534677,28522,298.670613,298.23,True,True,51751.0
48,2021-09-08,298.58,303.72,298.37,303.62,1507729,27268,302.537627,300.65,False,True,51355.0
49,2021-09-09,302.01,303.71,296.69,296.82,1240881,31441,298.994559,301.19,False,False,44059.0
50,2021-09-10,296.92,297.155,290.06,293.88,1489411,33973,293.655676,291.0223,False,True,42645.0
51,2021-09-13,296.86,298.42,293.18,294.61,1268404,28100,295.243248,296.83,False,False,26258.0
52,2021-09-14,295.6,297.79,294.81,296.4,1107361,23713,296.426519,297.25,True,False,44715.0
53,2021-09-15,296.4,297.83,294.25,297.26,1043429,26491,296.616778,295.66,True,True,22086.0
54,2021-09-16,296.18,298.0,292.84,297.14,905392,21755,296.005824,294.37,True,True,50125.0
55,2021-09-17,295.3,297.55,293.57,293.75,2993811,30458,294.333929,294.14,False,False,37605.0
56,2021-09-20,291.25,294.15,287.61,291.19,2371330,41393,291.016714,292.62,False,False,61610.0
57,2021-09-21,292.11,294.22,290.67,291.87,1161022,25893,292.449663,292.7,True,False,32973.0
58,2021-09-22,292.89,294.92,290.19,293.55,1166489,21850,293.377066,292.79,False,True,26326.0
59,2021-09-23,293.55,293.5,285.43,288.0,1628095,35727,288.621349,288.205,False,False,40984.0
60,2021-09-24,287.54,288.425,281.3571,282.18,2314002,40873,282.863629,283.16,False,False,80445.0
61,2021-09-27,280.65,281.85,273.67,274.1,1772169,36697,276.030054,279.19,False,False,39628.0
62,2021-09-28,271.42,271.99,266.77,268.75,2307872,45397,269.067718,270.59,False,False,101461.0
63,2021-09-29,269.21,271.3875,268.1901,270.01,1433118,33461,269.809247,269.755,False,True,39605.0
64,2021-09-30,271.25,272.37,265.27,265.41,2064094,33049,266.900449,269.465,False,False,44604.0
65,2021-10-01,266.95,269.0162,265.0872,266.61,1777896,36215,267.104831,267.33,True,False,53203.0
66,2021-10-04,265.7,267.38,262.15,265.23,1375262,35675,264.517733,265.33,True,False,50460.0
67,2021-10-05,265.38,266.92,262.31,264.55,1644171,29962,264.654571,262.84,False,True,63426.0
68,2021-10-06,263.18,268.45,261.1101,267.96,1402897,31879,265.285058,262.51,True,True,36050.0
69,2021-10-07,269.47,271.78,265.61,266.11,1182381,22941,267.394143,268.93,False,False,30581.0
70,2021-10-08,266.13,266.135,261.41,262.08,1060563,21982,262.715546,262.81,True,False,36581.0
71,2021-10-11,261.63,263.47,260.5227,261.6,1067427,22648,261.915088,262.98,True,False,40327.0
72,2021-10-12,262.98,265.89,261.57,264.55,1341869,28282,264.580508,264.03,True,True,29510.0
73,2021-10-13,263.34,264.39,259.32,264.18,1637747,36219,262.847175,260.34,True,True,36731.0
74,2021-10-14,266.195,268.39,265.07,267.87,1366131,28966,267.469349,266.3,False,True,38097.0
75,2021-10-15,269.88,271.38,267.08,269.33,3076452,37438,269.485392,270.525,False,False,64597.0
76,2021-10-18,268.36,270.25,266.93,268.0,1334775,27001,268.540632,267.84,False,True,27372.0
77,2021-10-19,270.18,277.46,269.04,272.9,1803781,35863,274.377357,275.08,False,False,45852.0
78,2021-10-20,274.55,276.875,274.1,276.04,1095578,26276,275.700677,275.51,False,True,21552.0
79,2021-10-21,275.58,279.38,273.28,279.04,1260413,31887,277.330065,274.32,False,True,26801.0
80,2021-10-22,279.15,285.31,279.0,284.45,1479805,27895,283.330649,281.91,True,True,20255.0
81,2021-10-25,284.83,285.68,280.62,284.58,1179465,26435,284.304071,283.87,True,True,24991.0
82,2021-10-26,286.24,289.56,285.4,286.94,1724287,32759,287.880806,287.4,True,False,39428.0
83,2021-10-27,288.94,291.17,285.31,285.42,1263471,30968,287.00403,287.48,True,False,44360.0
84,2021-10-28,286.4,289.99,282.85,286.01,1378863,28341,285.578484,286.76,False,False,41629.0
85,2021-10-29,284.25,284.93,279.64,281.97,2510136,38245,281.912978,282.38,False,False,44528.0
86,2021-11-01,282.75,283.16,276.41,282.1,1509480,31431,280.735863,279.01,False,True,55526.0
87,2021-11-02,282.6,285.29,279.51,282.65,1531964,32617,282.580159,280.425,True,True,58991.0
88,2021-11-03,283.98,285.42,276.465,280.6,1130893,26078,279.69821,277.37,False,True,30495.0
89,2021-11-04,281.66,283.45,277.64,278.95,1380884,29238,279.768264,280.0925,False,False,36811.0
90,2021-11-05,280.99,281.44,276.7,277.83,1213944,27040,278.100902,279.76,False,False,19992.0
91,2021-11-08,278.525,279.22,273.43,278.76,1013641,28076,277.738381,273.435,False,True,86828.0
92,2021-11-09,280.0,281.61,278.8001,279.92,820787,20271,279.99904,280.39,True,False,49697.0
93,2021-11-10,278.58,281.48,275.56,275.88,923999,23604,276.764945,279.59,True,False,47847.0
94,2021-11-11,276.0,276.7,270.37,272.48,1221571,26628,272.542261,274.2,False,False,62583.0
95,2021-11-12,274.71,275.22,271.6,272.1,990733,22408,272.543134,272.765,False,False,58445.0
96,2021-11-15,267.48,268.535,259.14,260.5,3466519,64852,261.090374,262.3,False,False,319947.0
97,2021-11-16,262.08,262.33,258.63,259.04,2781122,46306,260.102588,260.74,False,False,197429.0
98,2021-11-17,259.76,260.4,254.7,257.53,3495719,56553,256.745659,255.49,False,True,252102.0
99,2021-11-18,256.89,259.77,253.4,258.96,2433964,41058,257.244556,255.09,False,True,196444.0
100,2021-11-19,260.98,264.29,259.61,260.98,2034785,33021,261.777905,261.935,True,False,220307.0
101,2021-11-22,260.91,261.06,256.63,257.63,1879229,33467,258.222662,257.03,False,True,86063.0
102,2021-11-23,258.16,262.21,256.75,262.0,2069480,32430,260.52022,257.32,False,True,103928.0
103,2021-11-24,262.46,266.01,260.5,265.48,1318905,26692,264.004257,261.74,False,True,60129.0
104,2021-11-26,266.01,267.5,262.27,262.87,1159383,29166,264.89328,266.9595,True,False,130309.0
105,2021-11-29,263.96,269.31,261.49,266.94,1842388,33928,267.078243,263.83,False,True,158464.0
106,2021-11-30,264.44,268.15,262.36,262.48,2754490,33736,263.718733,264.96,True,False,112962.0
107,2021-12-01,264.99,267.54,258.51,258.95,2621138,52778,262.840226,263.57,False,False,77076.0
108,2021-12-02,260.22,267.74,259.27,266.24,1895471,41090,265.280326,260.7669,True,True,86320.0
109,2021-12-03,265.74,269.23,263.46,266.96,1799433,40490,266.405706,267.75,True,False,85072.0
110,2021-12-06,268.82,272.9,267.34,269.57,1864294,35676,270.561134,269.005,True,True,92348.0
111,2021-12-07,272.19,277.32,271.25,276.81,2128258,38010,276.10472,273.0,True,True,66552.0
112,2021-12-08,276.65,277.92,273.54,275.85,1324329,27021,275.727035,276.94,True,False,53588.0
113,2021-12-09,276.66,276.99,270.93,271.06,1114470,24302,272.20166,273.71,False,False,48809.0
114,2021-12-10,270.59,274.175,269.45,272.57,1349935,27057,272.50228,272.25,True,True,62242.0
115,2021-12-13,272.0,277.33,270.35,276.02,1836132,33692,275.753318,274.3,True,True,85474.0
116,2021-12-14,274.385,278.1,271.01,273.41,2222405,35770,272.991891,274.1,False,False,117679.0
117,2021-12-15,274.53,276.19,271.12,274.35,1927051,34728,273.660571,274.88,True,False,65181.0
118,2021-12-16,275.52,279.67,274.715,279.47,1784873,32051,278.245775,276.91,True,True,81278.0
119,2021-12-17,277.85,283.75,277.82,278.86,3265668,35078,279.699297,282.19,True,False,662554.0
120,2021-12-20,276.14,279.535,275.01,278.46,1546608,31508,278.09961,277.2,True,True,74642.0
121,2021-12-21,280.69,282.04,276.58,277.85,1380822,36179,278.65972,280.99,True,False,79720.0
122,2021-12-22,279.91,281.34,277.705,281.25,912838,21236,280.040896,279.2,True,True,74122.0
123,2021-12-23,279.87,280.46,276.4614,278.74,1015278,21366,278.491722,278.23,False,True,75769.0
124,2021-12-27,280.285,285.91,278.46,285.76,1233747,23381,284.143314,278.57,False,True,37853.0
125,2021-12-28,284.79,288.94,284.72,288.49,1064999,23088,287.738675,286.53,True,True,51396.0
126,2021-12-29,288.99,289.5,286.8,288.88,1566074,23064,288.769931,289.2,True,False,37197.0
127,2021-12-30,289.77,291.99,287.41,291.14,1369739,28609,290.57134,289.82,True,True,53367.0
128,2021-12-31,291.5,294.4,289.94,292.5,1274098,22184,292.808166,291.49,True,True,35677.0
129,2022-01-03,292.79,292.545,280.2843,286.38,1596578,42521,284.615826,286.9804,False,False,93869.0
130,2022-01-04,287.04,288.25,282.4558,282.77,1813055,38640,283.88125,284.5709,False,False,61913.0
131,2022-01-05,278.41,279.44,262.227,264.57,4481267,80544,266.102909,269.42,False,False,373659.0
132,2022-01-06,264.0,265.38,256.77,264.89,2469053,48579,263.29376,260.03,False,True,157335.0
133,2022-01-07,264.03,269.24,261.0,266.58,2242018,38558,266.357635,264.28,False,True,86945.0
134,2022-01-10,266.1,267.35,258.61,264.41,2103312,45583,262.726523,262.065,False,True,127024.0
135,2022-01-11,260.0,261.61,256.1,260.49,1884349,43458,259.075035,257.346,False,True,119739.0
136,2022-01-12,260.47,264.5,258.85,259.39,1876377,36298,260.289766,260.49,False,False,109904.0
137,2022-01-13,260.05,260.23,255.06,255.44,1724621,35788,256.687803,259.1,False,False,64191.0
138,2022-01-14,254.22,254.2,246.085,250.62,2544944,51243,249.884988,252.41,False,False,153997.0
