,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,362.0,363.4,357.43,362.31,375494,9835,361.967672,362.28,True,True,7303.0
1,2021-07-01,362.26,366.82,361.11,363.39,326084,9617,364.073445,366.1714,True,False,20332.0
2,2021-07-02,363.67,367.37,361.35,365.59,290914,8998,365.350428,362.52,True,True,14684.0
3,2021-07-06,368.63,375.0,367.82,374.93,556208,12677,372.568538,372.605,False,True,39477.0
4,2021-07-07,375.01,376.225,364.47,374.55,613253,13975,372.662871,364.695,False,True,29749.0
5,2021-07-08,367.86,373.06,366.25,370.16,573756,13275,370.552343,368.1,False,True,7771.0
6,2021-07-09,372.47,378.7,371.0,378.03,515649,10815,376.998862,377.2,False,True,8381.0
7,2021-07-12,377.12,377.604,369.695,370.9,250316,7759,372.446194,373.81,True,False,7980.0
8,2021-07-13,374.67,374.835,368.9,369.98,361984,8849,371.20801,372.38,False,False,8605.0
9,2021-07-14,371.26,372.41,365.505,369.25,277688,7020,368.216919,368.73,True,True,4186.0
10,2021-07-15,367.71,370.49,365.5,368.05,248472,7552,368.315808,369.5,True,False,5303.0
11,2021-07-16,369.65,370.25,363.05,363.45,314905,8609,365.026842,366.96,True,False,3813.0
12,2021-07-19,359.01,365.25,357.31,362.12,466056,14032,362.151727,362.13,True,False,17116.0
13,2021-07-20,363.1,364.98,361.76,363.69,628430,13714,364.147618,364.085,True,False,14180.0
14,2021-07-21,363.72,367.39,361.44,367.17,429708,10494,365.155267,363.22,True,True,17166.0
15,2021-07-22,370.88,374.8,369.73,373.37,563915,9971,373.154561,373.575,False,False,38032.0
16,2021-07-23,375.19,381.06,374.825,380.98,396281,9189,379.41583,376.55,True,True,2456.0
17,2021-07-26,380.16,381.06,373.9,377.37,214351,6967,377.370192,373.9,False,True,6573.0
18,2021-07-27,376.65,376.92,369.31,374.63,285954,8113,373.073257,372.05,False,True,16905.0
19,2021-07-28,374.92,377.61,373.3316,377.05,222029,6091,376.480866,375.94,False,True,5793.0
20,2021-07-29,378.75,383.41,378.15,381.01,235055,7728,381.393426,381.72,True,False,11862.0
21,2021-07-30,378.46,383.545,377.78,380.39,359027,9131,381.313658,381.93,True,False,9302.0
22,2021-08-02,380.87,381.99,375.62,377.18,642540,16104,378.065104,378.0,True,False,45205.0
23,2021-08-03,360.05,381.79,358.0,379.17,740607,19611,374.717004,369.19,False,True,48114.0
24,2021-08-04,374.2,384.0,372.36,382.12,472382,11874,380.158869,377.935,False,True,12690.0
25,2021-08-05,382.35,382.99,378.66,380.6,326119,8668,380.730083,381.6,True,False,3688.0
26,2021-08-06,379.95,380.41,376.7404,377.6,314749,6948,377.842638,379.025,True,False,16287.0
27,2021-08-09,377.01,378.19,373.7,375.5,337627,9119,375.517144,377.96,False,False,7608.0
28,2021-08-10,374.92,375.83,369.84,371.7,245944,8666,372.040193,371.68,True,True,16876.0
