,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,351.34,352.03,346.36,347.06,274626,9452,348.013506,349.93,True,False,4256.0
1,2021-07-01,346.35,350.91,346.02,349.24,330207,9614,348.877828,349.5,False,False,6372.0
2,2021-07-02,352.98,354.99,351.5,353.41,223813,7778,353.25634,351.5,False,True,3385.0
3,2021-07-06,354.83,356.15,351.35,355.64,426193,10558,354.364828,353.1225,False,True,44932.0
4,2021-07-07,358.0,358.4,351.44,353.28,283096,10236,353.610415,353.565,False,False,18319.0
5,2021-07-08,349.0,354.1,344.33,352.24,264923,10699,351.233513,350.57,False,True,7925.0
6,2021-07-09,349.67,355.15,346.76,353.76,287491,9974,352.551365,347.6,True,True,6859.0
7,2021-07-12,356.11,356.91,349.03,350.94,235006,8000,350.860757,350.25,False,True,8100.0
8,2021-07-13,351.06,354.86,347.82,351.52,220572,10572,351.862221,352.065,True,False,3582.0
9,2021-07-14,353.97,356.955,351.72,352.37,238314,8907,353.46689,356.06,False,False,6607.0
10,2021-07-15,353.05,354.84,349.25,352.21,217868,8100,351.547485,350.65,False,True,6793.0
11,2021-07-16,354.27,356.67,349.59,349.79,375536,8774,352.058105,355.5,True,False,20621.0
12,2021-07-19,347.75,349.92,340.79,343.47,374908,13096,344.026483,345.95,True,False,8724.0
13,2021-07-20,344.04,352.575,342.17,350.87,354337,12293,350.353616,346.07,True,True,5459.0
14,2021-07-21,349.71,354.86,347.45,354.38,255121,10273,353.032241,350.7902,False,True,1930.0
15,2021-07-22,355.61,358.39,355.21,358.23,187334,8058,357.450387,356.97,False,True,2865.0
16,2021-07-23,358.76,367.15,358.71,365.4,312312,8920,364.437179,362.56,False,True,2150.0
17,2021-07-26,364.04,364.97,360.3222,363.25,201033,7770,362.829341,361.34,True,True,6154.0
18,2021-07-27,364.32,364.47,353.52,359.85,225362,10261,358.286084,358.74,False,True,6601.0
19,2021-07-28,361.83,364.41,360.82,362.63,218813,8004,362.831815,362.07,False,True,3771.0
20,2021-07-29,363.7,366.56,363.0,365.37,196803,8466,365.233924,365.47,False,False,6688.0
21,2021-07-30,364.24,368.88,363.12,368.46,314032,10856,367.482796,364.73,False,True,5070.0
22,2021-08-02,369.95,373.61,366.14,369.63,413644,12739,370.075703,370.0578,True,False,7219.0
23,2021-08-03,369.63,373.59,365.46,370.82,278104,10061,370.269627,366.81,False,True,7485.0
24,2021-08-04,372.49,375.25,370.21,372.57,343681,12401,372.877612,370.59,False,True,4039.0
25,2021-08-05,348.34,376.49,342.42,373.47,645938,17732,370.332382,363.63,True,True,17256.0
26,2021-08-06,371.35,376.21,364.24,374.74,297666,10660,372.622452,366.89,True,True,13235.0
27,2021-08-09,371.39,374.21,370.56,371.63,317914,9764,372.120381,372.85,True,False,4831.0
28,2021-08-10,372.3,373.155,359.73,361.68,324563,11532,363.334303,365.365,False,False,11922.0
29,2021-08-11,363.23,365.135,360.69,363.08,259684,9122,362.865193,363.33,True,False,6092.0
30,2021-08-12,361.98,367.11,360.45,363.45,182554,7664,364.142075,364.675,True,False,3361.0
31,2021-08-13,362.74,364.93,361.03,362.59,230989,8545,362.335928,362.97,False,False,7605.0
32,2021-08-16,362.75,364.085,359.67,363.2,278981,9679,362.482467,361.5,False,True,9284.0
33,2021-08-17,359.86,360.99,354.235,357.27,278722,10806,356.933205,356.44,True,True,7026.0
