,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,382.5,383.105,379.43,381.8,709030,16135,381.32646,381.335,True,True,22014.0
1,2021-07-01,381.94,385.13,381.49,383.82,1951928,34594,384.092965,384.19,False,False,77004.0
2,2021-07-02,383.35,387.44,382.147,387.2,1502582,26251,385.591773,383.965,False,True,99399.0
3,2021-07-06,386.88,387.96,381.92,385.24,1011551,19051,384.556547,384.93,False,True,32139.0
4,2021-07-07,383.73,388.35,381.47,387.51,986376,20048,385.811699,381.83,False,True,22134.0
5,2021-07-08,384.95,385.4,379.64,384.17,664451,16707,383.489893,381.78,True,True,20474.0
6,2021-07-09,387.77,390.33,386.44,388.61,1366685,26637,388.862,389.85,True,False,65088.0
7,2021-07-12,387.29,396.5,384.5,396.04,1896387,28576,394.020204,393.805,True,True,94987.0
8,2021-07-13,396.55,402.23,396.6,398.13,1479444,24273,398.582792,399.485,True,False,35109.0
9,2021-07-14,399.7,400.72,394.09,395.07,942768,19808,396.135223,397.28,True,False,19340.0
10,2021-07-15,392.25,398.305,390.63,396.12,1178841,24341,395.479129,393.585,True,True,43017.0
11,2021-07-16,396.17,397.67,392.75,393.59,754097,16721,394.767895,395.1,False,False,11794.0
12,2021-07-19,390.45,392.64,382.48,384.44,1076980,26576,385.620601,389.165,False,False,32264.0
13,2021-07-20,386.56,393.52,385.28,389.94,1716163,32027,390.69795,392.7084,False,False,56074.0
14,2021-07-21,397.92,398.49,381.15,383.59,1753742,33260,385.600688,387.45,True,False,39762.0
15,2021-07-22,385.5,387.53,380.37,384.3,944235,24370,383.929609,383.06,False,True,29469.0
16,2021-07-23,385.38,387.46,381.4,382.29,877681,18599,383.394219,383.58,True,False,20044.0
17,2021-07-26,381.43,382.4,373.67,378.5,958510,20934,377.20183,375.46,False,True,29538.0
18,2021-07-27,377.21,383.31,376.06,382.63,939761,20077,380.439878,379.81,True,True,19369.0
19,2021-07-28,382.0,382.01,376.42,379.93,782181,17495,379.187613,377.38,False,True,26991.0
20,2021-07-29,382.35,385.26,379.365,384.33,705334,17634,383.796563,383.12,True,True,26792.0
21,2021-07-30,384.74,386.39,382.66,384.01,996858,20162,384.596169,384.03,True,False,19748.0
22,2021-08-02,385.41,391.3,384.28,390.29,799052,21189,389.198515,389.7,True,True,30779.0
23,2021-08-03,392.48,395.98,388.58,395.29,678146,17469,393.648221,391.56,True,True,11299.0
