,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,241.57,242.83,237.87,238.76,1562637,27095,239.20499,240.335,True,False,54681.0
1,2021-07-01,239.61,240.22,238.01,238.68,1228719,24912,238.828532,238.57,False,True,18452.0
2,2021-07-02,238.91,241.39,238.705,239.59,926689,16421,239.891697,240.4,False,False,17255.0
3,2021-07-06,239.14,239.545,236.46,237.72,1389834,19935,237.941056,237.69,False,True,15899.0
4,2021-07-07,237.46,239.7147,237.02,239.05,953793,19905,238.769498,237.75,True,True,26507.0
5,2021-07-08,237.4,238.22,234.34,235.21,1062530,21484,235.611631,236.42,False,False,22310.0
6,2021-07-09,237.0,238.0,235.03,236.31,1368983,23748,236.169729,235.67,False,True,25473.0
7,2021-07-12,235.23,236.58,231.55,232.79,1315111,23971,232.990165,234.77,False,False,29451.0
8,2021-07-13,232.54,233.47,231.03,231.64,1354295,25745,231.774051,231.56,False,True,45027.0
9,2021-07-14,232.13,232.67,228.18,230.43,1329056,25528,230.124101,230.44,True,False,64182.0
10,2021-07-15,229.9,232.73,229.03,231.26,1547291,28043,231.013252,230.895,False,True,77046.0
11,2021-07-16,232.06,232.83,230.18,231.73,2048543,25325,231.605501,230.805,True,True,28732.0
12,2021-07-19,230.11,230.78,223.19,226.79,1499894,29506,226.553042,228.77,True,False,65273.0
13,2021-07-20,226.79,230.32,226.78,228.79,1201195,21471,228.830132,228.645,True,True,29311.0
14,2021-07-21,229.68,236.37,229.6,230.06,2668010,45480,232.168127,232.505,True,False,64667.0
15,2021-07-22,230.91,233.61,230.1,232.51,1723666,24578,232.209992,231.99,True,True,26371.0
16,2021-07-23,233.48,234.09,232.285,232.48,893151,15416,233.079724,233.81,True,False,21448.0
17,2021-07-26,248.0,257.23,245.5,251.56,12798308,144833,250.922447,248.71,False,True,337616.0
18,2021-07-27,250.99,260.165,250.23,259.58,7212074,89218,257.264926,256.01,True,True,299065.0
19,2021-07-28,261.06,265.2,257.86,262.29,6274353,82888,261.799902,258.225,False,True,189177.0
20,2021-07-29,264.35,265.1,262.18,263.77,4677043,51604,263.943835,264.14,False,False,102032.0
21,2021-07-30,264.495,264.99,257.48,260.03,3735343,50766,260.035743,260.69,True,False,202675.0
22,2021-08-02,261.94,262.57,259.315,259.94,1606193,32247,260.636625,260.175,True,False,79115.0
23,2021-08-03,260.93,267.34,260.05,264.06,3136802,46549,264.221131,265.775,False,False,176271.0
24,2021-08-04,262.51,264.67,259.25,259.41,2893887,41216,260.881192,262.02,False,False,91028.0
25,2021-08-05,260.385,262.4,259.26,262.4,2883457,39195,261.093631,260.82,True,True,197658.0
26,2021-08-06,263.685,263.7,260.61,261.52,2008242,33071,261.961276,262.9,True,False,62115.0
27,2021-08-09,261.3,264.27,260.5174,263.84,1446305,23625,262.959185,261.06,True,True,52797.0
28,2021-08-10,264.67,268.49,264.51,267.36,1525680,25122,267.022973,265.71,False,True,65689.0
29,2021-08-11,269.46,273.38,268.11,273.17,1533017,24625,272.070137,271.06,True,True,37392.0
30,2021-08-12,272.98,275.42,271.7,275.0,1712270,26301,274.054698,273.35,False,True,58768.0
31,2021-08-13,276.41,277.86,275.31,277.24,1616428,26915,277.017389,276.945,True,True,39545.0
32,2021-08-16,276.95,279.76,276.3301,279.67,1534214,23587,278.883173,277.81,False,True,62415.0
33,2021-08-17,278.645,281.07,278.41,280.8,1753758,26572,280.011581,279.84,True,True,64069.0
34,2021-08-18,280.08,280.87,276.61,276.67,1401733,24465,278.738966,279.69,False,False,32342.0
