,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,71.49,72.32,71.19,72.06,1039767,13670,71.936557,71.5,True,True,22314.0
1,2021-07-01,72.42,72.42,71.795,72.1,695643,12122,72.110985,72.185,True,False,18640.0
2,2021-07-02,71.82,71.93,70.82,70.98,808234,12363,71.170817,71.18,True,False,23150.0
3,2021-07-06,70.97,71.19,69.31,70.41,992062,12430,70.267667,69.42,True,True,19938.0
4,2021-07-07,70.12,72.18,69.82,72.03,642307,10572,71.68744,70.97,True,True,27864.0
5,2021-07-08,70.72,71.295,70.111,70.35,783827,11290,70.62356,71.15,True,False,30140.0
6,2021-07-09,71.45,71.62,70.59,70.75,1194889,12420,70.831299,70.97,False,False,16285.0
7,2021-07-12,70.48,71.44,70.27,71.19,816500,11574,71.173695,71.24,False,False,29867.0
8,2021-07-13,70.97,71.31,70.81,71.03,602815,10557,71.096439,71.065,True,False,10425.0
9,2021-07-14,71.06,71.58,70.44,71.01,1103894,11494,70.999763,70.89,True,True,17211.0
10,2021-07-15,70.695,71.355,70.05,70.77,755078,10284,70.617107,71.15,True,False,20219.0
11,2021-07-16,71.24,71.24,69.87,69.91,839214,10549,70.297114,70.725,False,False,19961.0
12,2021-07-19,68.77,69.37,68.15,68.94,697229,10171,68.807413,69.13,True,False,14555.0
13,2021-07-20,69.38,70.5,69.25,70.2,1401929,14585,70.19696,70.15,False,True,34105.0
14,2021-07-21,70.86,70.98,70.2,70.73,563260,7971,70.653474,70.47,False,True,9466.0
15,2021-07-22,70.59,70.81,68.45,68.63,897568,11147,68.955122,69.505,False,False,14977.0
16,2021-07-23,68.91,69.68,68.61,69.63,769211,9578,69.387398,69.115,True,True,11663.0
17,2021-07-26,69.7,70.01,69.36,69.81,734578,9265,69.739365,69.595,False,True,20084.0
18,2021-07-27,69.23,70.51,69.1,70.11,818879,10234,70.000385,70.31,True,False,21449.0
19,2021-07-28,70.04,70.41,69.13,69.4,827680,11451,69.614515,69.245,True,True,14736.0
20,2021-07-29,69.53,70.68,67.76,70.43,978241,14288,70.072593,69.46,True,True,30330.0
21,2021-07-30,70.14,70.66,69.4,70.33,1110238,13136,70.151239,69.805,True,True,21812.0
22,2021-08-02,70.54,71.08,69.79,69.84,613708,10929,70.271762,70.73,True,False,10787.0
23,2021-08-03,69.87,71.83,69.26,71.64,758342,11067,71.369071,71.11,True,True,21770.0
24,2021-08-04,71.23,71.7454,71.02,71.52,804472,11155,71.491996,71.38,False,True,11320.0
25,2021-08-05,71.925,72.33,71.19,71.34,646351,10344,71.59543,71.63,True,False,13412.0
26,2021-08-06,71.94,72.18,71.161,71.67,546579,9567,71.676561,71.84,True,False,34649.0
27,2021-08-09,71.385,71.82,70.81,71.41,516438,9892,71.44257,71.48,True,False,12982.0
28,2021-08-10,71.61,72.07,71.36,71.89,565118,9863,71.838946,71.83,False,True,20641.0
