,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,21.3,21.79,21.22,21.63,4959387,30594,21.578703,21.66,True,False,222274.0
1,2021-07-01,22.45,22.61,21.7,21.92,7931526,52817,22.043476,21.9083,False,True,205081.0
2,2021-07-02,21.66,21.745,21.4299,21.47,4084231,26410,21.560846,21.5999,False,False,118406.0
3,2021-07-06,21.46,21.6919,20.51,20.54,5739877,39784,20.77466,20.96,True,False,186119.0
4,2021-07-07,20.5,20.94,19.535,20.05,5886347,40442,20.077647,19.785,True,True,582954.0
5,2021-07-08,19.87,20.32,19.54,20.03,6095118,38078,19.959967,19.895,True,True,173801.0
6,2021-07-09,20.46,20.71,20.03,20.57,4245636,28899,20.513518,20.605,False,False,171824.0
7,2021-07-12,20.12,20.61,19.86,20.41,3872646,26096,20.376269,20.435,False,False,150944.0
8,2021-07-13,20.3,20.5,20.005,20.17,3833650,28358,20.253963,20.03,False,True,146798.0
9,2021-07-14,20.47,20.5811,18.79,19.04,9534494,56456,19.436235,20.0,False,False,205689.0
10,2021-07-15,18.64,19.04,18.3,18.47,9188899,44865,18.677624,18.68,False,False,285107.0
11,2021-07-16,18.62,18.74,17.87,17.98,8564732,44882,18.060477,17.97,False,True,238982.0
12,2021-07-19,17.06,17.6,16.93,17.21,10791382,65413,17.127775,17.3,True,False,291599.0
13,2021-07-20,16.95,17.66,16.83,17.56,9149400,54217,17.384723,17.26,False,True,308931.0
14,2021-07-21,17.87,18.58,17.6828,18.42,8634084,48952,18.284527,18.3101,True,True,766409.0
15,2021-07-22,18.3,18.44,17.82,18.25,9156722,39550,18.218246,18.15,False,True,245502.0
16,2021-07-23,18.28,18.4488,17.73,18.21,6249024,39293,18.082728,18.005,True,True,188217.0
17,2021-07-26,18.23,18.98,18.22,18.84,8701600,31989,18.780666,18.6,False,True,205077.0
18,2021-07-27,18.6,18.8,18.34,18.56,8186834,33806,18.551783,18.69,True,False,201805.0
19,2021-07-28,18.74,19.27,18.4581,19.04,4932107,32904,18.871314,18.48,False,True,259867.0
20,2021-07-29,19.45,19.53,19.04,19.08,6296849,44962,19.218449,19.21,True,False,164768.0
21,2021-07-30,18.93,18.96,18.375,18.75,5993033,42656,18.670031,18.555,False,True,210403.0
22,2021-08-02,18.86,19.33,18.27,18.28,6975968,43152,18.571159,18.8199,False,False,172156.0
23,2021-08-03,17.95,18.81,17.83,18.78,9825812,53051,18.52414,18.53,True,True,409559.0
24,2021-08-04,18.21,18.39,17.63,17.75,13800750,64511,17.883246,18.23,False,False,400037.0
25,2021-08-05,17.61,18.37,17.34,18.06,9412763,55928,17.95896,18.06,False,False,388435.0
26,2021-08-06,18.48,18.7,18.1,18.33,6047320,40447,18.325537,18.19,False,True,292124.0
27,2021-08-09,18.0,18.19,17.55,17.91,11895616,44480,17.920234,17.61,False,True,356801.0
28,2021-08-10,18.11,19.14,18.01,19.06,6777118,41829,18.851096,18.54,True,True,234046.0
29,2021-08-11,18.91,19.25,18.6,19.23,5710127,37999,19.024852,18.92,False,True,179130.0
30,2021-08-12,19.13,19.28,18.53,18.92,8441045,31190,18.871604,18.715,False,True,223246.0
31,2021-08-13,18.84,18.99,17.86,17.88,12241926,47423,18.11172,18.385,True,False,172057.0
32,2021-08-16,17.45,17.53,17.035,17.13,7275682,42977,17.228637,17.26,True,False,182587.0
33,2021-08-17,16.85,17.29,16.79,16.87,7122505,43324,16.964817,17.27,True,False,254431.0
34,2021-08-18,16.87,17.28,16.575,16.6,7099648,42865,16.938294,17.08,True,False,201144.0
35,2021-08-19,16.12,16.5195,15.545,16.0,11332948,65531,15.915426,15.8,False,True,553880.0
36,2021-08-20,15.83,16.15,15.71,16.07,8935138,51584,15.999732,15.805,False,True,214752.0
37,2021-08-23,16.71,17.375,16.66,17.29,11159297,42501,17.177984,16.86,False,True,224365.0
38,2021-08-24,17.67,18.11,17.45,17.9,8580870,34586,17.84704,17.725,True,True,148318.0
39,2021-08-25,17.9,18.26,17.63,18.13,7318940,32750,18.102931,18.09,True,True,281509.0
40,2021-08-26,18.0,18.16,17.54,17.69,5717149,30363,17.783041,17.93,False,False,204581.0
41,2021-08-27,17.97,18.82,17.91,18.74,6658154,42422,18.600994,18.56,True,True,411098.0
42,2021-08-30,19.03,19.06,18.46,18.66,6180158,38075,18.730194,18.57,True,True,126009.0
43,2021-08-31,18.51,19.62,18.45,19.48,9294816,50897,19.274244,18.97,True,True,232003.0
44,2021-09-01,19.3,19.52,18.715,19.05,7360748,43626,19.012651,19.1,False,False,323612.0
45,2021-09-02,19.31,20.055,19.22,19.85,7494556,46629,19.782389,19.92,True,False,454231.0
46,2021-09-03,19.79,20.04,19.49,19.67,6763842,28686,19.674949,19.71,False,False,127974.0
47,2021-09-07,19.42,19.8307,19.265,19.53,8167625,37302,19.505993,19.43,False,True,257331.0
48,2021-09-08,19.75,19.94,19.02,19.04,4754327,31648,19.288373,19.215,False,False,237512.0
49,2021-09-09,18.9,19.32,18.6416,18.93,5975213,41869,18.970613,19.26,True,False,247909.0
50,2021-09-10,19.22,19.32,18.68,18.69,4969482,35077,18.856446,18.81,False,False,177165.0
51,2021-09-13,19.1,20.16,19.05,20.15,7704813,49337,19.885146,19.985,True,True,373461.0
52,2021-09-14,20.36,20.5302,19.22,19.35,6392220,45515,19.603107,19.56,False,False,303739.0
53,2021-09-15,19.84,20.63,19.83,20.62,7939140,50550,20.375089,20.325,False,True,307641.0
54,2021-09-16,20.48,20.7,20.225,20.49,5478587,38540,20.461728,20.33,False,True,175666.0
55,2021-09-17,20.44,20.73,19.985,20.14,6909601,30145,20.175313,20.12,False,True,245644.0
56,2021-09-20,19.36,19.4,18.525,18.91,6836438,47827,18.892958,19.01,True,False,356704.0
57,2021-09-21,19.23,19.345,18.55,18.77,6142993,42858,18.807274,18.66,False,True,214568.0
