,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,68.32,68.78,68.08,68.41,2727281,24326,68.442505,68.67,True,False,38686.0
1,2021-07-01,68.62,68.97,68.15,68.96,2377123,24787,68.692656,68.58,False,True,76930.0
2,2021-07-02,69.46,70.31,69.39,69.95,3054600,26228,69.95052,69.93,False,True,147061.0
3,2021-07-06,69.99,70.1,68.5675,69.31,2317267,24895,69.151989,69.05,False,True,66139.0
4,2021-07-07,69.35,69.9,68.77,69.84,1899598,22271,69.591246,68.79,False,True,57194.0
5,2021-07-08,68.84,69.27,68.15,69.1,1971471,23555,68.916644,68.76,True,True,88571.0
6,2021-07-09,69.7,70.39,69.19,70.31,2343575,20423,70.208808,70.24,True,True,217509.0
7,2021-07-12,70.47,70.775,70.05,70.37,2941804,28893,70.370263,70.38,True,False,71072.0
8,2021-07-13,70.18,70.59,69.86,69.93,2786865,25815,70.202255,70.36,True,False,95171.0
9,2021-07-14,70.375,71.05,69.61,69.85,2791704,29792,69.963924,69.89,True,False,96104.0
10,2021-07-15,69.54,69.73,68.7475,69.09,3381233,29497,69.167464,69.22,False,False,91903.0
11,2021-07-16,69.51,69.67,67.89,68.03,6447986,31677,68.327048,68.79,True,False,146902.0
12,2021-07-19,66.87,67.71,66.75,67.39,3620025,32759,67.311313,67.265,True,True,135122.0
13,2021-07-20,67.69,68.93,67.49,68.61,2219647,24549,68.508298,68.2,True,True,47943.0
14,2021-07-21,69.05,70.21,68.9,70.15,3444081,27681,69.910803,69.6431,False,True,103544.0
15,2021-07-22,70.43,70.63,69.63,70.03,2453611,21234,69.965064,70.045,True,False,50993.0
16,2021-07-23,70.59,71.01,70.29,71.0,2088379,19103,70.772338,70.42,False,True,75854.0
17,2021-07-26,70.9,71.12,70.44,70.74,2369349,20549,70.718752,70.54,False,True,44019.0
18,2021-07-27,70.53,70.64,69.78,70.39,2813901,28636,70.227404,70.365,False,True,98207.0
19,2021-07-28,70.79,71.7,70.41,70.77,4595164,30944,71.115141,71.235,True,False,117518.0
20,2021-07-29,71.47,72.3,71.34,71.96,3530048,27144,71.958027,72.08,True,False,42214.0
21,2021-07-30,71.71,72.61,71.565,72.49,2465621,24038,72.250116,71.91,False,True,88118.0
22,2021-08-02,72.79,73.09,72.345,72.68,3211812,30024,72.6315,72.56,False,True,57259.0
23,2021-08-03,72.95,73.99,72.87,73.83,3496104,33875,73.646404,73.6,False,True,222756.0
24,2021-08-04,73.64,74.06,73.19,73.55,2169574,24385,73.664851,73.67,True,False,51505.0
25,2021-08-05,73.89,73.96,73.2442,73.68,1898045,20984,73.575653,73.805,True,False,57143.0
26,2021-08-06,73.765,73.85,73.41,73.63,1527714,18747,73.621258,73.51,False,True,31694.0
27,2021-08-09,73.5,73.72,73.12,73.43,1476282,15956,73.424519,73.56,True,False,41870.0
28,2021-08-10,73.4,73.78,73.17,73.63,1336472,16989,73.568133,73.4,False,True,72747.0
29,2021-08-11,73.77,73.77,73.31,73.72,1307469,17210,73.616242,73.56,True,True,41390.0
30,2021-08-12,73.79,73.98,73.43,73.91,1819258,18886,73.79597,73.59,False,True,40248.0
31,2021-08-13,73.8,74.115,73.66,73.99,1172006,12860,73.932501,73.79,False,True,37313.0
32,2021-08-16,73.89,74.52,73.57,74.5,1554301,16549,74.22045,74.08,True,True,43361.0
33,2021-08-17,74.11,74.24,73.37,74.11,2080391,25753,73.882222,74.02,False,True,48439.0
34,2021-08-18,73.76,74.64,73.75,73.91,2335331,23393,74.254712,74.41,False,False,48361.0
35,2021-08-19,73.31,74.2631,73.04,74.12,2108356,24204,74.013774,73.71,False,True,62416.0
36,2021-08-20,74.05,74.56,73.99,74.47,3667904,25566,74.412035,74.435,True,True,45809.0
37,2021-08-23,74.79,75.4,74.49,75.26,1961067,18730,75.08925,74.78,True,True,57172.0
38,2021-08-24,75.44,75.82,75.2625,75.34,2482265,16989,75.43443,75.48,False,False,29986.0
39,2021-08-25,75.38,75.9,75.24,75.78,1490811,17159,75.705156,75.61,True,True,47023.0
40,2021-08-26,75.94,76.03,75.4,75.62,1552990,19298,75.692733,75.63,False,False,86595.0
41,2021-08-27,75.97,77.0,75.9,76.75,2217177,21042,76.597149,76.25,False,True,151860.0
42,2021-08-30,77.0,77.25,76.55,76.93,1267778,16838,76.96416,76.925,True,True,45191.0
43,2021-08-31,76.96,77.05,76.12,76.63,2124487,21700,76.567857,76.31,True,True,46545.0
44,2021-09-01,76.7,76.75,76.13,76.34,1979853,24929,76.45031,76.48,True,False,64633.0
45,2021-09-02,76.65,76.88,76.28,76.84,1657697,20151,76.644231,76.62,True,True,26730.0
46,2021-09-03,76.65,77.085,76.56,77.04,1327284,18291,76.930749,76.82,False,True,25648.0
47,2021-09-07,76.95,76.96,75.94,75.98,1873181,21976,76.201461,76.48,True,False,62361.0
48,2021-09-08,75.67,75.975,74.98,75.56,1908767,21760,75.481722,75.1,False,True,72728.0
49,2021-09-09,75.47,76.04,75.2,75.22,2122949,23303,75.500199,75.91,True,False,36913.0
50,2021-09-10,75.64,76.38,75.32,75.36,1880694,22311,75.771939,75.875,False,False,125216.0
51,2021-09-13,75.87,76.12,75.155,75.92,3110315,31566,75.688479,75.55,True,True,77588.0
52,2021-09-14,76.04,76.2,75.26,75.73,2030551,23390,75.717793,75.47,False,True,113544.0
53,2021-09-15,75.92,76.48,75.56,76.41,2020533,21820,76.249706,75.95,False,True,59503.0
54,2021-09-16,76.33,76.81,75.81,76.47,2033264,22777,76.349808,76.115,True,True,41177.0
55,2021-09-17,76.34,76.42,75.41,75.72,4812991,29821,75.753754,75.78,False,False,170835.0
56,2021-09-20,74.34,74.74,73.58,74.2,2886252,33878,74.051706,74.27,True,False,70514.0
57,2021-09-21,74.49,74.7,73.35,73.87,2098162,22272,73.960624,73.68,False,True,77405.0
58,2021-09-22,74.74,76.31,74.47,75.56,2603744,30358,75.539778,75.39,True,True,61924.0
59,2021-09-23,75.84,77.22,75.84,77.04,1938355,21544,76.95624,76.82,True,True,62834.0
60,2021-09-24,76.77,77.68,76.61,77.49,1532676,17950,77.402513,77.03,False,True,24794.0
61,2021-09-27,77.33,77.69,76.85,77.27,2038661,24475,77.349282,77.65,True,False,57853.0
62,2021-09-28,76.61,77.33,75.57,75.64,4132631,39742,76.308599,76.98,True,False,125448.0
63,2021-09-29,75.95,76.17,74.42,74.54,4326609,36584,74.843382,74.93,False,False,222150.0
64,2021-09-30,74.9,75.24,73.2,73.23,3372408,31532,73.877771,74.66,True,False,79750.0
65,2021-10-01,73.68,75.01,73.03,74.61,2731498,30602,74.184693,73.14,False,True,76349.0
66,2021-10-04,74.27,74.54,73.17,73.54,2127404,23812,73.636409,73.71,False,False,47631.0
67,2021-10-05,73.84,75.045,73.61,74.59,1944507,24831,74.556546,74.4,True,True,31330.0
68,2021-10-06,73.85,74.58,73.17,74.53,1749436,23334,74.075643,73.675,False,True,53702.0
69,2021-10-07,75.36,76.05,75.27,75.6,1218908,17101,75.736137,75.83,False,False,33093.0
70,2021-10-08,75.735,76.02,75.38,75.74,1323115,16606,75.743766,75.52,False,True,37310.0
71,2021-10-11,75.58,75.96,75.05,75.07,1364650,16624,75.371002,75.75,False,False,41578.0
72,2021-10-12,75.25,75.44,73.85,74.0,1593301,18226,74.297627,74.345,True,False,47981.0
73,2021-10-13,74.11,74.56,73.43,74.43,2373452,24746,74.133962,73.9,True,True,61394.0
74,2021-10-14,75.17,76.45,74.92,76.43,1646856,17023,76.13217,75.64,False,True,39731.0
75,2021-10-15,76.99,77.13,76.51,77.07,2015359,16706,76.97652,76.92,True,True,24243.0
76,2021-10-18,76.58,77.76,76.19,77.48,1468081,16139,77.414144,77.245,True,True,32161.0
77,2021-10-19,78.09,78.1,77.34,77.83,1262636,17806,77.74785,77.76,False,True,31610.0
78,2021-10-20,78.03,78.58,77.78,78.35,1427276,17919,78.309201,78.16,False,True,33665.0
79,2021-10-21,78.46,79.725,78.36,79.49,2198265,20454,79.132644,78.97,True,True,34087.0
80,2021-10-22,79.62,80.12,79.05,79.3,1356440,16251,79.457389,79.92,False,False,29182.0
81,2021-10-25,79.48,79.6,78.725,79.12,1560170,18288,79.205691,79.25,True,False,41517.0
82,2021-10-26,79.12,79.37,78.72,78.76,1946454,26768,78.96463,78.91,False,False,43722.0
83,2021-10-27,77.5,77.91,75.61,75.77,3030074,34769,76.467095,76.38,False,False,96639.0
84,2021-10-28,76.25,76.82,75.34,76.63,3344507,31614,76.112992,76.15,False,True,44171.0
85,2021-10-29,76.42,77.25,76.2,76.77,1819136,20505,76.758906,76.87,True,False,58597.0
86,2021-11-01,77.24,77.66,76.595,76.96,1925024,21623,76.915428,77.0595,False,False,36957.0
87,2021-11-02,77.2,78.7,76.92,77.84,2186773,21655,77.962524,78.37,True,False,44967.0
88,2021-11-03,77.69,78.51,76.96,78.37,1340729,16199,78.017255,77.52,True,True,22637.0
89,2021-11-04,78.73,79.13,78.15,79.12,1483605,19113,78.847447,78.27,False,True,56196.0
90,2021-11-05,79.89,81.53,79.765,81.44,2242684,23803,81.044198,81.07,True,True,68719.0
91,2021-11-08,81.88,82.34,81.24,81.65,2213590,23845,81.736921,81.79,False,False,97512.0
92,2021-11-09,81.7,82.315,81.4,82.29,1686052,18713,82.023489,81.77,True,True,84486.0
93,2021-11-10,82.01,82.56,81.6,82.29,2000766,22697,82.145793,82.08,True,True,69525.0
94,2021-11-11,82.42,83.18,81.92,82.82,1935423,21113,82.695138,82.32,False,True,54839.0
95,2021-11-12,83.08,84.39,82.61,84.02,1740470,20390,83.812417,83.05,False,True,57318.0
96,2021-11-15,84.15,85.0,83.57,84.96,2597175,24438,84.617659,84.02,False,True,121790.0
97,2021-11-16,84.72,85.62,84.57,85.04,3203711,25151,85.152679,84.95,True,True,149629.0
98,2021-11-17,85.03,85.2514,84.44,84.9,1878535,18885,84.818216,84.89,False,True,78017.0
99,2021-11-18,85.34,85.37,83.96,84.76,1462220,16942,84.594282,84.92,False,False,115861.0
100,2021-11-19,84.86,85.78,84.55,85.14,1652622,15101,85.182912,84.91,True,True,168747.0
101,2021-11-22,85.6,86.05,84.19,84.26,1799460,21762,84.908289,85.005,False,False,146602.0
102,2021-11-23,84.27,84.86,83.75,84.8,1806916,20352,84.486605,84.41,False,True,61483.0
