,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,157.54,158.55,156.79,157.33,1169772,15451,157.701604,157.98,True,False,26416.0
1,2021-07-01,158.4,159.16,157.225,158.73,994054,17492,158.323073,157.84,False,True,17326.0
2,2021-07-02,158.98,160.53,157.885,159.87,1234515,15368,159.508217,158.29,False,True,30346.0
3,2021-07-06,159.34,160.08,155.86,157.6,1151657,16764,157.453863,157.1,False,True,20938.0
4,2021-07-07,157.07,157.33,151.13,154.0,1762456,24496,154.099676,151.13,False,True,29412.0
5,2021-07-08,150.7,151.84,147.865,151.28,1614246,25262,150.236576,149.54,True,True,52253.0
6,2021-07-09,153.98,156.68,152.85,155.61,1040351,17912,155.477566,155.34,True,True,51972.0
7,2021-07-12,155.07,159.62,154.47,158.52,1077317,16621,157.988885,157.59,True,True,25007.0
8,2021-07-13,157.65,158.51,156.475,157.53,1068904,16039,157.453243,157.37,True,True,30665.0
9,2021-07-14,158.01,159.23,154.45,155.81,783302,13633,155.809523,155.3,False,True,35123.0
10,2021-07-15,154.77,155.46,152.23,153.59,719100,13905,153.789407,153.94,False,False,10490.0
11,2021-07-16,154.92,154.79,149.54,149.75,858934,14465,150.899013,150.78,True,False,20278.0
12,2021-07-19,145.0,148.14,143.46,147.17,1551235,21522,146.446802,147.07,True,True,42483.0
13,2021-07-20,147.41,153.83,146.84,153.15,1054044,19136,152.295473,150.63,True,True,27113.0
14,2021-07-21,154.6,156.72,154.15,156.05,899723,15726,155.781871,155.0,False,True,29359.0
15,2021-07-22,155.63,155.82,153.29,154.49,650403,14192,154.524053,154.624,True,False,16044.0
16,2021-07-23,156.32,158.13,155.67,157.39,677104,13911,157.347547,156.8,True,True,17409.0
17,2021-07-26,157.76,159.81,156.55,159.75,809593,15232,158.712721,157.29,False,True,17215.0
18,2021-07-27,157.76,159.13,156.08,158.9,899099,15003,158.175694,157.59,True,True,19535.0
19,2021-07-28,159.05,163.5799,159.01,162.32,1320534,21720,161.812432,160.92,True,True,51555.0
20,2021-07-29,164.33,167.92,163.96,167.65,1307415,22135,166.777804,166.86,True,True,24961.0
21,2021-07-30,165.98,168.68,165.09,166.85,1303098,17625,166.702682,166.4,False,True,40100.0
22,2021-08-02,168.32,169.94,166.98,167.66,1357272,22328,168.292529,168.61,False,False,31076.0
23,2021-08-03,168.5,169.33,165.52,169.14,777324,16770,168.114011,167.57,True,True,26408.0
24,2021-08-04,167.96,168.65,165.62,165.72,1608544,24930,166.72266,167.89,True,False,45491.0
25,2021-08-05,156.65,161.75,155.321,159.65,2125102,29419,159.878366,159.61,False,True,65256.0
26,2021-08-06,159.94,164.13,158.99,163.15,1051595,17902,162.981405,163.19,False,False,29185.0
27,2021-08-09,162.58,166.82,161.88,165.31,971863,18658,165.311653,164.32,True,True,47533.0
28,2021-08-10,166.65,170.47,166.33,169.76,1284075,19665,169.133562,169.215,False,True,39468.0
29,2021-08-11,169.87,170.0,165.77,168.14,1038811,18761,167.362216,166.835,True,True,32454.0
30,2021-08-12,168.17,168.835,165.05,166.52,885280,16094,166.190302,165.24,False,True,29430.0
31,2021-08-13,166.92,167.25,164.46,164.93,709682,14348,165.233301,164.56,False,True,17653.0
32,2021-08-16,163.39,164.41,161.665,164.24,914768,15656,163.469425,163.86,True,True,40061.0
33,2021-08-17,161.51,162.2,155.76,158.25,1017447,16670,157.986729,158.5364,False,False,37188.0
34,2021-08-18,157.28,158.825,156.43,156.58,907206,16483,157.742645,157.83,False,False,43541.0
35,2021-08-19,154.0,154.37,150.165,152.92,1430863,21771,152.442242,150.585,False,True,89461.0
36,2021-08-20,152.79,154.94,151.5,154.65,1110784,15967,153.753505,152.75,True,True,25860.0
37,2021-08-23,155.75,156.77,154.92,155.2,1245966,17531,155.535002,155.74,True,False,37522.0
38,2021-08-24,156.7,158.03,155.99,157.64,1253381,15579,157.455074,157.11,True,True,85520.0
39,2021-08-25,158.59,158.73,156.82,157.42,1276406,16373,157.850327,158.62,True,False,14785.0
40,2021-08-26,157.39,157.5,153.96,154.21,795989,14637,154.902859,155.595,False,False,28969.0
41,2021-08-27,155.01,157.2291,155.0,156.41,1453048,20133,156.586422,156.06,False,True,89191.0
42,2021-08-30,156.41,157.1737,153.04,153.11,1202022,17215,153.996849,154.73,True,False,23517.0
43,2021-08-31,153.44,154.02,151.75,152.19,1974281,23953,152.555626,152.41,True,False,40663.0
44,2021-09-01,151.57,152.53,149.21,151.4,1273556,20066,151.585933,151.5798,True,False,23668.0
45,2021-09-02,152.17,152.64,150.87,151.07,934085,13289,151.459108,152.25,True,False,23799.0
46,2021-09-03,150.77,150.76,148.81,149.93,1260347,18074,149.583179,149.22,False,True,38603.0
47,2021-09-07,149.53,151.14,149.29,150.61,1670241,20760,150.365882,150.3,False,True,54566.0
48,2021-09-08,149.48,149.96,145.17,148.04,1646682,24269,146.964782,145.85,False,True,67706.0
49,2021-09-09,147.76,149.21,146.79,148.93,990230,17199,148.348596,148.48,True,True,24160.0
50,2021-09-10,150.38,151.675,146.39,146.44,1175726,18216,148.529018,149.005,False,False,41358.0
51,2021-09-13,148.485,148.96,146.2,148.25,1783208,23565,147.507968,147.76,True,True,117713.0
52,2021-09-14,149.3,150.97,148.935,149.83,1266093,20093,149.874027,149.23,False,True,26092.0
53,2021-09-15,150.0,154.97,149.67,154.27,2431741,29551,153.623103,151.64,False,True,73183.0
54,2021-09-16,153.59,153.3,147.485,149.18,1435504,20796,149.33851,148.33,False,True,45394.0
55,2021-09-17,147.68,148.7,144.98,146.43,1993767,20214,146.599767,147.74,True,False,27048.0
56,2021-09-20,141.26,143.89,140.6,143.48,1458591,21030,142.586564,142.5,True,True,52968.0
57,2021-09-21,144.7,145.78,141.06,142.3,1183012,14612,142.885293,141.92,False,True,31049.0
58,2021-09-22,144.49,146.43,143.72,145.17,1387376,21273,145.406895,144.85,True,True,48589.0
59,2021-09-23,147.48,153.54,147.48,152.76,1994161,29356,151.986178,151.16,True,True,38189.0
60,2021-09-24,152.18,153.25,150.8,151.03,822599,16020,151.761486,152.54,True,False,21510.0
61,2021-09-27,150.08,154.82,149.53,154.2,1112339,16351,153.641909,153.165,True,True,35791.0
62,2021-09-28,155.0,156.3,151.92,154.21,1593820,25799,153.945747,153.85,True,True,51892.0
63,2021-09-29,154.97,155.12,150.15,150.64,1152104,19448,151.13812,151.64,False,False,39477.0
64,2021-09-30,150.97,152.47,148.85,148.97,1716038,22851,150.237951,151.91,True,False,40341.0
65,2021-10-01,150.17,152.895,147.97,152.7,1385846,19607,151.240054,148.27,False,True,40803.0
66,2021-10-04,153.3,157.91,152.96,157.66,2996570,33221,156.136604,154.255,True,True,120775.0
67,2021-10-05,157.295,159.44,155.795,158.1,1974113,24429,158.225069,157.83,True,True,54352.0
68,2021-10-06,155.86,157.79,152.17,157.7,1330252,19916,155.054175,153.42,True,True,215507.0
69,2021-10-07,160.05,165.62,158.53,164.8,1428827,20647,164.245116,163.515,False,True,38928.0
70,2021-10-08,164.22,166.91,163.22,165.12,1464622,19943,164.770338,166.12,False,False,68381.0
71,2021-10-11,165.0,166.9,160.08,160.15,2529769,30843,163.158621,165.865,False,False,47573.0
72,2021-10-12,161.2,164.52,160.01,163.02,1380469,20048,162.998174,163.65,True,False,45101.0
73,2021-10-13,162.83,165.075,160.95,164.88,1575733,21328,163.951458,162.78,True,True,25649.0
74,2021-10-14,166.06,168.03,165.08,167.32,1074020,15537,167.018298,166.12,False,True,34055.0
75,2021-10-15,169.06,169.99,167.985,168.74,1186365,17196,169.095597,169.01,True,False,22246.0
76,2021-10-18,167.59,169.025,166.38,167.8,1212599,18654,167.854358,167.3,False,True,60318.0
77,2021-10-19,168.95,169.55,166.14,166.58,953021,16075,167.205838,167.09,False,False,42732.0
78,2021-10-20,164.55,169.0,164.46,168.98,1259777,16203,167.773005,167.81,True,True,39104.0
79,2021-10-21,169.16,170.52,168.37,169.51,1171240,17236,169.548894,170.2,True,False,61495.0
80,2021-10-22,169.81,170.22,167.2,168.38,999151,15432,168.509165,168.64,False,False,25745.0
81,2021-10-25,169.3,170.6394,168.0,170.29,1170616,16248,169.664654,169.42,False,True,15314.0
82,2021-10-26,171.1,171.57,168.125,169.18,957801,17592,169.478463,170.55,False,False,19918.0
83,2021-10-27,168.92,172.0,167.85,169.22,939479,15903,170.333324,170.62,True,False,21418.0
84,2021-10-28,170.71,172.64,169.7,172.07,957018,17399,171.535499,171.3794,False,True,27625.0
85,2021-10-29,171.89,173.21,171.3,172.89,965275,14385,172.546737,172.12,True,True,48274.0
86,2021-11-01,174.26,175.78,173.24,175.73,1660234,24154,174.686062,174.11,False,True,95557.0
87,2021-11-02,174.53,175.0,172.29,174.61,1757438,22265,173.78686,172.845,False,True,49346.0
88,2021-11-03,174.52,180.29,173.39,178.12,1589510,23405,177.902061,176.92,True,True,35432.0
89,2021-11-04,178.55,180.81,176.75,177.46,1726585,24453,178.611085,179.64,True,False,63556.0
90,2021-11-05,179.29,179.66,174.04,175.03,1556840,25584,175.738819,177.12,False,False,37574.0
91,2021-11-08,171.55,174.055,171.5,173.23,2082101,27680,172.580741,172.25,True,True,128091.0
92,2021-11-09,174.24,175.39,171.2001,172.47,1947111,26667,172.682952,174.62,True,False,71953.0
93,2021-11-10,171.36,173.62,169.62,171.42,1973382,25239,171.424126,170.59,False,True,66721.0
94,2021-11-11,171.83,172.86,167.5601,169.01,1724333,23071,169.244079,170.73,False,False,58491.0
95,2021-11-12,169.67,171.615,168.535,170.5,2715640,25068,170.314833,170.42,True,True,421175.0
96,2021-11-15,171.54,174.0562,170.1306,172.13,1777064,23566,172.105987,171.77,False,True,46396.0
97,2021-11-16,173.53,175.57,172.35,174.63,1524259,20088,173.787194,173.14,False,True,51514.0
98,2021-11-17,175.45,177.07,174.7769,176.51,1368816,22272,176.102716,176.5,True,True,80741.0
99,2021-11-18,177.7,179.4,174.62,176.26,1204015,21194,177.113364,178.15,True,False,97850.0
100,2021-11-19,176.39,177.665,175.14,176.06,1151756,20300,176.26198,175.6,False,True,104056.0
