,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,96.56,96.79,95.67,96.11,616972,9963,96.072436,96.09,False,True,9804.0
1,2021-07-01,95.95,97.47,95.6,96.98,616262,10277,96.913097,96.125,True,True,12742.0
2,2021-07-02,97.0,97.28,96.3918,97.11,486947,8018,96.971995,96.705,True,True,9241.0
3,2021-07-06,97.08,97.25,95.21,97.08,652009,9775,96.686241,95.74,False,True,11501.0
4,2021-07-07,96.79,98.01,96.51,97.95,591283,9379,97.653097,97.33,True,True,10288.0
5,2021-07-08,97.36,98.37,97.17,97.66,426550,8016,97.681578,98.18,False,False,8638.0
6,2021-07-09,98.12,98.63,97.15,98.53,762345,10181,98.178888,97.68,False,True,10807.0
7,2021-07-12,98.26,99.52,97.89,99.44,591661,10586,99.20548,98.97,True,True,11957.0
8,2021-07-13,99.3,99.84,98.65,98.8,581540,8652,99.135486,99.6,False,False,8972.0
9,2021-07-14,98.66,99.71,98.28,99.45,405635,6624,99.322677,99.04,True,True,8066.0
10,2021-07-15,99.45,100.97,99.14,100.82,572265,9650,100.499341,99.69,False,True,8805.0
11,2021-07-16,101.19,101.76,100.68,101.24,627251,10586,101.355052,101.13,False,True,24451.0
12,2021-07-19,101.15,101.33,97.5,98.95,1048587,17382,98.815942,99.77,False,False,15729.0
13,2021-07-20,98.72,100.265,98.6725,99.49,925844,13475,99.35387,99.21,False,True,18374.0
14,2021-07-21,99.54,100.17,98.17,98.25,727195,14017,99.044364,99.87,True,False,10925.0
15,2021-07-22,97.98,98.6504,97.495,97.66,475024,8767,97.823135,97.96,True,False,9665.0
16,2021-07-23,97.95,99.55,97.74,99.45,447735,7532,99.054107,98.31,True,True,5230.0
17,2021-07-26,99.42,99.73,99.07,99.52,490481,7718,99.467385,99.4,False,True,8767.0
18,2021-07-27,99.48,101.4,99.09,101.1,400152,8408,100.865015,100.36,True,True,13603.0
19,2021-07-28,101.14,101.26,99.45,100.35,491628,9287,100.274398,100.34,False,True,14839.0
20,2021-07-29,100.42,100.65,99.11,100.19,392754,7281,100.032052,99.41,True,True,12999.0
21,2021-07-30,100.66,100.85,98.22,98.59,1207538,11568,98.872924,99.88,True,False,40563.0
22,2021-08-02,98.99,100.01,98.59,99.54,501908,9864,99.481983,99.74,False,False,7395.0
23,2021-08-03,99.8,100.13,99.15,99.68,531923,9828,99.58691,99.38,True,True,12069.0
24,2021-08-04,98.87,99.545,98.07,99.39,583625,9291,99.032306,98.965,True,True,13159.0
25,2021-08-05,99.4,101.33,99.27,101.31,635721,9453,100.690749,100.39,True,True,8792.0
26,2021-08-06,101.45,101.9,100.78,100.89,594838,9706,101.214127,101.445,True,False,11003.0
27,2021-08-09,101.04,101.42,100.15,101.12,642617,8326,100.86118,100.49,False,True,27309.0
