,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,95.72,95.99,95.14,95.44,4368535,52709,95.465921,95.69,True,False,99908.0
1,2021-07-01,95.07,95.4,93.22,93.9,5040943,63698,93.934177,93.91,False,False,173381.0
2,2021-07-02,94.69,95.04,93.58,94.27,3098295,38115,94.169883,93.79,False,True,85637.0
3,2021-07-06,94.35,95.2,93.68,94.4,3828674,47229,94.290208,94.22,False,True,144675.0
4,2021-07-07,95.15,95.27,93.14,93.31,3439950,52348,93.662324,93.49,False,False,178833.0
5,2021-07-08,92.39,93.05,91.75,92.18,6117510,57614,92.243691,92.54,False,False,206988.0
6,2021-07-09,91.88,92.6,91.46,92.38,3580001,45804,92.203208,91.8,True,True,115055.0
7,2021-07-12,93.33,93.4164,92.43,92.91,4052114,45391,92.883521,92.81,False,True,125907.0
8,2021-07-13,93.37,93.86,92.87,93.25,8183228,53847,93.307555,93.455,False,False,188151.0
9,2021-07-14,93.54,93.77,92.1,92.32,4942708,58387,92.776105,93.67,True,False,519441.0
10,2021-07-15,92.37,92.6,90.595,90.68,8745726,70602,90.984212,91.11,False,False,242355.0
11,2021-07-16,90.87,92.39,90.84,91.8,7389060,69617,91.665149,91.41,True,True,288608.0
12,2021-07-19,91.7,92.25,89.895,90.3,7685078,92265,90.662146,91.09,False,False,221578.0
13,2021-07-20,90.51,91.71,89.56,91.51,6599384,71263,91.125895,90.495,True,True,161691.0
14,2021-07-21,91.76,91.92,90.4,91.17,5742550,58224,90.960984,90.74,False,True,326310.0
15,2021-07-22,90.39,90.68,89.555,90.47,5156602,61824,90.069452,90.005,True,True,235482.0
16,2021-07-23,90.68,91.73,90.02,91.5,3882443,52049,91.078777,90.24,True,True,94134.0
17,2021-07-26,91.34,91.4,89.99,90.14,4585473,51579,90.495369,91.3401,True,False,120545.0
18,2021-07-27,89.94,89.94,81.56,84.05,23858379,216976,84.271399,84.28,False,False,1921578.0
19,2021-07-28,84.94,87.3,84.7189,84.82,13129912,121174,85.857633,86.59,False,False,616301.0
20,2021-07-29,84.88,85.22,83.5,83.57,10824471,100264,84.012144,83.72,False,False,643841.0
21,2021-07-30,83.15,84.65,82.85,83.62,7047300,68035,83.769436,83.91,False,False,241990.0
22,2021-08-02,84.03,84.165,82.54,82.76,6211495,70555,83.122704,83.06,False,False,139553.0
23,2021-08-03,80.99,81.45,77.81,79.83,17314950,184559,79.388236,78.4275,False,True,799487.0
24,2021-08-04,83.38,83.9,80.45,81.52,19754235,171848,81.761758,81.1911,False,True,695398.0
25,2021-08-05,81.62,82.04,79.35,80.32,9870903,101616,80.183085,80.015,False,True,382904.0
26,2021-08-06,79.9,82.5,79.9,82.43,9689505,92185,81.733233,81.475,False,True,285535.0
27,2021-08-09,81.855,82.385,81.24,81.41,6077826,70684,81.644931,81.95,False,False,288107.0
28,2021-08-10,81.65,83.36,81.27,82.99,7765258,79091,82.724226,82.52,False,True,477165.0
29,2021-08-11,83.48,86.23,83.075,85.0,13378081,127403,84.762914,83.7,False,True,462601.0
30,2021-08-12,85.11,85.475,83.17,85.17,7352137,78318,84.658982,83.255,True,True,198664.0
31,2021-08-13,86.32,86.39,83.45,83.85,5367926,60297,84.192688,83.66,False,True,211767.0
32,2021-08-16,83.5,84.025,83.05,83.85,4319248,49143,83.62048,83.4,True,True,103405.0
33,2021-08-17,83.13,84.39,82.47,83.37,4771233,54314,83.513816,84.2757,True,False,307129.0
34,2021-08-18,83.43,84.14,82.77,82.83,4544615,57351,83.319548,83.589,True,False,140818.0
35,2021-08-19,82.28,84.535,82.19,83.17,5437813,60293,83.622806,83.8,True,False,201641.0
36,2021-08-20,82.98,83.67,82.22,82.63,7362212,70441,82.818086,83.57,True,False,255829.0
37,2021-08-23,82.93,83.49,81.89,82.22,8660513,86988,82.775084,83.05,True,False,360437.0
38,2021-08-24,82.7,82.81,81.19,81.79,11799257,101851,81.885349,81.92,False,False,443032.0
39,2021-08-25,81.92,82.12,80.0,80.81,10407348,102363,80.710095,81.13,True,False,234381.0
40,2021-08-26,81.59,82.49,81.19,81.25,7353584,73566,81.649282,82.29,True,False,240868.0
41,2021-08-27,81.51,82.66,81.3,82.43,5991712,62039,82.201522,82.14,True,True,225896.0
