,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,210.68,211.81,207.93,208.69,929436,13454,209.463441,210.75,True,False,16354.0
1,2021-07-01,209.48,212.33,208.15,210.51,671206,11907,210.781285,210.39,True,True,11838.0
2,2021-07-02,211.52,212.7035,210.9,211.33,467058,8390,211.477899,211.42,False,False,10014.0
3,2021-07-06,210.76,213.895,209.41,213.55,679037,11774,212.631377,211.37,True,True,10463.0
4,2021-07-07,212.99,216.25,212.35,215.73,689972,12391,215.176529,213.85,False,True,14301.0
5,2021-07-08,214.27,217.71,213.8,217.27,595116,11961,216.557973,216.2,True,True,17824.0
6,2021-07-09,217.94,221.08,217.33,220.83,654717,12779,219.820497,218.52,False,True,18724.0
7,2021-07-12,220.45,224.41,220.37,223.97,644944,11716,223.55514,223.01,True,True,11198.0
8,2021-07-13,223.89,223.7,220.36,221.22,344274,8936,221.866488,223.42,True,False,5034.0
9,2021-07-14,222.46,224.31,221.54,224.07,344095,7851,223.795417,223.38,True,True,8199.0
10,2021-07-15,224.24,225.305,223.1,224.93,617542,11444,224.673065,223.97,False,True,10794.0
11,2021-07-16,226.57,227.16,225.17,225.87,611803,10540,226.057382,226.3,True,False,9082.0
12,2021-07-19,223.76,225.24,221.15,223.17,700796,15135,222.979845,224.79,True,False,18038.0
13,2021-07-20,224.08,229.45,223.97,228.74,598329,13591,228.297027,227.49,False,True,8167.0
14,2021-07-21,228.93,230.6,227.91,228.18,608038,8858,229.202142,230.1,True,False,17594.0
15,2021-07-22,226.64,227.115,224.03,224.45,938083,14469,225.012438,226.69,True,False,8781.0
16,2021-07-23,225.1,226.95,224.18,226.8,802520,11963,225.609744,225.12,True,True,72984.0
17,2021-07-26,226.11,227.81,225.26,226.2,332967,7500,226.111575,225.665,False,True,6030.0
18,2021-07-27,226.0,229.47,224.95,228.28,457654,9536,228.000639,226.72,False,True,13345.0
19,2021-07-28,229.05,229.5,227.09,227.45,602184,14028,228.419056,229.13,True,False,29137.0
20,2021-07-29,228.23,232.25,227.55,229.92,415575,9400,230.101837,231.15,True,False,10202.0
21,2021-07-30,231.29,232.72,227.75,227.83,782331,10881,228.771613,230.51,False,False,34266.0
22,2021-08-02,229.68,231.89,227.5,228.81,587969,10834,229.032301,228.6,False,True,15552.0
23,2021-08-03,228.86,229.235,226.28,228.9,343263,7667,228.096075,227.68,True,True,6766.0
24,2021-08-04,228.77,229.67,227.11,227.88,404674,8918,228.069711,228.51,True,False,8404.0
25,2021-08-05,229.53,230.11,226.77,229.19,324428,8053,228.403228,228.82,True,True,7105.0
26,2021-08-06,229.06,230.0,227.63,228.92,298780,7264,229.061632,227.83,False,True,7132.0
27,2021-08-09,228.69,228.66,226.35,227.54,414338,9034,227.505367,227.6748,True,False,14749.0
28,2021-08-10,227.32,227.61,222.73,222.78,704909,14795,224.154527,225.82,True,False,15387.0
29,2021-08-11,223.88,224.46,221.56,222.2,640420,12982,222.612038,222.575,False,False,27300.0
30,2021-08-12,222.34,223.75,221.73,222.3,412151,9919,222.558978,223.35,True,False,10118.0
31,2021-08-13,222.38,225.2,222.31,224.55,401322,8681,224.170951,222.82,False,True,12776.0
32,2021-08-16,223.9,226.72,223.02,225.11,473699,9830,225.227301,226.32,True,False,8521.0
33,2021-08-17,223.35,225.35,222.3,224.59,323762,8732,224.017952,223.9,False,True,6961.0
34,2021-08-18,223.0,224.74,221.81,222.87,355247,7944,222.901714,224.44,True,False,6667.0
35,2021-08-19,221.71,224.61,220.67,223.95,413980,11797,223.324684,222.42,False,True,4082.0
36,2021-08-20,222.86,225.73,222.06,224.63,472726,9057,224.503128,223.92,False,True,145997.0
37,2021-08-23,224.865,225.91,222.05,223.15,331267,8566,223.311096,225.09,False,False,8825.0
38,2021-08-24,222.68,223.25,220.31,221.79,425733,10900,221.482787,220.41,False,True,9079.0
39,2021-08-25,221.24,224.285,220.47,222.26,339828,6920,222.679541,222.66,True,False,9146.0
40,2021-08-26,223.19,224.92,222.46,224.39,448745,10266,224.118822,222.86,False,True,9119.0
41,2021-08-27,225.09,226.81,224.61,225.62,270860,8393,225.784418,224.61,False,True,29437.0
42,2021-08-30,225.52,228.46,224.82,228.22,451436,9445,227.257831,226.29,True,True,6861.0
43,2021-08-31,226.8,229.69,226.75,229.58,661269,11210,229.124842,228.3,True,True,11292.0
44,2021-09-01,229.79,232.7,228.34,232.6,572872,13148,231.544741,230.86,True,True,17751.0
45,2021-09-02,232.15,233.45,230.41,233.02,820829,13304,232.005116,231.33,False,True,10210.0
46,2021-09-03,231.89,233.48,229.94,232.85,480656,9641,232.200286,230.13,False,True,10478.0
47,2021-09-07,232.16,232.25,226.31,227.59,655416,13090,227.779075,229.58,True,False,12602.0
48,2021-09-08,226.47,231.7569,226.2,230.49,410804,9269,229.96412,229.39,False,True,6207.0
49,2021-09-09,229.19,230.06,225.93,226.0,543150,11535,227.693762,229.49,True,False,7530.0
50,2021-09-10,226.32,226.89,223.42,223.55,488823,10923,224.613109,224.53,False,False,15312.0
51,2021-09-13,225.44,227.32,223.18,223.71,625185,15009,224.545069,225.74,False,False,10798.0
52,2021-09-14,224.71,225.61,222.82,224.29,305006,9846,224.317872,225.02,True,False,10543.0
