,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,156.0,156.535,153.33,154.13,625260,10134,154.274266,154.835,False,False,11276.0
1,2021-07-01,154.12,155.9,153.45,155.57,496451,10317,155.193489,154.1399,True,True,7754.0
2,2021-07-02,155.715,156.94,155.49,156.88,397459,7847,156.600411,156.24,True,True,5771.0
3,2021-07-06,157.7,159.98,156.56,159.88,760539,14229,158.576519,157.91,True,True,42403.0
4,2021-07-07,159.86,163.595,159.36,163.38,871144,15617,162.740306,162.1,False,True,27736.0
5,2021-07-08,162.33,163.99,161.065,161.58,567280,10365,162.073603,163.08,False,False,26834.0
6,2021-07-09,161.65,162.49,160.46,162.28,517964,8859,161.875315,160.795,False,True,7655.0
7,2021-07-12,162.1,163.22,161.56,162.98,414502,8419,162.717324,162.32,True,True,7506.0
8,2021-07-13,162.99,163.9,161.61,162.25,472460,8615,162.605943,163.454,False,False,5728.0
9,2021-07-14,162.5,164.0923,161.2619,163.24,361653,7926,163.159657,162.44,True,True,7511.0
10,2021-07-15,162.91,166.5,162.22,166.11,626312,10674,165.188256,163.18,False,True,10489.0
11,2021-07-16,166.98,169.77,166.2,168.31,628955,12377,168.224896,167.54,True,True,20074.0
12,2021-07-19,167.66,168.945,164.79,167.36,764716,15758,166.970791,167.05,False,True,15418.0
13,2021-07-20,168.22,169.45,165.71,166.7,952705,16459,167.093307,167.21,False,False,28089.0
14,2021-07-21,165.69,166.42,162.721,163.49,748702,14695,163.9607,165.28,True,False,11847.0
15,2021-07-22,163.85,164.85,163.17,164.42,534884,9870,164.154591,164.0,False,True,36000.0
16,2021-07-23,164.86,167.36,164.51,167.27,601978,11410,166.016608,165.5,False,True,10135.0
17,2021-07-26,166.61,167.04,164.96,166.18,555909,8242,166.168159,165.27,False,True,7052.0
18,2021-07-27,166.18,170.74,165.56,170.2,583999,12472,169.242408,167.04,True,True,20062.0
19,2021-07-28,170.25,170.86,168.6,170.35,482180,11595,169.939227,170.46,True,False,15194.0
20,2021-07-29,170.36,171.31,169.655,170.73,405972,10101,170.655404,169.91,False,True,9829.0
21,2021-07-30,170.73,172.1,169.94,170.11,631115,9795,170.659712,171.8,True,False,9264.0
22,2021-08-02,170.69,172.27,169.83,172.25,619027,13076,171.473159,171.19,False,True,14137.0
23,2021-08-03,172.89,176.8363,172.1,175.3,909836,16845,175.245593,175.555,True,False,51065.0
24,2021-08-04,173.11,177.15,172.06,176.47,1083990,18668,175.552773,175.05,True,True,31746.0
25,2021-08-05,176.47,180.079,176.0,179.67,525217,12875,178.534944,177.1,False,True,12772.0
26,2021-08-06,179.84,180.42,177.36,177.45,1000609,15925,178.452712,179.405,False,False,15343.0
27,2021-08-09,178.13,178.5199,175.5,177.12,985333,14512,176.652929,177.45,True,False,25496.0
