,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,163.84,166.16,163.7,165.23,2330087,33351,165.294318,165.48,True,False,46275.0
1,2021-07-01,165.49,167.37,164.69,166.94,2675946,34534,166.548655,166.161,False,True,80408.0
2,2021-07-02,167.53,168.98,167.01,168.5,2025283,27956,168.455162,168.71,True,False,71202.0
3,2021-07-06,172.0,172.54,167.8,169.56,4684662,60959,169.630401,169.059,False,True,220811.0
4,2021-07-07,170.25,174.76,169.38,170.98,3992305,56829,170.694399,170.05,False,True,128841.0
5,2021-07-08,166.82,170.04,165.59,167.5,4633231,59928,167.717577,167.378,False,True,142966.0
6,2021-07-09,170.0,172.31,169.21,171.94,3164780,41593,171.646408,171.79,False,True,84353.0
7,2021-07-12,170.43,174.1,169.8801,173.6,3150781,40326,173.335141,173.28,True,True,113609.0
8,2021-07-13,174.0,174.74,172.42,172.62,2659213,39656,173.113334,173.67,True,False,65409.0
9,2021-07-14,173.01,174.55,171.01,172.52,3115224,48968,172.532034,172.98,False,False,114194.0
10,2021-07-15,171.37,173.26,171.1,172.85,3439154,47709,172.329458,172.52,True,True,112757.0
11,2021-07-16,173.79,173.79,169.54,170.01,4341432,59047,170.651278,171.2,False,False,151488.0
12,2021-07-19,165.91,166.38,161.48,162.81,6685853,92308,163.114616,164.53,True,False,302302.0
13,2021-07-20,162.6,169.58,162.57,168.87,4222928,60432,168.165117,167.28,False,True,130982.0
14,2021-07-21,170.39,173.62,169.74,172.51,3372593,46259,172.367122,172.84,True,False,145194.0
15,2021-07-22,172.27,173.209,169.05,170.9,3329250,46343,170.88917,171.38,True,False,86365.0
16,2021-07-23,176.3,179.67,172.95,173.18,6320741,79411,175.513354,176.1749,False,False,166563.0
17,2021-07-26,173.43,175.43,172.3,172.61,3114119,39780,173.046508,172.81,False,False,81458.0
18,2021-07-27,170.09,175.12,169.96,172.94,7919998,62826,173.176011,173.9,False,False,381849.0
19,2021-07-28,173.04,173.45,169.71,170.02,7941795,68790,171.390934,170.47,True,False,137524.0
20,2021-07-29,171.49,173.815,171.0,171.95,3174814,46012,172.52245,173.0,True,False,136524.0
