,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,81.97,81.99,80.28,80.5,3135640,29035,80.689639,80.83,False,False,66336.0
1,2021-07-01,80.48,81.62,80.354,81.47,4798380,40596,81.324781,81.31,False,True,85112.0
2,2021-07-02,81.38,81.82,81.28,81.76,2823025,26228,81.550319,81.39,True,True,77737.0
3,2021-07-06,81.62,81.72,80.22,81.07,3304633,31048,80.798844,80.67,True,True,241130.0
4,2021-07-07,81.33,81.87,80.7391,81.85,1673546,21047,81.51647,81.12,False,True,44220.0
5,2021-07-08,81.68,81.77,80.81,81.33,1894791,20545,81.224578,81.11,False,True,55241.0
6,2021-07-09,81.46,81.63,80.23,80.43,2434454,27194,80.784812,81.15,False,False,63185.0
7,2021-07-12,80.43,81.1,80.27,80.81,2323433,27903,80.84496,81.0,False,False,57427.0
8,2021-07-13,80.61,81.39,80.72,81.09,1981543,22738,81.046889,81.16,True,False,39893.0
9,2021-07-14,81.08,81.23,80.47,81.0,1742295,21950,80.937325,80.83,True,True,65511.0
10,2021-07-15,81.12,81.39,80.66,81.06,1633339,19856,81.04661,81.26,True,False,42464.0
11,2021-07-16,81.28,81.82,81.14,81.42,1581210,20079,81.446053,81.76,True,False,78540.0
12,2021-07-19,81.16,81.41,79.76,80.27,3085758,33014,80.416263,80.6,False,False,86403.0
13,2021-07-20,80.48,81.66,80.26,80.54,2099120,28736,80.93255,81.22,False,False,49935.0
14,2021-07-21,80.69,80.79,79.542,80.27,1759864,23765,80.225403,79.98,True,True,56773.0
15,2021-07-22,80.44,80.72,80.06,80.51,872980,14355,80.448923,80.34,True,True,32638.0
16,2021-07-23,80.65,81.32,80.48,81.14,1823743,18367,81.010739,80.84,True,True,30018.0
17,2021-07-26,80.76,81.1,80.21,80.77,1887448,23627,80.739872,80.4,True,True,74129.0
18,2021-07-27,80.69,83.145,80.64,82.11,2299115,29828,82.300668,82.665,True,False,110705.0
19,2021-07-28,82.11,85.68,81.32,81.91,4554695,47870,82.37486,82.35,False,False,88931.0
20,2021-07-29,78.6,80.49,77.31,77.38,7322792,63537,77.98546,78.12,True,False,385396.0
21,2021-07-30,77.11,78.0,76.39,77.35,7504121,54802,77.421227,77.025,True,True,263037.0
22,2021-08-02,77.72,77.98,76.82,77.21,3337945,34294,77.268855,77.45,True,False,55290.0
23,2021-08-03,76.82,77.005,75.995,76.28,4437502,37547,76.340615,76.56,True,False,105210.0
24,2021-08-04,76.2,76.37,74.97,75.15,5593330,40138,75.687079,75.75,False,False,80570.0
25,2021-08-05,74.95,74.97,73.61,74.46,6982730,53054,74.068077,73.69,False,True,170242.0
26,2021-08-06,74.61,75.215,74.46,74.83,2990270,34374,74.928066,75.08,True,False,115944.0
27,2021-08-09,74.8,74.915,73.94,74.0,2283255,29196,74.137878,74.45,True,False,51058.0
28,2021-08-10,74.2,74.32,73.74,73.85,2374906,28664,73.994819,74.0283,True,False,108473.0
29,2021-08-11,73.95,74.38,73.82,73.98,1770831,24879,74.082365,74.05,False,False,35906.0
30,2021-08-12,74.08,74.26,73.5438,73.86,1444841,22396,73.838184,74.015,True,False,27396.0
31,2021-08-13,73.68,74.76,73.55,74.56,2967005,28075,74.354473,74.09,False,True,106527.0
32,2021-08-16,74.72,75.82,74.63,75.68,3633287,34830,75.523175,75.54,False,True,73243.0
33,2021-08-17,75.7,76.18,75.49,75.93,2977121,33501,75.866375,75.58,False,True,77700.0
34,2021-08-18,76.01,76.2,75.232,75.27,3155250,30332,75.48299,75.29,False,False,78021.0
35,2021-08-19,75.15,75.63,74.82,75.02,3013990,27376,75.077686,74.955,False,True,125487.0
36,2021-08-20,74.85,75.625,74.645,75.19,3281368,28985,75.251575,75.58,True,False,292391.0
37,2021-08-23,75.37,75.44,74.6,74.81,2528880,22752,74.831805,74.73,False,True,42456.0
38,2021-08-24,74.77,75.035,74.365,74.53,2119074,19432,74.607927,74.78,False,False,101250.0
39,2021-08-25,74.3,74.37,73.6,73.8,2950327,27599,73.892761,73.97,True,False,61210.0
40,2021-08-26,73.7,73.995,73.12,73.77,3084488,25472,73.756714,73.55,True,True,77352.0
41,2021-08-27,74.0,74.38,73.8,73.97,2610867,22264,74.053352,74.2,False,False,43911.0
42,2021-08-30,74.47,76.72,74.25,76.0,9333190,59301,76.188255,76.3,True,False,604591.0
43,2021-08-31,75.9,76.37,75.3,76.22,5210610,47984,76.040295,75.78,False,True,97091.0
44,2021-09-01,76.3,77.885,75.84,77.6,3994231,30770,77.382328,76.72,False,True,53208.0
45,2021-09-02,81.0,82.98,80.2,81.06,8200401,69870,81.120256,80.285,False,True,346321.0
46,2021-09-03,81.26,83.15,80.78,82.71,5099242,55728,82.416018,81.83,True,True,155598.0
47,2021-09-07,82.05,83.75,81.99,83.35,5810645,45739,83.115757,82.739,True,True,148405.0
48,2021-09-08,83.16,83.91,82.7,82.76,3018943,32235,83.24801,83.52,False,False,67147.0
49,2021-09-09,82.77,82.93,81.38,81.72,3517335,34073,81.908238,82.185,True,False,152010.0
50,2021-09-10,81.63,81.9871,80.71,80.92,2510645,34620,81.037624,80.94,True,False,91461.0
51,2021-09-13,81.53,82.26,80.3337,80.63,2903066,32622,80.925095,81.06,False,False,92944.0
52,2021-09-14,80.81,81.785,80.58,81.77,2863589,28456,81.488138,81.16,True,True,60132.0
53,2021-09-15,81.61,84.17,81.45,83.57,5892675,57179,83.452921,82.48,True,True,79206.0
54,2021-09-16,83.39,83.87,82.24,83.22,2689224,29413,83.013656,82.7,True,True,71660.0
55,2021-09-17,82.84,83.63,82.71,83.61,4505428,30475,83.400499,83.005,False,True,33642.0
56,2021-09-20,82.79,83.17,81.92,82.29,2801438,29673,82.3704,82.55,False,False,53993.0
57,2021-09-21,82.53,83.23,81.91,81.95,2000887,26836,82.296842,82.46,True,False,61178.0
58,2021-09-22,82.03,82.39,81.01,81.05,2437213,28602,81.482117,81.51,False,False,41866.0
59,2021-09-23,81.07,81.41,80.73,80.79,2727672,28317,81.069215,81.04,False,False,58997.0
60,2021-09-24,80.67,81.07,80.53,80.85,2005329,24906,80.842681,80.825,False,True,52295.0
61,2021-09-27,80.4,80.86,79.89,80.57,2259868,25043,80.49904,80.75,True,False,117417.0
62,2021-09-28,80.38,80.99,80.05,80.73,2916774,31207,80.551557,80.445,False,True,53819.0
63,2021-09-29,81.0,82.29,80.77,81.81,2530027,32304,81.828546,81.3725,False,True,48258.0
64,2021-09-30,82.08,82.53,80.41,80.43,3070412,28243,81.205445,81.985,False,False,77946.0
65,2021-10-01,80.56,81.66,79.76,81.29,2872577,32192,80.956957,79.97,True,True,111207.0
66,2021-10-04,81.01,81.59,79.8,80.42,3140519,29479,80.483594,81.07,False,False,57505.0
67,2021-10-05,80.67,82.19,80.49,80.86,2751043,26529,81.20754,81.74,False,False,84061.0
68,2021-10-06,80.33,80.925,79.67,80.86,2919872,26391,80.550946,80.37,False,True,44068.0
69,2021-10-07,81.16,81.9,80.48,80.58,3309715,22675,80.902943,81.61,False,False,74650.0
70,2021-10-08,80.77,81.11,79.98,80.2,2627994,24026,80.317488,80.5802,True,False,56094.0
71,2021-10-11,79.91,80.095,78.84,78.92,2001119,19105,79.379284,79.78,True,False,74432.0
72,2021-10-12,78.88,79.03,78.28,78.71,1383018,16811,78.732257,78.6,False,True,33180.0
73,2021-10-13,78.9,79.26,78.47,78.8,1471915,18282,78.859473,78.79,True,True,32388.0
74,2021-10-14,79.29,79.92,79.1,79.89,1748083,19480,79.74816,79.62,False,True,42995.0
75,2021-10-15,80.03,80.36,79.68,79.7,1762362,17032,79.9199,80.15,False,False,59133.0
76,2021-10-18,79.3,79.6,77.94,78.18,1801976,18407,78.382905,78.865,True,False,24571.0
77,2021-10-19,78.46,79.73,78.39,79.68,2504085,24035,79.426394,79.18,False,True,22966.0
78,2021-10-20,79.9,81.73,79.78,81.25,2256492,24430,81.016046,80.34,True,True,45696.0
79,2021-10-21,81.57,81.78,80.79,81.46,1338493,16783,81.348966,81.255,False,True,34015.0
80,2021-10-22,81.58,82.235,81.47,82.19,1314193,14286,82.01317,81.94,True,True,20910.0
81,2021-10-25,82.21,82.6,81.24,81.36,2602459,19950,81.523728,82.04,True,False,52867.0
82,2021-10-26,81.37,82.12,81.17,81.79,1536182,20473,81.752169,81.51,False,True,84030.0
83,2021-10-27,82.21,82.39,81.765,81.94,2742752,30864,82.045416,82.25,True,False,104712.0
84,2021-10-28,82.25,84.3,78.33,78.61,7323290,61860,80.001706,82.66,True,False,132471.0
85,2021-10-29,78.21,79.41,77.56,78.96,7931204,64653,78.505673,78.3,False,True,177042.0
86,2021-11-01,79.02,80.16,78.86,79.82,3357414,36627,79.547191,79.0,False,True,137568.0
87,2021-11-02,79.94,80.82,79.34,80.29,2152073,25861,80.182138,79.46,False,True,32177.0
88,2021-11-03,80.43,80.94,79.58,80.04,1647434,19292,80.082271,80.4,False,False,51418.0
89,2021-11-04,79.96,80.23,77.845,78.31,2638945,30706,78.418152,78.99,False,False,72968.0
