,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-08-03,64.5,66.23,62.22,66.0,6041374,40588,64.491391,62.6,False,True,198124.0
1,2021-08-04,64.74,65.5,61.41,61.94,5992492,47618,62.906214,63.795,True,False,131272.0
2,2021-08-05,62.86,63.4,61.01,62.32,3976430,36527,62.119003,62.3086,False,True,109613.0
3,2021-08-06,62.65,62.65,60.8593,61.67,3275384,32188,61.621251,61.595,False,True,128622.0
4,2021-08-09,61.42,62.08,60.6,61.48,3125385,28873,61.45399,61.305,True,True,79388.0
5,2021-08-10,61.35,63.7,60.52,62.51,3129579,29391,62.776077,62.98,True,False,160441.0
6,2021-08-11,63.65,64.19,61.67,63.25,4130330,35927,62.864253,62.88,True,True,136664.0
7,2021-08-12,63.24,64.43,62.04,62.52,2958653,26276,62.746095,62.235,False,True,89622.0
8,2021-08-13,62.37,62.875,60.51,60.8,3644351,30788,61.308312,62.32,False,False,40440.0
9,2021-08-16,60.27,62.38,59.62,61.96,3424135,35821,61.260208,60.64,True,True,130526.0
10,2021-08-17,61.12,61.68,58.28,59.17,3735544,32781,59.303852,59.38,False,False,117306.0
11,2021-08-18,59.32,60.69,58.765,59.44,4154580,38767,59.697029,59.685,True,False,130231.0
12,2021-08-19,62.99,66.12,62.35,65.51,8617615,80168,64.586816,62.915,False,True,285422.0
13,2021-08-20,64.76,66.47,64.32,66.26,3989971,43089,65.671922,64.47,False,True,144764.0
14,2021-08-23,66.655,67.96,65.59,67.59,4119646,39849,67.053302,66.56,True,True,317718.0
15,2021-08-24,68.3,69.13,67.55,68.35,4454298,42349,68.556295,68.34,False,True,276155.0
16,2021-08-25,68.65,69.1,67.78,68.18,2344695,23563,68.240949,68.5,True,False,95272.0
17,2021-08-26,67.73,67.98,66.18,67.84,2548013,29150,67.35367,66.395,False,True,103045.0
18,2021-08-27,68.63,69.47,68.3,68.54,1874673,22845,68.743696,68.77,False,False,67422.0
19,2021-08-30,68.93,69.14,67.75,69.03,1562814,18421,68.798243,68.48,True,True,53096.0
20,2021-08-31,68.83,68.9,66.9,67.48,2952278,31015,67.41921,67.07,False,True,89965.0
21,2021-09-01,67.72,68.54,65.22,66.24,4420530,40569,66.572821,68.06,False,False,329066.0
22,2021-09-02,66.28,66.93,65.28,65.62,2182877,25967,65.866329,66.63,True,False,46122.0
23,2021-09-03,65.14,66.7,64.39,65.6,2114199,28438,65.263018,65.22,False,True,70615.0
24,2021-09-07,65.19,66.02,64.32,64.98,2553278,30355,65.187969,65.53,False,False,102631.0
25,2021-09-08,64.6,65.19,63.66,64.48,3073113,25510,64.68179,64.22,False,True,138120.0
26,2021-09-09,64.44,65.25,64.15,64.53,1801014,23498,64.711332,65.08,True,False,46684.0
27,2021-09-10,64.83,65.0,63.57,63.64,2020279,24235,64.292747,64.385,False,False,107976.0
28,2021-09-13,64.07,64.37,63.06,63.89,3274336,27952,63.690843,63.62,False,True,124170.0
29,2021-09-14,64.36,64.66,63.13,63.41,2522030,20454,63.665538,63.66,False,False,45279.0
30,2021-09-15,63.06,65.49,62.67,65.12,3182692,31903,64.765801,63.81,False,True,66428.0
31,2021-09-16,65.82,67.14,65.6,66.51,2216955,26166,66.489675,66.3,True,True,63632.0
32,2021-09-17,66.96,67.93,65.88,66.34,6155939,27995,66.43043,66.99,False,False,84516.0
33,2021-09-20,64.31,65.58,63.115,64.43,2102339,24427,64.215767,64.83,True,False,62142.0
34,2021-09-21,65.86,66.43,64.38,64.43,2006540,22152,65.074232,64.9,False,False,60663.0
35,2021-09-22,64.98,66.9,64.63,66.42,2423656,22143,66.281214,65.6,False,True,31347.0
