,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,31.83,32.2989,31.75,31.99,3037092,27804,31.974083,31.975,True,True,135279.0
1,2021-07-01,32.25,32.32,31.95,32.26,1655908,16077,32.174634,32.045,False,True,69449.0
2,2021-07-02,32.4,32.4,31.74,31.95,1530072,16438,31.940868,31.955,True,False,40589.0
3,2021-07-06,31.66,31.87,30.99,31.6,3376981,23425,31.424641,31.225,True,True,69588.0
4,2021-07-07,31.32,32.22,31.25,32.11,2746599,25079,31.910319,31.455,True,True,101256.0
5,2021-07-08,31.405,31.68,30.91,31.08,2965676,23980,31.21045,31.26,True,False,59192.0
6,2021-07-09,31.88,32.15,31.61,32.15,2686861,21990,32.057986,31.96,False,True,60390.0
7,2021-07-12,31.91,32.8,31.7,32.28,2670913,21581,32.428224,32.77,True,False,105343.0
8,2021-07-13,32.2,32.24,30.55,30.7,4024460,32805,30.960865,30.89,False,False,156066.0
9,2021-07-14,30.76,30.96,30.02,30.23,3259415,27718,30.275839,30.21,False,True,147904.0
10,2021-07-15,30.05,30.385,29.85,30.19,3545063,30742,30.136167,30.115,False,True,108343.0
11,2021-07-16,30.35,30.37,29.2,29.41,3147750,23057,29.545172,29.765,False,False,43939.0
12,2021-07-19,28.65,28.8,28.307,28.58,4030694,37596,28.52927,28.705,True,False,160785.0
13,2021-07-20,28.58,29.405,28.35,29.32,2760850,25149,29.187175,29.1351,False,True,58050.0
14,2021-07-21,29.8,30.26,29.55,29.92,2408970,21504,29.947157,29.91,False,True,52835.0
15,2021-07-22,29.92,29.95,29.275,29.44,2780773,21356,29.467509,29.63,False,False,40331.0
16,2021-07-23,29.57,29.72,29.09,29.3,2108002,20768,29.319156,29.29,False,True,71276.0
17,2021-07-26,29.4,30.025,29.32,29.86,2505784,21535,29.839475,29.89,False,False,108192.0
18,2021-07-27,29.5,29.83,29.145,29.44,3635529,28014,29.486821,29.56,False,False,110331.0
19,2021-07-28,29.55,29.79,28.89,29.2,3156731,27056,29.246701,29.12,True,True,91367.0
20,2021-07-29,29.48,29.81,29.06,29.8,4428804,31114,29.614663,29.39,True,True,151544.0
21,2021-07-30,29.64,30.01,29.43,29.55,7138246,29155,29.58793,29.67,True,False,135905.0
22,2021-08-02,29.79,30.51,29.59,29.77,3792977,35926,29.891718,30.04,False,False,97746.0
23,2021-08-03,29.91,30.9,29.48,30.71,3908901,31821,30.294019,29.81,False,True,265611.0
24,2021-08-04,30.43,31.18,30.33,30.6,5123622,30271,30.691652,30.9,True,False,238501.0
25,2021-08-05,30.79,31.05,30.68,31.04,2481155,21594,30.926809,30.98,True,True,79127.0
26,2021-08-06,31.56,31.89,31.33,31.66,2852631,25669,31.663582,31.58,True,True,67461.0
27,2021-08-09,31.48,32.56,31.44,32.39,4674868,25967,32.343217,31.785,True,True,42747.0
28,2021-08-10,32.36,33.27,32.215,32.82,2853012,27592,32.827945,32.77,True,True,111113.0
29,2021-08-11,33.06,33.57,32.82,33.42,2171236,20724,33.332231,33.2,True,True,48005.0
30,2021-08-12,33.34,33.49,32.84,33.18,1435096,15513,33.151333,32.955,False,True,40841.0
31,2021-08-13,33.16,33.19,32.7,32.77,1157047,12927,32.867597,32.92,False,False,32932.0
32,2021-08-16,32.4,32.64,32.05,32.63,1820792,16828,32.529754,32.56,True,True,51060.0
33,2021-08-17,32.36,32.39,31.375,31.66,2952844,27452,31.737235,31.925,False,False,100749.0
34,2021-08-18,31.41,31.7,30.98,31.01,1793099,17581,31.320293,31.65,True,False,38472.0
35,2021-08-19,30.52,30.92,30.26,30.65,2038323,19623,30.589827,30.53,False,True,51677.0
36,2021-08-20,30.57,31.15,30.54,31.13,2384760,16941,31.04073,30.945,False,True,42677.0
37,2021-08-23,31.46,31.77,31.345,31.54,1886215,15829,31.595608,31.48,True,True,36287.0
38,2021-08-24,31.59,32.19,31.47,32.07,2205298,17336,31.947334,31.685,True,True,118605.0
39,2021-08-25,32.26,32.8,32.005,32.54,4223600,20708,32.53859,32.49,True,True,94198.0
40,2021-08-26,32.68,32.68,32.13,32.14,1331638,12765,32.311894,32.35,False,False,36263.0
41,2021-08-27,32.23,32.995,32.18,32.94,1596849,17001,32.795295,32.55,True,True,35150.0
42,2021-08-30,33.0,33.07,32.41,32.42,1447415,18803,32.641853,32.805,True,False,47172.0
43,2021-08-31,32.36,32.58,32.205,32.44,2646612,21109,32.424213,32.405,True,True,67606.0
44,2021-09-01,32.43,32.5978,31.77,32.27,2562422,24344,32.211959,32.06,True,True,79840.0
45,2021-09-02,32.46,32.64,32.36,32.44,2090190,19396,32.468267,32.62,True,False,90337.0
46,2021-09-03,32.45,32.605,31.943,32.0,1966930,17307,32.13678,32.16,False,False,70800.0
47,2021-09-07,31.91,31.95,31.16,31.23,2347038,21627,31.432557,31.695,False,False,83272.0
48,2021-09-08,31.23,31.51,31.09,31.3,1881005,19996,31.331952,31.18,False,True,69052.0
49,2021-09-09,31.23,31.83,31.13,31.36,1786319,17050,31.535734,31.78,True,False,101785.0
