,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,75.51,75.69,74.69,74.94,932480,10614,75.00496,75.36,True,False,13679.0
1,2021-07-01,75.33,75.63,74.32,74.54,635409,11727,74.745164,75.05,False,False,12580.0
2,2021-07-02,74.62,74.88,74.31,74.44,442443,8711,74.51417,74.81,True,False,11590.0
3,2021-07-06,74.05,74.68,73.7268,74.21,772202,9854,74.279712,74.1,True,True,11241.0
4,2021-07-07,74.28,74.77,73.81,74.43,671188,9832,74.261726,74.25,True,True,12210.0
5,2021-07-08,73.75,74.13,73.19,73.89,451107,9290,73.812473,73.73,False,True,6976.0
6,2021-07-09,74.24,74.41,73.69,74.12,777116,10393,74.073468,74.17,False,False,11594.0
7,2021-07-12,74.16,74.19,72.97,73.28,1295346,16275,73.254661,73.16,False,True,30636.0
8,2021-07-13,73.51,73.95,71.96,72.08,1021690,13369,72.560808,73.45,True,False,23613.0
9,2021-07-14,72.1,72.83,71.565,72.78,797789,11185,72.335395,71.72,True,True,32357.0
10,2021-07-15,72.53,72.89,71.565,72.67,869246,12043,72.290971,72.085,True,True,20515.0
11,2021-07-16,72.39,72.655,71.7,71.96,1386421,12265,72.014242,72.07,True,False,20873.0
12,2021-07-19,71.67,72.05,70.8972,71.52,677638,11977,71.403829,71.56,False,False,12603.0
13,2021-07-20,71.88,72.54,71.615,72.19,757851,10973,72.221501,72.315,True,False,15025.0
14,2021-07-21,72.44,72.82,72.33,72.5,742405,10041,72.535545,72.58,True,False,10543.0
15,2021-07-22,72.0,72.39,71.18,71.24,483731,7247,71.37123,71.51,True,False,9327.0
16,2021-07-23,71.25,72.14,70.8323,72.02,578835,9232,71.835597,71.455,True,True,10739.0
17,2021-07-26,72.05,72.53,71.74,72.25,618279,9015,72.262775,72.23,False,True,20219.0
18,2021-07-27,71.89,73.49,71.885,72.47,725758,10754,72.641418,73.03,True,False,13273.0
19,2021-07-28,72.74,73.24,72.0,72.16,598675,8612,72.367156,72.85,False,False,22646.0
20,2021-07-29,72.25,72.6,71.4,71.46,596366,9019,71.667867,72.03,False,False,12460.0
21,2021-07-30,71.64,72.0,70.84,70.92,1463455,12252,71.0811,71.54,True,False,27919.0
22,2021-08-02,71.09,71.54,70.71,70.79,770155,11148,71.009339,71.4,True,False,16156.0
23,2021-08-03,70.81,71.29,70.563,70.78,477459,7515,70.812133,71.085,True,False,12118.0
24,2021-08-04,70.73,71.15,69.93,69.96,652493,9156,70.102003,70.28,False,False,6757.0
25,2021-08-05,70.18,70.53,70.05,70.47,510306,6903,70.388581,70.35,False,True,22661.0
26,2021-08-06,70.47,70.88,70.24,70.34,545974,6899,70.410705,70.49,False,False,9862.0
27,2021-08-09,70.62,70.74,69.9257,70.04,656202,6221,70.087887,70.23,True,False,15020.0
28,2021-08-10,69.89,70.2,69.21,69.67,496972,7937,69.721752,70.1,True,False,13216.0
29,2021-08-11,69.63,69.8357,69.31,69.36,446904,6622,69.462268,69.43,False,False,7817.0
30,2021-08-12,69.1,69.72,68.3,68.37,864678,6971,68.491349,69.01,True,False,5840.0
31,2021-08-13,68.62,69.325,68.3,69.23,451200,7221,69.120676,68.99,True,True,14581.0
