,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,345.0,349.5,342.75,346.27,1066908,22245,346.75617,348.44,True,False,44281.0
1,2021-07-01,345.97,350.38,345.46,348.92,994721,22720,347.924618,348.33,False,True,45510.0
2,2021-07-02,348.44,350.07,343.845,348.72,811350,20484,347.978011,348.06,True,True,33715.0
3,2021-07-06,347.57,347.71,340.27,344.89,1040832,22292,343.627232,344.065,True,True,32211.0
4,2021-07-07,345.285,355.82,344.39,355.33,1377494,28845,351.699271,347.71,True,True,30487.0
5,2021-07-08,350.07,370.0625,350.07,369.05,2343287,47222,364.454357,364.55,True,True,86687.0
6,2021-07-09,371.86,372.115,351.01,358.16,2719043,56691,360.613308,367.63,True,False,48918.0
7,2021-07-12,357.495,357.99,348.6,349.04,1187729,26112,352.195268,356.18,False,False,34937.0
8,2021-07-13,349.89,357.24,347.5,351.92,972217,22374,351.982101,350.2,True,True,29372.0
9,2021-07-14,351.3,358.77,349.68,352.06,1234467,22748,353.66484,354.143,False,False,27693.0
10,2021-07-15,341.85,343.04,323.71,328.16,3026249,54340,330.63833,332.1,False,False,121993.0
11,2021-07-16,323.97,331.11,323.0,324.62,1533233,30010,326.434201,329.01,True,False,32664.0
12,2021-07-19,322.95,326.97,320.11,324.16,1031767,25980,323.414522,324.935,True,False,41212.0
13,2021-07-20,324.45,327.515,317.255,322.49,1378685,31192,321.76822,322.73,False,False,34173.0
14,2021-07-21,321.41,324.52,318.29,322.96,1130701,25767,322.01087,322.515,True,True,45540.0
15,2021-07-22,320.49,330.64,319.2282,326.36,1485517,31897,326.282835,322.99,False,True,56161.0
16,2021-07-23,322.1,328.15,319.85,325.4,1015829,24136,324.533616,320.62,False,True,47920.0
17,2021-07-26,325.09,335.0,322.51,331.93,1267057,27828,331.334258,330.27,False,True,26180.0
18,2021-07-27,332.01,334.5,326.5,333.96,928559,20440,331.244016,328.5,False,True,37334.0
19,2021-07-28,333.15,336.95,329.815,334.18,711489,16983,333.451244,332.6784,True,True,14188.0
20,2021-07-29,335.45,336.92,329.0,329.17,659503,16437,332.627267,334.99,True,False,24280.0
21,2021-07-30,327.4,331.45,325.4,326.73,940217,19122,328.198467,328.98,True,False,28991.0
22,2021-08-02,327.22,336.08,326.26,331.7,962247,20123,331.997247,333.66,True,False,26454.0
23,2021-08-03,331.81,338.36,325.09,338.0,1325969,25985,333.278275,330.85,False,True,62360.0
24,2021-08-04,336.67,342.86,335.03,338.1,1216500,25154,338.718702,341.03,True,False,79578.0
25,2021-08-05,336.63,340.5,334.42,336.59,714379,14538,337.260087,338.55,False,False,24842.0
26,2021-08-06,335.75,342.16,333.0,340.0,821723,16885,339.23961,337.26,True,True,19200.0
27,2021-08-09,339.45,347.34,338.0,340.2,1046431,19631,341.979491,345.41,False,False,30091.0
28,2021-08-10,339.09,340.74,334.68,337.22,801198,17994,337.081686,334.925,False,True,24647.0
29,2021-08-11,337.65,342.0,336.39,339.05,783318,19313,339.234556,340.66,False,False,21809.0
30,2021-08-12,337.33,341.0,334.61,340.68,806367,17177,338.580569,336.72,False,True,43310.0
31,2021-08-13,340.34,345.08,339.02,342.25,744573,16481,342.546241,343.38,True,False,37820.0
32,2021-08-16,341.92,344.0,337.2,343.5,836263,18411,341.365274,337.43,False,True,39839.0
33,2021-08-17,341.05,350.07,340.76,349.79,1138558,25644,346.78008,346.15,True,True,21573.0
34,2021-08-18,349.38,351.86,341.31,341.87,668075,18814,345.735327,346.83,False,False,17224.0
35,2021-08-19,342.14,347.79,337.68,338.62,953873,21925,341.161864,344.005,False,False,22929.0
36,2021-08-20,337.5,345.74,337.08,341.74,793152,16663,342.608933,344.0,False,False,24898.0
37,2021-08-23,342.21,349.6299,341.16,346.43,808395,17485,346.275698,346.58,False,False,26752.0
38,2021-08-24,347.31,350.45,345.89,349.4,628759,15659,348.743789,350.2,True,False,38447.0
39,2021-08-25,347.24,347.69,341.5,342.75,791022,19710,343.591972,343.88,False,False,29153.0
40,2021-08-26,343.28,347.13,342.02,342.24,715418,16594,343.990681,342.52,False,False,31482.0
41,2021-08-27,343.05,347.7422,338.52,343.19,614072,17186,344.182058,345.88,True,False,21459.0
42,2021-08-30,341.62,345.775,340.75,344.42,559168,16418,343.949363,343.91,True,True,14025.0
43,2021-08-31,344.13,345.61,337.9013,338.91,981908,20405,339.912035,342.43,False,False,21121.0
