,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,50.69,51.375,50.55,51.23,5497801,36444,51.117309,50.98,True,True,81101.0
1,2021-07-01,51.57,51.74,51.16,51.43,2849208,28235,51.402556,51.36,False,True,150175.0
2,2021-07-02,51.4,51.53,50.99,51.24,3060568,28756,51.212568,51.18,True,True,113883.0
3,2021-07-06,50.97,51.1,49.205,49.49,6175654,48156,49.544302,49.75,True,False,203934.0
4,2021-07-07,49.11,49.69,48.91,49.48,3003305,26687,49.381049,49.02,False,True,93923.0
5,2021-07-08,48.79,48.97,48.03,48.34,4491580,36786,48.427687,48.42,True,False,144245.0
6,2021-07-09,49.25,50.09,49.09,49.93,3552690,31963,49.763132,49.58,False,True,129985.0
7,2021-07-12,49.51,50.54,49.25,50.28,2984136,30662,50.27001,50.29,True,False,59601.0
8,2021-07-13,50.27,50.48,49.645,49.96,2707928,25636,49.941424,49.855,False,True,127008.0
9,2021-07-14,50.0,50.39,48.99,49.28,4832179,39668,49.34771,49.51,False,False,169073.0
10,2021-07-15,48.34,49.67,47.57,48.68,6832614,61820,48.63898,48.795,True,False,212362.0
11,2021-07-16,48.91,49.585,48.51,49.38,8152033,60986,49.18054,48.66,False,True,330569.0
12,2021-07-19,48.24,48.56,47.32,47.58,7296957,66897,47.602687,47.765,True,False,395889.0
13,2021-07-20,47.51,49.955,47.33,49.44,6376566,65567,49.357467,49.335,False,True,212636.0
14,2021-07-21,49.78,50.4873,49.6,50.06,5126058,42588,50.130527,49.925,True,True,144830.0
15,2021-07-22,49.96,50.06,49.51,49.83,4759332,39012,49.840601,49.895,True,False,205092.0
16,2021-07-23,50.17,50.54,49.69,49.97,4397208,43991,50.037867,50.19,True,False,159342.0
17,2021-07-26,49.51,50.475,49.47,50.25,4552952,40318,50.199455,50.1358,False,True,160905.0
18,2021-07-27,49.51,50.84,49.43,50.19,6012835,40775,50.287306,50.53,True,False,185364.0
19,2021-07-28,50.34,50.875,49.909,50.35,6585438,44904,50.36888,50.14,True,True,211115.0
20,2021-07-29,50.87,51.76,50.58,51.3,4435321,41732,51.354194,51.15,True,True,156782.0
21,2021-07-30,51.11,51.68,50.96,51.33,4511199,40029,51.307109,51.26,False,True,110139.0
22,2021-08-02,51.69,52.56,51.21,51.28,5408821,50958,51.680664,51.97,True,False,125662.0
23,2021-08-03,51.5,52.305,50.81,52.0,4500781,42631,51.811965,51.49,True,True,156982.0
24,2021-08-04,51.31,52.065,51.22,51.49,4293489,44629,51.754636,51.975,True,False,177452.0
25,2021-08-05,51.76,52.245,51.59,51.8,4793204,44916,51.847282,51.98,True,False,142537.0
26,2021-08-06,52.45,53.52,52.35,53.16,5598833,49714,53.120777,52.91,True,True,134028.0
27,2021-08-09,52.95,53.72,52.73,53.38,4645167,46935,53.452434,53.33,True,True,172969.0
28,2021-08-10,53.23,54.04,53.16,53.83,4586024,45611,53.769777,53.76,True,True,205167.0
29,2021-08-11,54.05,54.86,53.79,54.77,5014708,49783,54.616191,54.515,True,True,159914.0
30,2021-08-12,54.79,55.02,54.43,54.89,3869041,37550,54.781171,54.605,True,True,114238.0
31,2021-08-13,54.82,54.99,53.77,53.87,6782713,63266,54.073631,54.1181,False,False,184678.0
32,2021-08-16,53.51,54.37,53.17,54.27,4321172,41469,54.022524,53.88,True,True,209182.0
33,2021-08-17,53.89,54.33,53.4,53.8,4445137,42295,53.898136,54.12,False,False,147172.0
34,2021-08-18,53.52,54.545,53.26,53.53,4565028,49380,54.06046,54.2,True,False,209314.0
35,2021-08-19,52.98,53.32,52.54,52.77,5362621,53329,52.85912,52.825,False,False,204673.0
36,2021-08-20,52.68,53.515,52.44,53.32,4247540,45771,53.212109,52.865,False,True,234228.0
37,2021-08-23,53.66,54.395,53.63,54.06,3580635,37141,54.117699,53.9,False,True,193227.0
38,2021-08-24,54.09,54.875,54.04,54.53,3502545,36181,54.580384,54.47,True,True,113260.0
