,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,2172.3,2220.0,2175.0,2188.09,413791,16998,2197.135074,2208.11,False,False,19911.0
1,2021-07-01,2201.84,2224.0,2194.67,2210.02,244910,12109,2210.720163,2207.64,True,True,5026.0
2,2021-07-02,2220.13,2246.59,2215.3,2238.89,242839,11296,2235.679053,2222.81,False,True,5786.0
3,2021-07-06,2237.49,2243.17,2217.96,2222.32,301521,15611,2230.33755,2243.17,True,False,7225.0
4,2021-07-07,2223.11,2227.45,2153.0306,2166.77,273882,14570,2173.274954,2156.1,False,True,24575.0
5,2021-07-08,2150.15,2184.5899,2126.28,2163.92,299330,14803,2159.243162,2137.01,False,True,9139.0
6,2021-07-09,2179.38,2205.34,2160.445,2194.99,295839,14293,2185.098232,2168.92,False,True,11861.0
7,2021-07-12,2183.15,2206.18,2166.5001,2204.0,302264,11560,2192.015588,2184.36,False,True,12195.0
8,2021-07-13,2204.0,2228.74,2185.81,2188.44,393266,12451,2206.39145,2221.45,True,False,11247.0
9,2021-07-14,2204.0,2218.1,2175.89,2176.62,209938,9914,2188.965734,2203.69,True,False,8920.0
10,2021-07-15,2172.95,2183.31,2145.5,2169.39,271166,11771,2164.865687,2154.13,False,True,10823.0
11,2021-07-16,2180.0,2186.48,2139.7,2144.72,187622,9183,2158.598856,2166.0,True,False,4191.0
12,2021-07-19,2101.49,2121.67,2058.68,2067.55,456562,21817,2084.385591,2091.275,True,False,15582.0
13,2021-07-20,2067.55,2141.45,2053.575,2130.43,312262,15544,2113.8874,2078.495,False,True,10236.0
14,2021-07-21,2144.05,2198.545,2143.69,2194.03,271684,12333,2182.223314,2169.98,False,True,5567.0
15,2021-07-22,2191.54,2204.625,2170.0,2194.41,248532,9470,2191.222493,2195.15,True,False,4537.0
16,2021-07-23,2190.0,2214.18,2182.46,2202.57,215266,10477,2202.715925,2196.27,True,True,5517.0
17,2021-07-26,2203.35,2236.09,2199.445,2230.7,251163,11245,2222.022686,2215.36,False,True,4414.0
18,2021-07-27,2220.82,2249.7,2203.12,2246.19,311189,13753,2231.08686,2219.4804,False,True,7029.0
19,2021-07-28,2250.0,2264.64,2213.23,2226.33,301901,14247,2228.958039,2222.34,False,True,7882.0
20,2021-07-29,2235.21,2247.34,2212.49,2214.34,283566,11534,2226.940467,2232.42,True,False,11468.0
21,2021-07-30,2195.0,2205.1917,2170.025,2178.26,274667,12907,2181.387275,2174.54,False,True,5203.0
22,2021-08-02,2192.6,2235.97,2160.185,2170.94,250663,14300,2187.676409,2189.27,False,False,10499.0
