,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,22.86,23.1386,22.65,22.87,5787687,32165,22.854868,22.955,False,False,248255.0
1,2021-07-01,23.475,23.76,23.3,23.54,7089859,50541,23.522974,23.52,False,True,184018.0
2,2021-07-02,23.28,23.63,22.98,23.55,8041760,47843,23.326934,23.125,False,True,267033.0
3,2021-07-06,23.45,23.53,22.31,22.41,11484862,74061,22.638084,22.855,False,False,844458.0
4,2021-07-07,22.24,22.72,21.89,22.26,6664892,51658,22.257317,21.995,True,True,286455.0
5,2021-07-08,21.77,22.32,21.72,21.97,6789486,48964,21.981249,22.075,False,False,199974.0
6,2021-07-09,22.41,22.835,22.145,22.73,5634068,37739,22.655048,22.67,True,True,248594.0
7,2021-07-12,22.5,23.135,22.2,23.02,6277589,42136,22.932249,22.89,True,True,180537.0
8,2021-07-13,22.78,22.9,22.32,22.37,6402320,45410,22.476894,22.36,False,True,254152.0
9,2021-07-14,22.54,22.82,21.52,21.67,5877778,43417,21.858665,22.185,False,False,215634.0
10,2021-07-15,21.41,21.84,21.14,21.22,5706201,42522,21.389226,21.495,False,False,164322.0
11,2021-07-16,21.42,21.47,20.43,20.6,5692428,39203,20.668788,20.55,False,True,220413.0
12,2021-07-19,19.915,20.14,19.37,19.65,9102136,60979,19.59876,19.72,True,False,301883.0
13,2021-07-20,19.5,20.23,19.3,20.04,9261986,67972,19.986253,19.95,False,True,352665.0
14,2021-07-21,20.58,20.715,19.23,20.23,14724218,96982,20.008317,19.36,False,True,673758.0
15,2021-07-22,20.24,20.31,19.59,19.88,9027475,49813,19.835357,19.845,True,True,318151.0
16,2021-07-23,20.0,20.44,19.8,20.21,12312075,80292,20.163889,20.075,True,True,529191.0
17,2021-07-26,20.3,20.995,20.21,20.89,10028212,63585,20.80269,20.55,False,True,377260.0
18,2021-07-27,20.6,20.86,20.41,20.67,8090350,47713,20.675227,20.72,False,False,534863.0
19,2021-07-28,20.83,21.205,20.43,21.0,8966944,54146,20.907461,20.49,False,True,172079.0
20,2021-07-29,21.29,21.55,21.06,21.18,5331572,47586,21.239323,21.28,False,False,169121.0
21,2021-07-30,21.11,21.735,21.02,21.24,11222741,67672,21.307276,21.42,False,False,281878.0
22,2021-08-02,21.2,21.91,20.735,20.86,8007477,61324,21.073969,21.3,False,False,323498.0
23,2021-08-03,20.84,21.32,20.395,21.31,4979715,37581,21.018702,20.75,True,True,165325.0
24,2021-08-04,20.84,21.175,20.605,20.63,6505315,41272,20.751551,21.015,False,False,134951.0
25,2021-08-05,20.86,20.99,20.41,20.86,4564574,30794,20.822388,20.755,True,True,127477.0
26,2021-08-06,21.15,21.325,20.835,21.19,6392647,35907,21.166466,21.045,True,True,346478.0
27,2021-08-09,20.64,21.255,20.42,21.09,8406217,47991,21.000037,20.64,True,True,351165.0
28,2021-08-10,21.27,21.62,21.1,21.36,5113074,34274,21.40612,21.36,True,False,278636.0
29,2021-08-11,21.39,21.645,20.96,21.51,3792290,26142,21.397371,21.22,False,True,95867.0
30,2021-08-12,21.49,21.695,20.995,21.35,3606609,31003,21.276554,21.155,False,True,99937.0
31,2021-08-13,21.39,21.91,21.21,21.66,6763726,43647,21.63442,21.4,True,True,89879.0
32,2021-08-16,21.36,21.43,20.99,21.28,5811685,39820,21.218322,21.205,True,True,174004.0
33,2021-08-17,21.45,21.83,21.085,21.39,6543265,45282,21.418351,21.705,False,False,283544.0
34,2021-08-18,21.42,21.905,21.13,21.18,5448205,38664,21.478597,21.745,True,False,244876.0
35,2021-08-19,20.85,20.87,19.84,20.19,8600773,57470,20.237391,20.26,False,False,337940.0
36,2021-08-20,19.94,20.63,19.85,20.43,9531484,52810,20.377807,20.24,True,True,146264.0
37,2021-08-23,20.98,21.65,20.94,21.52,7150062,44742,21.441447,21.33,True,True,224362.0
38,2021-08-24,21.75,22.31,21.68,22.19,6737191,43413,22.120814,21.985,False,True,168985.0
39,2021-08-25,22.16,22.53,21.995,22.36,5002211,35262,22.314681,22.24,True,True,135478.0
40,2021-08-26,22.19,22.485,22.11,22.3,7982357,39879,22.306362,22.27,False,True,84370.0
