,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,82.0,82.0144,80.71,81.02,1363793,17190,81.086494,81.54,True,False,32637.0
1,2021-07-01,81.35,82.645,81.32,82.39,2022719,20658,82.263726,81.8,True,True,31046.0
2,2021-07-02,82.275,82.67,81.54,81.83,1053694,15703,81.825721,81.93,True,False,23302.0
3,2021-07-06,82.1,82.5,81.58,82.07,1220566,15314,81.957361,81.71,False,True,43413.0
4,2021-07-07,82.18,82.98,81.97,82.82,1453916,19890,82.635335,82.29,False,True,36403.0
5,2021-07-08,82.25,85.94,82.16,85.29,4445994,45182,84.97678,84.355,True,True,174754.0
6,2021-07-09,85.32,85.525,84.08,84.79,2154306,26213,84.662027,84.37,False,True,64036.0
7,2021-07-12,84.09,84.849,83.43,84.76,2144451,22093,84.496406,84.22,False,True,49297.0
8,2021-07-13,84.66,85.27,83.8799,84.31,1608012,21359,84.498227,84.44,True,False,39956.0
9,2021-07-14,84.09,85.09,83.55,84.59,1858708,20290,84.562179,84.23,True,True,46601.0
10,2021-07-15,84.47,85.05,84.0,84.94,1982423,24311,84.620115,84.36,False,True,49707.0
11,2021-07-16,85.225,86.675,84.88,85.75,5571305,32379,85.801024,86.2,True,False,247831.0
12,2021-07-19,85.02,85.25,82.91,83.75,2064397,30090,83.806511,84.15,False,False,82123.0
13,2021-07-20,84.57,85.54,83.95,84.42,1857479,25026,84.662906,85.26,False,False,35142.0
14,2021-07-21,84.57,84.775,82.66,82.7,1608662,20329,83.224257,84.02,True,False,49108.0
15,2021-07-22,83.1,83.33,81.49,81.73,1596997,20266,81.936452,81.9626,False,False,43841.0
16,2021-07-23,81.09,81.43,78.43,80.0,3872010,37954,79.704071,78.55,False,True,144578.0
17,2021-07-26,80.16,81.55,79.39,81.17,1324111,14400,80.946886,80.8,False,True,29128.0
18,2021-07-27,81.11,81.71,80.755,81.12,1131274,13685,81.295942,81.5,True,False,23433.0
19,2021-07-28,81.03,81.47,80.82,81.17,1030178,12570,81.190124,81.12,False,True,26441.0
20,2021-07-29,81.4,82.28,80.855,81.01,1088672,14480,81.335636,81.88,False,False,29173.0
21,2021-07-30,81.29,81.69,80.67,80.88,1184162,12876,80.974914,81.4,True,False,28007.0
22,2021-08-02,81.13,81.665,80.76,81.39,1345861,18310,81.35402,81.35,False,True,18529.0
23,2021-08-03,81.345,81.42,80.0,80.44,1168541,15470,80.407511,80.635,True,False,30245.0
24,2021-08-04,80.17,80.5,78.63,79.03,1718550,21220,79.146104,79.3,False,False,27156.0
25,2021-08-05,80.03,80.96,77.9505,80.78,2709931,31451,79.950445,78.44,False,True,50872.0
26,2021-08-06,81.49,86.32,81.32,85.24,3958266,37938,84.951949,84.23,True,True,162864.0
27,2021-08-09,85.39,87.88,85.21,87.35,3393781,38860,87.328303,86.7907,False,True,92770.0
28,2021-08-10,87.33,89.63,87.23,88.83,2014071,23371,88.94664,88.64,False,True,55605.0
29,2021-08-11,89.23,90.499,88.56,89.54,2880477,27602,89.616831,90.215,True,False,87768.0
30,2021-08-12,89.29,89.91,88.7,89.45,2053466,19755,89.272561,89.48,False,False,70815.0
31,2021-08-13,89.52,89.63,88.48,88.68,1542077,18980,88.887044,89.2,True,False,54248.0
32,2021-08-16,88.58,89.42,87.721,89.07,1523521,18502,89.007063,89.155,True,False,36087.0
33,2021-08-17,89.22,90.12,88.72,89.39,1558560,20912,89.455424,89.375,False,True,41089.0
34,2021-08-18,89.65,90.95,89.39,90.71,2509727,21817,90.431021,90.325,False,True,53953.0
35,2021-08-19,90.67,92.85,90.44,92.5,2531552,29918,92.25533,92.0,False,True,117354.0
36,2021-08-20,93.0,94.8871,92.64,94.63,2555173,29760,94.422577,94.53,True,True,80393.0
37,2021-08-23,94.46,94.95,93.72,94.85,1755152,21656,94.494612,94.2,False,True,39826.0
38,2021-08-24,94.85,95.25,94.09,94.51,2147568,22249,94.450075,94.5493,True,False,92740.0
39,2021-08-25,94.09,95.0,93.89,94.66,1815901,20065,94.571392,94.69,True,False,34419.0
40,2021-08-26,94.56,94.695,93.96,94.31,1148405,16128,94.290993,94.35,True,False,83445.0
41,2021-08-27,94.7,94.8962,94.16,94.37,1147475,15658,94.459678,94.51,False,False,26156.0
42,2021-08-30,94.64,96.18,94.59,95.69,1313610,19296,95.654019,96.1,True,False,55846.0
43,2021-08-31,95.2,96.23,95.09,95.96,2279679,19148,95.876647,95.455,False,True,29709.0
44,2021-09-01,95.2,96.84,94.44,96.66,1349543,17590,96.266816,96.04,True,True,53981.0
45,2021-09-02,97.0,97.85,96.665,97.79,2004005,20590,97.394162,97.03,True,True,69845.0
46,2021-09-03,97.58,98.09,97.28,97.38,1420322,16564,97.478583,97.56,True,False,42523.0
47,2021-09-07,97.02,97.45,96.22,96.93,1847927,22959,96.800002,96.485,False,True,105950.0
48,2021-09-08,96.65,97.23,96.52,96.68,2502184,25823,96.833785,96.715,False,False,71257.0
49,2021-09-09,95.74,96.36,94.86,95.46,2676593,29036,95.515291,95.2,True,True,79013.0
50,2021-09-10,95.57,95.71,94.61,94.83,2298161,26454,95.056375,94.66,False,True,98445.0
51,2021-09-13,94.9,95.44,93.865,94.06,2351818,21895,94.207707,94.67,True,False,28351.0
52,2021-09-14,94.05,94.3,92.26,92.65,2532188,25335,92.69692,92.68,False,False,99562.0
53,2021-09-15,92.7,94.07,92.45,93.21,1992615,23974,93.287728,93.21,True,False,39409.0
54,2021-09-16,93.09,93.2204,92.39,92.75,1504131,18556,92.780092,92.82,False,False,38349.0
55,2021-09-17,92.79,92.81,91.38,92.36,3007142,28688,92.247744,91.52,False,True,93162.0
56,2021-09-20,92.04,92.83,91.87,92.75,2021001,24837,92.405815,92.37,False,True,30683.0
57,2021-09-21,92.49,93.21,92.25,92.53,1701178,20083,92.59734,92.64,False,False,50261.0
58,2021-09-22,92.69,93.34,91.54,92.95,1674334,21843,92.855503,92.53,True,True,46913.0
59,2021-09-23,93.06,93.71,93.0,93.25,1347262,18665,93.30696,93.295,False,False,24038.0
60,2021-09-24,92.95,93.02,92.08,92.3,1613205,21785,92.432948,92.2,False,True,59962.0
61,2021-09-27,92.13,92.19,90.63,90.82,2060683,23486,91.167233,91.39,False,False,82431.0
62,2021-09-28,90.82,90.71,89.41,89.71,2373584,26421,89.790912,89.69,False,True,62277.0
63,2021-09-29,89.69,89.99,89.28,89.74,1530029,19489,89.741719,89.53,False,True,35303.0
64,2021-09-30,89.9,90.82,89.8,89.97,2056148,22601,90.264942,90.41,False,False,33293.0
