,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,161.93,162.04,160.93,161.53,597826,7334,161.529641,161.73,True,False,7417.0
1,2021-07-01,161.42,163.19,161.38,162.93,303299,6613,162.707042,162.35,True,True,3576.0
2,2021-07-02,163.16,164.69,162.915,164.41,482628,10208,164.038018,163.69,True,True,9596.0
3,2021-07-06,164.23,164.9096,162.89,164.66,366841,8457,164.19248,163.33,False,True,5386.0
4,2021-07-07,164.95,168.37,164.61,168.18,544081,10703,167.546292,166.29,True,True,21812.0
5,2021-07-08,167.43,168.59,165.95,166.45,469205,11078,166.739281,166.86,False,False,10432.0
6,2021-07-09,166.93,168.96,166.54,168.7,761171,9204,168.472325,167.44,False,True,7849.0
7,2021-07-12,168.55,169.015,168.06,168.46,558924,9683,168.46207,168.97,True,False,6265.0
8,2021-07-13,168.6,169.98,167.99,168.26,674069,10799,168.672389,169.56,True,False,10298.0
9,2021-07-14,168.98,170.23,168.12,170.05,439914,8461,169.571341,168.8,False,True,11880.0
10,2021-07-15,169.43,171.15,169.45,170.66,318694,7456,170.634634,170.41,False,True,7041.0
11,2021-07-16,170.76,171.265,169.3,169.87,505608,10670,170.004201,170.0,True,False,7361.0
12,2021-07-19,168.505,169.155,165.26,166.62,701602,14310,166.586503,166.76,False,False,37032.0
13,2021-07-20,169.11,170.39,166.88,169.15,407512,10721,169.516997,169.69,True,False,6879.0
14,2021-07-21,169.31,169.975,168.57,169.7,254770,7452,169.469756,169.32,False,True,4129.0
15,2021-07-22,169.75,170.73,169.53,170.54,301663,6225,170.388013,170.45,True,True,2608.0
16,2021-07-23,171.48,172.58,171.03,172.49,215202,6054,172.211264,171.89,False,True,3356.0
17,2021-07-26,171.63,172.54,170.886,172.37,209278,5522,172.187611,171.12,True,True,1979.0
18,2021-07-27,171.7,172.62,170.33,171.89,332525,7141,171.576244,172.03,False,False,13591.0
19,2021-07-28,171.92,172.02,170.05,170.84,374693,7585,170.849474,171.06,False,False,6352.0
20,2021-07-29,171.9,172.81,171.5692,172.47,500126,9972,172.241039,172.25,True,True,56707.0
21,2021-07-30,172.03,173.62,172.11,173.49,402981,7837,173.137932,172.26,True,True,6373.0
22,2021-08-02,175.0,175.21,173.215,173.39,285082,7016,173.775888,174.5921,False,False,7806.0
