,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,275.66,278.44,275.66,277.92,4476556,59016,277.68976,278.18,True,False,146040.0
1,2021-07-01,278.2,280.3,277.55,280.17,3634844,61832,279.309593,278.75,True,True,97784.0
2,2021-07-02,281.11,281.41,278.57,279.12,3676146,53500,279.244791,279.39,True,False,118180.0
3,2021-07-06,277.55,278.28,275.095,277.32,4394383,66774,276.784125,275.85,True,True,166583.0
4,2021-07-07,276.1,279.69,275.8,279.24,4404090,61136,278.678002,277.62,False,True,134375.0
5,2021-07-08,276.61,277.74,273.16,274.1,5358843,87029,274.988976,276.19,False,False,124341.0
6,2021-07-09,276.03,280.88,275.74,280.49,4883172,66923,279.696398,279.22,False,True,139042.0
7,2021-07-12,279.47,282.2241,278.2735,280.11,4278841,60784,280.438415,281.755,True,False,125229.0
8,2021-07-13,280.06,280.41,278.36,279.21,3123241,55596,279.205049,278.725,True,True,82775.0
9,2021-07-14,279.02,280.7599,277.77,278.31,4090285,58473,278.604552,279.1,True,False,79209.0
10,2021-07-15,277.14,280.64,277.09,279.72,3263150,53452,279.260309,279.93,True,False,139921.0
11,2021-07-16,280.87,280.93,277.22,277.9,3422820,57289,278.495938,278.65,False,False,92012.0
12,2021-07-19,274.5,275.5,270.73,272.66,5168500,99718,272.380143,272.93,True,False,121735.0
13,2021-07-20,272.21,277.805,272.0,276.89,4708393,66968,276.498418,276.3,False,True,140688.0
14,2021-07-21,277.76,280.9199,277.63,279.88,3415925,50685,279.826395,280.05,True,False,91249.0
15,2021-07-22,278.81,279.27,277.42,277.7,2562281,47986,277.936166,278.38,True,False,77924.0
16,2021-07-23,277.92,279.92,277.74,278.49,3209072,46795,278.495325,278.73,True,False,74463.0
17,2021-07-26,278.4,280.25,277.78,278.8,2420720,42266,278.906051,278.29,False,True,62677.0
18,2021-07-27,278.09,281.09,276.91,280.78,3387509,55329,280.038161,279.98,True,True,154329.0
19,2021-07-28,280.81,280.98,277.6,278.1,3778253,56026,278.355919,278.29,True,False,130289.0
20,2021-07-29,279.56,281.24,279.08,279.76,3529660,53900,280.231834,280.07,True,False,63887.0
21,2021-07-30,280.2,281.08,277.6,278.29,3593750,55954,278.807306,279.2601,False,False,90085.0
22,2021-08-02,279.68,281.98,277.73,278.14,3086028,62719,278.973828,279.88,False,False,83115.0
23,2021-08-03,279.37,282.51,276.77,281.8,3595298,59192,280.675174,279.54,True,True,100304.0
24,2021-08-04,279.81,280.92,278.64,278.78,3017479,50892,279.469101,280.42,False,False,76932.0
25,2021-08-05,280.01,282.0,278.33,280.21,3582014,55476,279.599088,279.43,True,True,61860.0
26,2021-08-06,282.0,285.83,281.5,285.63,4833286,76046,284.498885,283.6301,True,True,102048.0
27,2021-08-09,287.66,288.73,286.061,287.23,3672601,68900,287.378772,287.69,True,False,125647.0
28,2021-08-10,287.06,289.06,286.0,288.94,3131159,55449,288.29954,288.01,True,True,116826.0
29,2021-08-11,289.45,291.82,288.83,291.28,3465733,59565,290.509317,290.67,True,True,76001.0
30,2021-08-12,291.47,291.81,288.93,290.24,3169829,55855,289.988448,289.675,True,True,102423.0
31,2021-08-13,290.61,291.05,287.12,287.89,3111065,54019,288.106716,287.97,False,False,144359.0
32,2021-08-16,286.88,289.49,285.21,289.45,3556405,60348,288.540237,288.62,True,True,104683.0
33,2021-08-17,288.82,290.77,287.6,289.1,3610339,63820,289.058031,289.2626,False,False,96138.0
34,2021-08-18,288.45,290.07,285.95,286.36,3860892,70640,288.148905,289.215,False,False,76649.0
35,2021-08-19,285.0,287.155,283.98,285.13,3375444,68688,285.274185,284.81,False,True,117169.0
36,2021-08-20,284.59,285.92,283.95,285.27,3015142,52626,285.187942,284.51,False,True,104091.0
37,2021-08-23,287.06,287.38,285.39,285.62,2944479,50374,286.131561,286.25,True,False,140172.0
38,2021-08-24,285.5,286.58,284.18,286.02,3186775,53863,285.642646,284.685,False,True,114382.0
39,2021-08-25,286.2,288.56,285.22,287.3,2972017,51481,287.115698,286.45,True,True,97917.0
40,2021-08-26,288.01,288.17,284.985,285.27,3330109,60220,285.952174,286.44,False,False,109019.0
41,2021-08-27,285.6,286.71,285.121,286.6,3468521,60562,286.007771,285.4182,False,True,101028.0
42,2021-08-30,285.9,287.04,285.02,285.66,3502358,57550,285.980609,286.32,True,False,81993.0
43,2021-08-31,285.28,286.33,284.76,285.77,6489809,64879,285.733307,285.79,True,False,109156.0
44,2021-09-01,286.67,287.14,284.85,285.26,3316510,63441,285.530969,285.21,True,True,116664.0
45,2021-09-02,285.7,286.44,284.21,285.05,4225723,58894,285.30909,286.02,True,False,134950.0
46,2021-09-03,284.59,284.82,281.71,281.89,4496504,70073,282.460216,282.755,False,False,143669.0
47,2021-09-07,281.75,281.91,278.73,278.9,4864788,83234,279.58043,279.1595,False,False,170975.0
48,2021-09-08,277.95,279.95,277.59,279.34,4614879,82766,278.950834,278.13,False,True,248818.0
49,2021-09-09,278.7,280.11,278.37,278.61,3681121,73298,279.032202,278.99,False,False,130974.0
50,2021-09-10,279.97,279.97,277.49,277.6,4557870,77794,278.213272,278.06,False,False,136404.0
51,2021-09-13,278.15,280.84,277.82,279.92,4597073,72362,279.553271,280.225,True,False,126725.0
52,2021-09-14,280.5,280.78,276.36,277.2,5270636,75448,277.318326,277.0918,False,True,128832.0
53,2021-09-15,277.6,279.06,276.67,278.18,3876184,69290,278.068749,276.8101,False,True,135254.0
54,2021-09-16,279.0,279.21,276.21,277.51,4208992,66854,277.586819,276.745,True,True,114994.0
55,2021-09-17,281.0,281.0,275.42,276.76,15860513,87396,277.144146,276.16,False,True,140132.0
56,2021-09-20,272.93,274.91,271.36,274.2,7607780,121196,273.088084,273.345,False,True,187439.0
57,2021-09-21,275.94,276.22,272.59,273.18,4646910,74055,273.815703,273.525,False,False,90524.0
58,2021-09-22,276.1,276.61,273.67,274.07,4988740,70469,275.158724,275.77,False,False,83433.0
