,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,113.76,115.155,113.56,114.59,926014,12839,114.562184,114.97,True,False,14338.0
1,2021-07-01,114.6,116.29,114.19,114.94,800856,13438,115.396675,115.065,True,False,15523.0
2,2021-07-02,115.84,116.3,114.56,116.07,848646,11841,115.691346,114.69,False,True,17100.0
3,2021-07-06,115.39,116.51,114.18,116.28,1376959,18831,115.682721,115.595,True,True,30056.0
4,2021-07-07,114.5,115.33,113.75,114.38,1532976,19627,114.607802,114.98,True,False,48303.0
5,2021-07-08,113.12,114.58,112.375,113.45,1007075,13485,113.46436,113.47,True,False,25727.0
6,2021-07-09,114.605,117.24,114.28,117.17,923943,12532,116.068943,115.39,False,True,16973.0
7,2021-07-12,116.78,119.0,116.5,118.71,827870,10633,118.532982,118.55,True,True,12547.0
8,2021-07-13,118.41,118.97,116.04,116.32,458584,9125,116.845066,117.83,True,False,10409.0
9,2021-07-14,116.44,117.32,115.86,116.8,646825,6813,116.785477,116.53,True,True,10291.0
10,2021-07-15,116.82,117.035,115.895,116.61,411786,8618,116.46023,115.92,False,True,11883.0
11,2021-07-16,117.03,117.3,115.81,116.14,545085,8668,116.345908,116.73,False,False,9501.0
12,2021-07-19,114.36,114.23,109.5,110.71,1550532,20473,110.795878,112.115,True,False,31021.0
13,2021-07-20,111.15,116.3,110.99,116.04,1059074,14321,115.304479,113.71,False,True,21185.0
14,2021-07-21,116.73,119.23,116.33,117.04,624044,9560,117.454116,117.84,True,False,11878.0
15,2021-07-22,116.36,116.5,113.71,114.5,912401,10273,114.528523,114.86,True,False,17592.0
16,2021-07-23,115.33,115.83,113.76,114.9,794572,12359,114.680291,114.36,True,True,23917.0
17,2021-07-26,114.7,116.17,114.31,115.38,719594,10113,115.144004,115.0266,False,True,9722.0
18,2021-07-27,114.61,116.7499,114.3,116.24,724916,11151,115.957044,115.36,False,True,16579.0
19,2021-07-28,117.43,119.36,113.53,118.0,1289066,18726,117.943292,117.63,True,True,109465.0
20,2021-07-29,118.92,119.9,118.33,118.41,617174,11147,119.006869,119.47,False,False,16200.0
21,2021-07-30,119.3,120.245,117.26,117.38,924262,11648,117.826063,119.04,False,False,19140.0
22,2021-08-02,119.31,120.23,116.23,116.34,513607,10904,117.242756,118.0,False,False,12931.0
23,2021-08-03,116.91,117.1,114.1,116.07,597293,10408,115.444214,114.62,True,True,12976.0
24,2021-08-04,115.5,116.7,114.61,114.69,516003,9336,115.020951,115.93,True,False,10663.0
25,2021-08-05,116.31,116.98,115.54,116.87,538980,9272,116.377657,116.5,True,True,21612.0
26,2021-08-06,118.04,118.71,117.34,117.9,564466,8670,117.925095,117.34,False,True,12781.0
27,2021-08-09,117.1,117.83,116.19,117.22,362234,7328,117.266039,117.1,True,True,15573.0
28,2021-08-10,117.23,117.53,116.12,116.27,520512,9217,116.692516,117.31,True,False,18010.0
29,2021-08-11,116.7,118.16,115.981,118.1,819543,12086,117.536895,117.15,False,True,32747.0
30,2021-08-12,117.88,118.46,116.6902,117.64,509693,7786,117.363149,117.23,True,True,13722.0
