,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,35.95,36.67,35.91,36.38,6060024,35371,36.372467,36.47,True,False,173059.0
1,2021-07-01,36.3,36.4858,35.82,36.0,4568228,31538,36.004082,36.035,True,False,98007.0
2,2021-07-02,36.06,36.125,35.8,35.86,2279829,17654,35.879512,35.965,True,False,36880.0
3,2021-07-06,35.85,35.945,35.625,35.89,2627151,22177,35.835926,35.7,True,True,84756.0
4,2021-07-07,35.85,36.43,35.8,36.17,2285479,22073,36.190858,36.28,True,False,80803.0
5,2021-07-08,36.07,36.375,35.87,36.09,2205447,19501,36.116717,36.11,False,False,74915.0
6,2021-07-09,36.22,36.38,35.925,36.12,2526106,21025,36.107298,36.02,False,True,70360.0
7,2021-07-12,35.96,36.005,35.68,35.93,3745729,28169,35.869871,35.84,False,True,106615.0
8,2021-07-13,34.64,35.27,33.88,33.98,11032748,72898,34.280963,34.21,False,False,606846.0
9,2021-07-14,33.37,34.165,33.3,33.89,6721244,50115,33.86956,34.045,True,False,305834.0
10,2021-07-15,33.87,34.78,33.79,34.68,5277375,37978,34.449815,34.115,False,True,162076.0
11,2021-07-16,34.88,35.085,34.7,34.86,3460084,27241,34.871456,34.735,False,True,107811.0
12,2021-07-19,34.75,35.57,34.75,35.4,5479650,41244,35.188259,35.205,False,True,155087.0
13,2021-07-20,35.43,35.736,35.0,35.01,3397522,29001,35.173067,35.48,True,False,80542.0
14,2021-07-21,34.99,35.095,34.48,34.52,2947277,23001,34.682903,34.95,True,False,56445.0
15,2021-07-22,34.37,34.48,33.95,34.13,3463331,23926,34.104581,34.06,True,True,106311.0
16,2021-07-23,34.2,34.4,34.06,34.25,4376298,29177,34.268667,34.18,True,True,101537.0
17,2021-07-26,34.195,34.44,34.18,34.25,3405519,23938,34.314078,34.31,False,False,81215.0
18,2021-07-27,34.31,34.51,34.07,34.22,2759840,22427,34.274691,34.45,True,False,109949.0
19,2021-07-28,34.14,34.3,33.68,33.76,3617258,27399,33.858301,34.085,False,False,55452.0
20,2021-07-29,33.91,34.005,33.59,33.64,2922691,23468,33.761871,33.76,False,False,68595.0
21,2021-07-30,33.71,34.035,33.49,33.49,6269056,28798,33.623184,33.825,True,False,133198.0
22,2021-08-02,33.19,33.445,33.08,33.38,4290349,36182,33.31308,33.248,True,True,135943.0
