,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,57.03,57.205,56.57,57.09,2117980,20365,56.970227,56.75,True,True,35136.0
1,2021-07-01,57.2,58.4,57.14,57.94,1625651,19896,57.881065,57.4,False,True,42476.0
2,2021-07-02,57.83,58.01,57.19,57.88,1434563,18994,57.653033,57.42,True,True,38787.0
3,2021-07-06,57.54,57.685,56.25,56.95,2096030,23325,56.830511,56.76,True,True,62127.0
4,2021-07-07,56.85,57.425,56.66,57.02,1857101,21324,57.03186,56.91,True,True,29467.0
5,2021-07-08,56.59,56.8707,55.94,56.62,2198337,18460,56.575875,56.32,True,True,38125.0
6,2021-07-09,57.17,57.49,56.94,57.18,1291629,17083,57.167169,57.31,False,False,30086.0
7,2021-07-12,56.97,57.7,56.74,57.44,1293805,17088,57.42804,57.435,True,True,25190.0
8,2021-07-13,57.32,57.69,56.86,57.1,1340680,22381,57.167817,57.2384,False,False,56421.0
9,2021-07-14,57.01,57.355,56.74,57.07,1182175,13684,57.033588,57.13,True,False,36148.0
10,2021-07-15,56.73,57.165,56.71,56.77,969478,11440,56.866804,56.96,True,False,24840.0
11,2021-07-16,56.7,57.29,56.435,56.82,1329369,14584,56.864162,56.61,True,True,31042.0
12,2021-07-19,56.4,56.75,55.5,56.02,1701665,21600,56.034071,56.3606,True,False,65296.0
13,2021-07-20,57.69,59.87,57.42,57.69,4498533,44137,58.338731,59.33,False,False,105009.0
14,2021-07-21,57.905,58.62,57.66,58.6,4150419,27888,58.104421,57.885,True,True,86683.0
15,2021-07-22,58.8,59.135,58.12,59.03,2033936,18988,58.870747,58.75,True,True,43469.0
16,2021-07-23,59.35,59.71,59.08,59.2,1462997,18582,59.326457,59.41,True,False,35485.0
17,2021-07-26,59.28,59.94,58.745,58.98,1555017,17861,58.981875,58.89,False,True,48558.0
18,2021-07-27,58.79,59.78,58.39,59.42,1498107,18512,59.379514,59.61,True,False,46721.0
19,2021-07-28,59.42,59.955,59.06,59.65,1606788,18263,59.645202,59.448,True,True,35631.0
20,2021-07-29,59.91,60.24,59.74,59.99,1183233,14277,60.017275,59.92,True,True,30478.0
21,2021-07-30,60.01,60.38,59.15,59.38,4606581,24480,59.468921,59.84,True,False,51183.0
22,2021-08-02,59.58,59.93,59.09,59.57,2131075,25197,59.619232,59.5,True,True,82936.0
23,2021-08-03,59.635,59.785,58.65,59.63,3225687,28686,59.55373,59.57,True,True,51383.0
24,2021-08-04,59.24,59.93,58.91,58.98,2572586,28999,59.286004,59.69,False,False,42697.0
25,2021-08-05,55.0,55.1999,50.515,50.57,9622872,87620,51.573522,51.605,False,False,547967.0
26,2021-08-06,50.57,51.62,50.18,50.99,4581230,45345,51.002724,50.825,True,True,156922.0
27,2021-08-09,51.05,52.21,50.385,50.7,3163382,35708,50.847482,50.75,False,False,111273.0
28,2021-08-10,50.55,51.06,49.37,51.01,4336622,43301,50.398397,49.53,True,True,173315.0
29,2021-08-11,51.18,52.04,50.88,51.69,3446416,33541,51.533456,51.22,True,True,84037.0
30,2021-08-12,51.59,52.09,50.99,52.08,1806697,19867,51.739036,51.26,True,True,82137.0
31,2021-08-13,52.13,52.29,51.6406,51.7,1834007,19996,51.860057,52.09,True,False,66340.0
32,2021-08-16,51.7,52.55,51.416,52.43,2392371,25905,52.273453,52.44,True,False,62315.0
33,2021-08-17,52.2,52.67,51.6989,52.61,1696760,20047,52.279549,52.25,True,True,47851.0
34,2021-08-18,52.4,52.55,51.52,51.53,1790003,21168,51.913211,52.16,False,False,36184.0
35,2021-08-19,51.2,52.04,50.99,51.32,2242817,25884,51.372017,51.52,False,False,62357.0
36,2021-08-20,51.0,51.875,50.85,51.39,2977425,28245,51.401031,51.441,True,False,214778.0
37,2021-08-23,51.65,52.39,51.49,52.18,2213340,19870,52.128024,51.92,True,True,49893.0
38,2021-08-24,52.2,52.21,51.49,51.77,2121788,22009,51.786658,51.55,False,True,88966.0
39,2021-08-25,51.7,52.045,51.0,51.77,1898947,20428,51.762615,51.55,True,True,54521.0
40,2021-08-26,51.69,51.74,50.915,51.3,2165069,20734,51.187704,51.03,False,True,62845.0
41,2021-08-27,51.44,52.08,51.3,51.74,1782524,18951,51.775918,51.81,False,False,44491.0
42,2021-08-30,51.77,51.96,51.495,51.51,1724455,19676,51.650146,51.7482,True,False,68976.0
43,2021-08-31,51.38,52.56,51.34,52.49,2916891,25093,52.341009,52.18,False,True,52976.0
44,2021-09-01,52.41,52.47,51.52,52.4,2797761,29738,52.105339,51.56,False,True,111074.0
45,2021-09-02,52.5,53.6863,52.4,53.57,2020643,21017,53.404703,53.15,False,True,50267.0
46,2021-09-03,53.57,53.86,53.37,53.64,1628110,16033,53.678621,53.83,True,False,38888.0
47,2021-09-07,53.6,53.96,53.14,53.72,2132140,22642,53.595877,53.34,True,True,74038.0
48,2021-09-08,53.77,53.88,53.21,53.49,1655140,21419,53.488098,53.44,False,True,37834.0
49,2021-09-09,53.28,53.73,53.13,53.29,1624828,19813,53.454515,53.5,False,False,59145.0
50,2021-09-10,53.43,53.5284,52.54,52.82,2328500,26564,52.933409,52.68,False,True,63013.0
51,2021-09-13,53.04,53.495,52.78,52.95,2451946,25283,53.094866,53.37,True,False,108886.0
52,2021-09-14,53.1,53.35,52.04,52.13,3158075,34293,52.341817,52.57,True,False,104070.0
53,2021-09-15,52.01,53.1,51.69,53.02,2589097,27354,52.800054,52.445,False,True,42358.0
54,2021-09-16,53.15,53.39,52.43,52.73,2698092,29441,52.788223,52.536,False,True,85106.0
55,2021-09-17,52.78,53.465,52.35,52.57,7116240,36072,52.678254,52.88,False,False,81985.0
56,2021-09-20,52.02,52.32,51.01,51.55,3496314,35002,51.564709,51.76,False,False,66168.0
57,2021-09-21,51.9,52.19,50.85,51.04,2932490,29739,51.19571,51.3216,False,False,80586.0
58,2021-09-22,51.41,51.73,50.99,51.01,2261764,23517,51.297604,51.45,False,False,54030.0
59,2021-09-23,51.15,51.95,51.05,51.36,1956959,21790,51.541615,51.5,False,False,48170.0
60,2021-09-24,51.34,51.82,51.16,51.19,2027938,21505,51.34948,51.42,False,False,67298.0
61,2021-09-27,51.32,51.89,51.21,51.5,3294406,28267,51.615623,51.67,False,False,99050.0
62,2021-09-28,51.6,51.84,50.96,51.17,5799207,44308,51.307999,51.51,False,False,197941.0
63,2021-09-29,51.41,51.785,51.11,51.59,6343785,41984,51.501173,51.58,True,True,434297.0
64,2021-09-30,51.54,51.62,49.44,49.46,6493990,51246,49.93425,50.32,False,False,294227.0
65,2021-10-01,49.76,50.18,48.84,50.01,6994528,53535,49.555434,49.03,False,True,1061374.0
66,2021-10-04,49.92,50.79,49.185,49.53,7142869,48641,49.673335,49.89,False,False,102154.0
67,2021-10-05,49.43,49.93,48.91,49.18,4238966,39014,49.35164,49.37,True,False,191921.0
68,2021-10-06,48.79,49.02,47.745,48.66,3962297,41266,48.358325,48.0588,False,True,190162.0
69,2021-10-07,48.9,49.76,48.847,49.0,2766351,30725,49.33096,49.575,False,False,74498.0
70,2021-10-08,49.01,49.32,48.68,48.71,2245643,21195,48.922358,48.98,True,False,60779.0
71,2021-10-11,48.61,49.25,48.6,48.72,2730397,24476,48.912977,49.05,False,False,259870.0
72,2021-10-12,48.7,48.84,47.99,48.06,2990454,27146,48.263012,48.37,True,False,45539.0
73,2021-10-13,47.92,48.15,47.2,47.74,3592622,31611,47.719966,47.395,True,True,102976.0
74,2021-10-14,48.42,48.685,48.0,48.63,3020740,30967,48.491801,48.405,False,True,53760.0
75,2021-10-15,49.13,49.26,48.53,48.54,1992005,18347,48.779802,49.145,True,False,44460.0
76,2021-10-18,48.22,48.28,47.33,47.63,2764377,25074,47.707387,47.885,True,False,74980.0
77,2021-10-19,47.9,48.76,47.86,48.63,3752288,28426,48.399732,48.305,True,True,239318.0
78,2021-10-20,48.76,49.555,48.72,49.26,5120932,31753,49.303521,49.3346,True,False,82441.0
79,2021-10-21,49.27,49.42,48.53,49.06,3625726,24508,48.940042,48.965,False,True,65708.0
80,2021-10-22,49.14,49.6,49.01,49.57,2158916,21434,49.347003,49.44,False,True,60226.0
81,2021-10-25,49.58,49.73,48.68,48.73,2387767,23086,49.022049,49.235,False,False,70581.0
82,2021-10-26,48.77,49.0,48.29,48.7,2394100,23210,48.732463,48.62,True,True,139753.0
83,2021-10-27,48.82,48.93,47.405,47.44,3405488,31678,47.72572,47.89,False,False,129400.0
84,2021-10-28,47.65,48.03,47.15,47.72,4760140,39576,47.608363,47.89,True,False,58076.0
85,2021-10-29,47.67,48.09,47.48,47.81,8369569,32733,47.748613,47.64,True,True,64061.0
86,2021-11-01,47.71,48.745,47.53,48.62,4048871,35475,48.396754,48.12,True,True,75664.0
87,2021-11-02,49.36,49.91,48.41,48.89,4505044,45691,49.059354,48.835,False,True,152261.0
88,2021-11-03,48.77,50.53,48.71,50.4,4164913,37218,50.059512,49.51,True,True,81573.0
89,2021-11-04,50.31,50.345,48.91,49.16,2798706,30621,49.267712,49.53,True,False,81645.0
90,2021-11-05,49.37,50.25,49.201,49.54,2706531,32862,49.54657,49.9,True,False,65024.0
91,2021-11-08,49.59,50.15,49.54,49.63,3651494,36775,49.783643,49.83,True,False,134698.0
92,2021-11-09,50.53,50.5494,48.71,49.32,3691194,36164,49.442108,48.85,False,True,402016.0
93,2021-11-10,49.42,50.4,49.23,50.3,3362919,32299,50.091566,49.8,True,True,134815.0
94,2021-11-11,50.02,50.32,49.51,49.88,3913388,28735,49.966195,50.015,False,False,155265.0
95,2021-11-12,50.36,51.48,50.21,51.44,3773844,37780,51.184029,51.07,True,True,223469.0
96,2021-11-15,51.42,51.48,50.35,50.46,2539067,24993,50.722441,51.29,False,False,184923.0
97,2021-11-16,50.53,50.82,50.02,50.04,2273172,19866,50.265137,50.67,True,False,81184.0
98,2021-11-17,50.06,50.24,49.715,49.73,1999647,20936,49.91215,49.97,False,False,151248.0
99,2021-11-18,49.61,49.77,49.0824,49.33,2252438,22844,49.332101,49.57,False,False,121341.0
100,2021-11-19,49.37,49.91,48.43,48.44,3981025,33351,48.809078,49.4673,True,False,209625.0
101,2021-11-22,48.42,48.94,47.76,48.29,3304273,32135,48.393341,47.89,False,True,231372.0
102,2021-11-23,48.33,49.33,48.165,49.14,3638301,28344,48.861844,48.495,True,True,172270.0
