,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,214.72,217.95,214.055,217.63,3246688,51747,216.304018,215.83,True,True,127405.0
1,2021-07-01,219.5,219.79,216.15,216.71,2420862,45941,216.955949,217.1907,True,False,97391.0
2,2021-07-02,217.8,218.37,215.58,217.76,2430123,43631,217.527363,217.35,True,True,122321.0
3,2021-07-06,217.7,217.56,211.3405,213.52,4345005,68769,213.380765,212.7647,False,True,226813.0
4,2021-07-07,212.91,215.06,211.16,214.69,2703806,50036,213.709067,211.61,True,True,118220.0
5,2021-07-08,210.09,213.9,209.93,212.11,3718273,61457,211.607886,212.3479,True,False,145253.0
6,2021-07-09,215.7,218.5925,214.4,217.42,3155607,56221,217.350794,217.1778,False,True,155718.0
7,2021-07-12,216.2,218.95,214.85,218.58,2507011,47708,217.915366,217.61,False,True,98170.0
8,2021-07-13,218.81,219.05,214.7,215.19,2365660,48573,215.751814,215.72,False,False,95001.0
9,2021-07-14,215.26,215.6372,211.22,211.64,3177007,64788,212.490014,212.745,False,False,116352.0
10,2021-07-15,210.12,213.39,210.12,211.41,2729288,50247,211.364722,212.58,True,False,88428.0
11,2021-07-16,212.5,212.6971,207.01,207.95,4359467,68489,208.926044,209.39,True,False,146978.0
12,2021-07-19,201.37,203.75,199.23,203.08,5366101,91184,201.834956,201.14,True,True,196925.0
13,2021-07-20,203.53,208.63,202.305,207.96,3920099,67674,206.958849,206.755,True,True,119672.0
14,2021-07-21,208.72,210.96,207.575,210.73,3395133,58492,210.039147,209.49,True,True,175639.0
15,2021-07-22,211.0,211.38,208.54,209.16,1929275,39261,209.474472,209.42,True,False,69115.0
16,2021-07-23,209.41,210.37,207.86,209.53,2299141,36343,209.199962,209.27,False,True,43819.0
17,2021-07-26,209.6,212.07,209.5,211.03,2155284,43095,211.010133,209.84,False,True,114789.0
18,2021-07-27,207.78,211.06,207.0002,209.9,2470872,41880,209.340363,210.21,True,False,72027.0
19,2021-07-28,210.5,212.69,208.1,211.44,3248397,51365,211.065487,208.44,True,True,99859.0
20,2021-07-29,214.1,214.51,209.69,212.56,3412255,57802,212.70578,211.89,True,True,98550.0
21,2021-07-30,207.95,208.67,203.15,206.75,5828063,95352,205.818459,204.185,False,True,304767.0
22,2021-08-02,207.96,210.9028,204.95,205.16,3963070,69356,207.653223,209.99,True,False,106678.0
23,2021-08-03,205.44,209.29,203.43,208.5,3570642,63189,207.4608,206.75,True,True,194767.0
24,2021-08-04,208.06,209.59,204.37,204.52,2942921,56017,206.153694,208.45,False,False,80160.0
25,2021-08-05,205.27,207.655,204.7001,207.19,2685414,46066,206.64971,205.47,True,True,106521.0
26,2021-08-06,208.65,210.39,207.65,208.35,2673878,46093,208.806838,208.68,False,False,66197.0
27,2021-08-09,207.53,209.88,206.12,208.89,2744721,43906,208.584336,207.8,True,True,62577.0
28,2021-08-10,210.08,214.9,208.96,214.07,4190371,68463,213.075115,212.21,True,True,204940.0
29,2021-08-11,215.34,222.57,214.57,221.66,7790492,115830,219.611398,217.3977,True,True,241337.0
30,2021-08-12,222.56,223.76,218.47,220.24,4445336,69941,220.445996,219.475,False,True,144537.0
