,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,119.03,120.3,118.88,119.05,525616,8838,119.24858,119.3,True,False,10783.0
1,2021-07-01,119.06,120.56,118.37,118.5,358261,9023,118.978934,119.17,False,False,5154.0
2,2021-07-02,120.2,120.9,117.24,118.0,494191,9087,118.130391,117.89,False,True,12615.0
3,2021-07-06,117.69,118.7,114.54,117.38,734189,13584,116.259034,115.1578,True,True,18405.0
4,2021-07-07,117.19,118.035,115.93,117.22,471981,10965,116.884554,116.91,False,True,14581.0
5,2021-07-08,115.66,116.98,115.28,116.24,547177,10265,116.155942,115.93,True,True,16741.0
6,2021-07-09,116.42,118.86,116.29,118.79,449628,8790,117.861992,117.54,True,True,50491.0
7,2021-07-12,118.95,119.32,116.9,118.24,298045,7895,118.040011,117.56,False,True,10892.0
8,2021-07-13,117.88,118.15,116.27,116.36,337137,8767,116.840471,117.62,False,False,4299.0
9,2021-07-14,116.03,117.05,115.89,116.21,325647,8156,116.414538,117.0,True,False,11492.0
10,2021-07-15,116.0,117.14,115.4,117.14,494168,9255,116.485633,115.76,True,True,9958.0
11,2021-07-16,117.3,117.765,115.535,116.63,484340,11218,116.456422,117.25,True,False,17208.0
12,2021-07-19,115.68,116.42,114.28,115.56,464012,12167,115.230491,115.69,True,False,16542.0
13,2021-07-20,115.07,116.94,114.45,115.56,555172,13039,116.041253,116.52,True,False,25632.0
14,2021-07-21,116.07,118.46,115.47,118.3,485956,10255,117.755807,116.905,True,True,12660.0
15,2021-07-22,118.3,118.32,116.04,117.02,346761,8690,116.903807,117.23,True,False,16580.0
16,2021-07-23,117.83,120.5,117.7,120.2,780312,14202,119.656507,120.07,True,True,22960.0
17,2021-07-26,120.51,121.025,117.95,118.02,357581,7769,118.717739,118.65,True,False,15028.0
18,2021-07-27,117.92,118.47,115.58,115.58,503011,9762,116.547416,117.505,True,False,9603.0
19,2021-07-28,116.23,117.24,115.11,116.8,421914,9769,116.227714,115.94,False,True,17495.0
20,2021-07-29,116.82,117.41,115.56,115.95,455483,9390,116.574518,116.19,True,False,15331.0
21,2021-07-30,116.25,120.0,115.96,118.47,876769,14584,118.754763,118.635,True,False,53355.0
22,2021-08-02,119.1,121.115,118.38,120.68,391322,9746,120.32789,119.81,True,True,7235.0
23,2021-08-03,120.61,122.9,119.7,122.43,609455,11098,122.0393,121.02,False,True,13287.0
24,2021-08-04,122.255,124.88,122.4,123.41,675386,14599,123.919815,123.49,True,False,17943.0
25,2021-08-05,123.69,124.22,119.7401,121.0,492108,9109,121.176116,122.56,False,False,10786.0
26,2021-08-06,121.63,123.48,120.93,122.83,637362,8776,122.477301,121.65,False,True,12818.0
27,2021-08-09,121.17,124.0,121.02,121.04,617015,8505,121.64464,123.39,True,False,18107.0
28,2021-08-10,121.86,122.28,119.58,122.28,382096,8789,121.285742,121.55,False,True,13720.0
29,2021-08-11,122.26,124.96,121.93,124.96,538768,11417,124.358965,124.04,False,True,14737.0
30,2021-08-12,124.68,128.32,123.35,126.88,957003,15935,126.570538,124.2,True,True,33026.0
31,2021-08-13,127.31,127.58,125.26,127.0,411709,9860,126.645961,125.7,False,True,10529.0
32,2021-08-16,126.5,126.68,125.07,125.75,373020,9957,125.757412,125.94,True,False,11175.0
33,2021-08-17,125.53,127.43,122.57,124.11,565274,9475,124.345822,126.14,False,False,10680.0
34,2021-08-18,124.11,138.9994,122.06,122.63,6506901,69770,129.080742,123.515,False,False,4949.0
35,2021-08-19,121.07,128.735,121.07,127.62,1432304,23135,126.613552,125.42,False,True,35316.0
36,2021-08-20,127.24,130.04,126.73,129.76,898609,17106,129.090668,128.91,False,True,21673.0
37,2021-08-23,130.29,130.42,126.05,126.36,520288,10770,127.450168,128.4,True,False,9997.0
38,2021-08-24,125.56,126.8,124.305,125.6,450575,9057,125.40148,124.605,False,True,29530.0
39,2021-08-25,125.63,126.36,124.61,125.61,395106,7661,125.607348,125.3,False,True,21314.0
40,2021-08-26,124.9,125.88,124.63,125.1,303223,6599,125.222399,125.35,False,False,2045.0
41,2021-08-27,125.24,126.02,124.64,125.4,275074,7294,125.328874,125.385,False,True,5515.0
42,2021-08-30,125.045,125.75,123.6,124.02,300730,6576,124.390379,124.82,True,False,4425.0
43,2021-08-31,123.94,126.41,122.31,126.15,850601,14578,124.668879,123.12,False,True,33078.0
44,2021-09-01,126.03,127.68,125.03,127.29,559280,11964,126.686922,125.645,False,True,7600.0
45,2021-09-02,127.435,127.89,124.78,127.81,356957,7768,126.823553,125.29,False,True,5585.0
46,2021-09-03,127.265,128.34,125.94,126.25,479451,8140,126.603256,127.48,False,False,5151.0
47,2021-09-07,126.84,127.12,123.39,123.39,429559,8299,124.796731,126.06,True,False,4572.0
48,2021-09-08,123.42,125.99,122.6,124.97,402884,8405,124.645036,122.92,False,True,11385.0
49,2021-09-09,125.16,126.03,124.12,124.29,365636,6364,124.708254,124.84,False,False,8686.0
50,2021-09-10,124.74,127.35,124.58,126.14,465673,9515,126.169413,125.825,False,True,18513.0
51,2021-09-13,126.45,126.52,123.16,124.4,377275,8035,124.481446,125.525,True,False,11431.0
52,2021-09-14,124.97,125.6,123.46,124.23,615837,7678,124.573077,124.49,False,False,26069.0
53,2021-09-15,123.5,125.25,123.47,123.83,506101,9648,124.280757,124.59,True,False,3455.0
54,2021-09-16,123.92,124.7718,123.08,123.71,369180,8017,123.949374,123.835,True,False,10455.0
55,2021-09-17,123.66,123.9,121.16,123.61,875027,10226,123.113317,123.03,False,True,2047.0
56,2021-09-20,122.0,124.0,121.34,121.75,494135,9395,122.204212,123.56,True,False,11859.0
57,2021-09-21,123.23,124.57,122.6701,123.88,425385,7079,123.683792,123.16,False,True,12145.0
58,2021-09-22,124.35,125.4,123.1,123.99,372982,9765,124.334284,124.51,False,False,9880.0
59,2021-09-23,124.68,125.7,123.08,123.85,480769,10767,124.256262,124.93,False,False,18443.0
60,2021-09-24,124.99,127.31,123.77,125.84,417910,8227,126.124387,126.61,True,False,14753.0
61,2021-09-27,125.86,125.89,122.705,123.6,343213,8220,123.638655,123.69,True,False,9574.0
62,2021-09-28,122.84,123.79,121.76,122.7,315535,8640,122.872215,123.5,True,False,16913.0
63,2021-09-29,123.01,125.38,122.24,125.18,297259,9302,124.559288,123.42,True,True,1396.0
64,2021-09-30,125.71,126.39,123.33,123.86,564788,11747,124.853761,125.38,True,False,11811.0
65,2021-10-01,123.68,125.46,122.73,123.44,318613,8984,123.976667,123.23,True,True,4878.0
66,2021-10-04,123.44,125.47,122.17,123.41,366924,8786,123.242213,122.815,False,True,10208.0
67,2021-10-05,123.94,125.82,120.84,120.84,684026,10778,122.409655,124.85,False,False,5680.0
68,2021-10-06,120.0,123.08,119.12,121.69,759054,14176,121.851838,122.46,True,False,16441.0
69,2021-10-07,122.92,126.0,123.1657,125.01,440863,9829,124.798572,125.265,False,False,7168.0
70,2021-10-08,124.665,126.639,123.88,126.37,224416,6593,125.95311,125.71,True,True,3535.0
71,2021-10-11,127.09,128.89,124.78,125.15,278023,7134,126.345895,128.17,False,False,8194.0
72,2021-10-12,125.43,127.535,124.15,125.2,356482,8536,125.322464,126.576,True,False,6695.0
73,2021-10-13,125.22,125.695,123.4701,124.96,207342,5844,124.631534,124.095,False,True,9248.0
74,2021-10-14,125.59,126.73,124.88,126.59,239957,6923,126.163414,125.04,False,True,3816.0
75,2021-10-15,126.53,126.99,124.32,125.54,313455,7783,125.723275,126.38,True,False,4662.0
76,2021-10-18,125.95,127.25,125.19,127.25,198444,6828,126.315349,125.61,False,True,10401.0
77,2021-10-19,128.01,128.98,125.64,125.88,331510,11099,127.216054,128.75,True,False,6192.0
78,2021-10-20,126.88,127.39,125.35,127.03,394828,11034,126.375197,125.98,True,True,10053.0
79,2021-10-21,127.55,127.99,125.69,127.09,339379,10207,126.748862,126.53,True,True,12434.0
80,2021-10-22,126.38,129.34,125.431,129.34,419054,10988,128.403386,127.75,False,True,13146.0
81,2021-10-25,129.71,131.49,128.2201,129.4,330852,9829,130.357831,129.555,True,False,5618.0
82,2021-10-26,128.92,131.92,129.03,131.26,365783,8974,131.096381,130.66,True,True,10417.0
83,2021-10-27,130.88,132.52,129.79,130.14,634146,12933,131.084182,130.54,False,False,29208.0
84,2021-10-28,129.8,131.82,128.5275,131.17,495890,11106,130.404885,129.75,False,True,13321.0
85,2021-10-29,130.8,134.25,129.62,131.94,744838,15724,132.135982,132.505,False,False,27192.0
86,2021-11-01,132.33,133.67,131.1401,133.67,416239,11885,132.647488,132.345,False,True,24368.0
87,2021-11-02,134.12,135.49,132.22,135.07,529027,12288,134.651024,133.6401,True,True,10134.0
88,2021-11-03,135.0,135.07,132.38,134.68,479434,10763,134.169217,134.03,False,True,19775.0
89,2021-11-04,134.11,135.65,131.14,132.52,559509,12952,133.013909,135.61,True,False,7025.0
