,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,85.88,86.39,85.3234,85.73,1443325,16568,85.755051,86.17,True,False,31978.0
1,2021-07-01,86.0,87.76,86.0,87.18,1188574,14832,87.299743,87.4,True,False,24529.0
2,2021-07-02,87.455,87.54,85.44,85.92,982942,10746,86.021266,86.52,False,False,12795.0
3,2021-07-06,85.92,86.19,83.87,84.94,2007681,18681,84.747627,84.6,True,True,34638.0
4,2021-07-07,84.53,85.535,84.31,85.14,1533110,17781,85.040122,84.5,True,True,29558.0
5,2021-07-08,83.85,85.5,83.21,84.25,1226855,14531,84.395868,84.32,True,False,37430.0
6,2021-07-09,85.25,86.27,84.8391,85.83,1551416,17734,85.581938,85.7,False,True,22707.0
7,2021-07-12,85.16,86.14,84.74,85.81,1344053,15070,85.753142,85.91,False,False,29546.0
8,2021-07-13,85.65,85.69,82.89,83.19,1154014,15055,83.591186,84.4,False,False,16349.0
9,2021-07-14,83.275,84.36,83.04,83.49,932634,12246,83.58724,83.82,False,False,19434.0
10,2021-07-15,83.48,84.25,82.75,83.5,1178078,11003,83.458983,83.645,False,False,14545.0
11,2021-07-16,84.31,84.39,82.95,82.96,682108,9591,83.455507,83.855,True,False,11876.0
12,2021-07-19,80.77,81.97,79.84,80.54,1675581,24025,80.433922,80.96,True,False,41635.0
13,2021-07-20,81.06,84.36,80.94,83.86,1265383,17076,83.594527,82.495,False,True,18467.0
14,2021-07-21,84.49,86.19,84.36,85.96,1235588,14587,85.918134,85.445,True,True,13841.0
15,2021-07-22,85.78,86.76,84.99,86.69,1653053,21033,86.172993,85.735,True,True,34700.0
16,2021-07-23,87.64,88.78,86.8613,87.73,1831735,21890,87.908615,88.43,True,False,41575.0
17,2021-07-26,87.74,89.62,87.27,89.2,1308667,18430,89.104115,88.86,False,True,84060.0
18,2021-07-27,89.2,91.44,88.87,91.35,1883675,20384,90.65786,90.725,False,True,40604.0
19,2021-07-28,91.43,91.74,90.165,91.0,1983966,24192,90.984413,90.62,True,True,81581.0
20,2021-07-29,94.5,97.43,94.05,95.56,1883040,22934,95.941219,96.785,False,False,51267.0
21,2021-07-30,96.09,97.22,95.01,96.46,1668060,17832,96.572383,96.41,False,True,41567.0
22,2021-08-02,97.06,97.96,95.36,95.65,1030869,16948,95.934089,95.38,False,True,19442.0
23,2021-08-03,95.66,96.29,94.82,96.21,1160038,18285,95.795655,95.36,True,True,23186.0
24,2021-08-04,96.37,98.37,95.91,96.64,1709942,20772,97.090933,97.18,False,False,40267.0
25,2021-08-05,97.26,98.93,96.9,98.13,1376242,17361,97.988892,98.34,False,False,35601.0
26,2021-08-06,98.51,98.91,96.85,97.75,977894,13291,97.599692,96.88,False,True,20276.0
27,2021-08-09,97.23,97.51,95.94,96.3,1271112,15986,96.314539,96.02,False,True,68071.0
28,2021-08-10,96.33,96.9,95.95,96.31,1337246,13939,96.432607,96.53,False,False,54367.0
29,2021-08-11,96.49,97.0,95.7,96.1,1268042,13714,96.362659,96.85,True,False,22962.0
30,2021-08-12,96.01,96.27,94.9,95.6,1894168,17338,95.460217,95.35,False,True,34008.0
31,2021-08-13,95.26,95.51,94.4,95.38,735463,11940,95.141231,94.61,False,True,17535.0
32,2021-08-16,94.95,94.99,93.71,94.34,1059212,14297,94.219452,94.435,False,False,46048.0
33,2021-08-17,93.72,94.09,92.175,92.92,1476782,17710,92.817692,92.95,False,False,19029.0
34,2021-08-18,92.59,93.21,91.74,91.84,1097635,14080,92.104406,92.885,True,False,24123.0
35,2021-08-19,91.19,91.78,90.04,91.76,1116744,14555,91.23627,90.565,False,True,21240.0
36,2021-08-20,91.08,93.04,90.73,92.66,1180432,15822,92.522219,91.8,False,True,23205.0
37,2021-08-23,93.11,93.26,92.4,93.16,798575,11688,92.984547,92.91,False,True,19978.0
38,2021-08-24,93.2,93.92,92.6,92.89,943306,14923,93.090763,93.085,True,False,19591.0
39,2021-08-25,92.35,94.97,92.1799,94.49,1175596,14476,94.48657,94.4,True,True,31940.0
40,2021-08-26,94.12,94.68,93.3,93.64,965196,13556,93.774427,93.58,False,True,31330.0
41,2021-08-27,94.09,96.12,94.13,95.62,931120,13744,95.477979,94.48,False,True,12560.0
42,2021-08-30,95.62,96.22,95.07,96.02,900683,14779,95.815525,95.84,False,True,15507.0
43,2021-08-31,96.04,97.52,95.89,96.3,2167476,20844,96.441738,96.69,True,False,42079.0
44,2021-09-01,96.69,97.85,95.58,97.35,1625086,17252,97.242215,97.49,True,False,46310.0
45,2021-09-02,97.8,98.11,96.82,97.9,1120746,13736,97.655397,97.16,True,True,30821.0
46,2021-09-03,97.58,98.67,97.5,98.56,1157535,13327,98.266707,97.82,False,True,29312.0
47,2021-09-07,98.03,98.51,97.3,97.98,1631186,20235,97.883987,97.96,False,True,55973.0
48,2021-09-08,97.18,98.39,97.22,98.08,1001517,15264,97.977173,97.48,False,True,38730.0
49,2021-09-09,97.6,99.24,97.42,98.14,1543869,19651,98.579561,99.155,True,False,59778.0
50,2021-09-10,98.74,99.73,96.74,96.91,1242118,18194,97.689072,97.78,False,False,36428.0
51,2021-09-13,97.58,98.54,97.12,98.01,1021221,15549,97.872725,98.225,True,False,22676.0
52,2021-09-14,98.25,98.39,96.17,96.46,1136885,16537,96.68852,96.55,False,False,48250.0
53,2021-09-15,96.26,97.8145,95.98,97.41,877771,14584,97.237068,96.37,False,True,14541.0
54,2021-09-16,97.38,98.21,96.95,97.29,735550,10811,97.48894,97.36,False,False,17018.0
55,2021-09-17,96.92,97.64,95.21,95.78,2249715,15963,95.874081,96.07,False,False,21076.0
56,2021-09-20,94.11,94.66,93.02,94.53,1559037,23169,94.007964,94.0,True,True,54648.0
57,2021-09-21,95.4,95.77,93.56,93.73,1087864,14373,94.172253,94.99,False,False,31571.0
58,2021-09-22,94.62,96.39,94.38,95.85,860443,13070,95.729901,95.3,True,True,19123.0
59,2021-09-23,96.25,97.48,95.955,96.05,1209383,16034,96.429462,96.65,False,False,20119.0
60,2021-09-24,95.86,96.98,95.29,96.52,810394,11949,96.418942,96.49,True,True,37125.0
61,2021-09-27,96.85,97.955,96.06,97.1,1591778,19826,97.242493,97.91,True,False,41463.0
62,2021-09-28,96.49,97.575,95.59,97.08,1322494,16943,96.872688,96.835,True,True,24440.0
63,2021-09-29,97.83,99.01,97.46,98.61,1027377,14963,98.553603,98.57,False,True,23164.0
64,2021-09-30,99.34,99.52,96.8,97.36,1731041,18332,97.814423,99.04,True,False,24865.0
65,2021-10-01,97.95,101.01,97.38,100.45,1579830,19370,100.063526,98.18,False,True,29670.0
66,2021-10-04,100.16,101.66,98.8,99.04,1163299,16612,99.481694,100.24,False,False,36695.0
67,2021-10-05,99.14,100.47,96.84,99.88,1150163,15458,99.569326,99.46,False,True,26626.0
68,2021-10-06,99.33,99.46,95.75,97.09,1799658,22215,97.136399,97.35,False,False,25393.0
69,2021-10-07,98.15,99.93,97.5,98.64,1310517,18160,98.924464,99.1924,False,False,40259.0
70,2021-10-08,98.47,99.13,96.75,97.1,989293,12990,97.513977,98.95,True,False,20468.0
71,2021-10-11,97.41,98.6,96.95,97.69,929761,12507,97.784811,98.23,True,False,26277.0
