,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,25.77,26.48,25.69,26.36,22806711,120241,26.239815,26.345,True,True,949414.0
1,2021-07-01,26.5,26.85,26.12,26.36,19318141,101115,26.443369,26.63,False,False,640652.0
2,2021-07-02,26.3,26.3,25.7,26.06,20492241,109071,25.978938,25.76,False,True,1714113.0
3,2021-07-06,26.06,26.2784,24.93,25.02,30642777,173451,25.271078,25.39,False,False,1627577.0
4,2021-07-07,24.83,25.29,23.87,24.08,36344786,194214,24.306486,24.01,True,True,2658712.0
5,2021-07-08,23.35,24.155,22.84,23.72,37039455,196533,23.574552,23.7388,True,False,1636009.0
6,2021-07-09,24.12,24.34,23.62,24.26,23099927,115274,24.13762,24.063,False,True,952402.0
7,2021-07-12,23.95,24.01,23.555,23.86,23019998,122783,23.832403,23.9082,True,False,861535.0
8,2021-07-13,23.5,23.56,22.82,22.85,27115525,135776,23.114378,23.27,False,False,898724.0
9,2021-07-14,23.02,23.36,22.48,22.58,26583889,132509,22.811653,22.825,False,False,1544255.0
10,2021-07-15,22.3,22.455,21.37,21.95,43199325,190989,21.906392,22.07,False,False,1314986.0
11,2021-07-16,22.29,22.36,20.8,20.92,41457475,179284,21.36183,21.6773,True,False,1547051.0
12,2021-07-19,19.8,20.295,19.19,19.72,84915178,378303,19.729297,19.78,True,False,4088300.0
13,2021-07-20,19.885,21.38,19.62,21.19,68320032,291160,20.673322,20.39,True,True,2969739.0
14,2021-07-21,21.67,23.36,21.67,23.19,76726227,310608,22.832965,22.9216,False,True,5547612.0
15,2021-07-22,22.7,22.88,22.19,22.71,40853993,181657,22.555934,22.6223,True,True,1865829.0
16,2021-07-23,22.71,22.8,21.89,21.96,32614966,144956,22.152974,22.209,True,False,1615836.0
17,2021-07-26,21.8,23.2,21.71,23.16,37036265,163177,22.589831,22.59,False,True,1500498.0
18,2021-07-27,22.92,23.33,22.49,22.8,26480719,129253,22.773615,22.62,False,True,1339137.0
19,2021-07-28,23.16,23.39,22.2,22.82,27044500,131856,22.748933,22.305,True,True,1972503.0
20,2021-07-29,23.07,23.34,22.7,22.71,26431147,120490,22.987518,22.91,True,False,1221912.0
21,2021-07-30,22.22,22.68,21.49,21.65,36745905,153374,21.913554,22.2275,False,False,1249850.0
22,2021-08-02,21.75,22.555,21.355,21.46,34063547,148907,21.864258,21.9558,False,False,1110940.0
23,2021-08-03,21.55,21.6,20.52,21.43,33233568,156580,21.015069,20.74,False,True,1832217.0
24,2021-08-04,20.96,21.69,20.82,21.04,33230856,147568,21.143501,21.21,False,False,1696239.0
25,2021-08-05,21.2,22.65,21.14,22.55,32930644,151895,22.172717,22.08,True,True,2778083.0
26,2021-08-06,22.85,23.1,22.4101,23.08,30740317,130679,22.857779,22.57,False,True,1776896.0
27,2021-08-09,22.805,22.87,21.99,22.71,29934492,125381,22.478431,22.16,False,True,1052060.0
28,2021-08-10,22.74,23.85,22.7173,23.65,34875561,133474,23.416497,23.29,True,True,1506446.0
29,2021-08-11,23.54,24.01,23.07,23.99,29474461,120741,23.728975,23.68,False,True,1554335.0
30,2021-08-12,23.71,23.88,22.96,23.36,29176150,115696,23.270881,23.14,False,True,1705228.0
31,2021-08-13,23.3,23.3799,22.74,22.86,21225025,98040,23.053937,23.1,True,False,918938.0
32,2021-08-16,22.56,22.93,21.94,22.79,25782769,110704,22.557634,22.63,True,True,1414214.0
33,2021-08-17,22.26,22.5,21.66,22.04,26315154,114744,22.096756,22.36,False,False,969284.0
34,2021-08-18,21.97,22.98,21.675,22.48,31020610,133793,22.526212,22.1759,True,True,1171079.0
35,2021-08-19,22.06,22.27,21.34,21.66,27903555,129267,21.709667,21.6399,False,True,1595930.0
36,2021-08-20,21.51,22.02,21.33,21.96,22609154,99859,21.753171,21.35,False,True,1271988.0
37,2021-08-23,22.29,22.99,22.24,22.83,23970032,115630,22.704365,22.525,True,True,874767.0
38,2021-08-24,23.2,24.07,23.2,23.84,32771849,141608,23.755123,23.72,True,True,1136648.0
39,2021-08-25,24.0,24.32,23.4101,24.11,30570385,121974,24.084274,24.1517,True,False,1255247.0
40,2021-08-26,23.79,24.32,23.24,23.47,28723062,124553,23.748991,23.89,False,False,1703723.0
41,2021-08-27,23.55,24.57,23.54,24.35,36659597,132591,24.202554,23.955,True,True,2065904.0
42,2021-08-30,24.58,24.64,23.6,23.63,27621173,123569,23.812932,23.98,True,False,889705.0
43,2021-08-31,23.54,24.19,23.5,24.14,28491938,118776,23.945207,23.835,True,True,921254.0
44,2021-09-01,24.24,24.415,23.3111,23.51,31854989,115220,23.760907,23.97,False,False,870192.0
45,2021-09-02,23.54,24.465,23.1234,24.02,36564205,139818,23.945267,23.78,True,True,1912820.0
46,2021-09-03,23.86,24.145,22.635,22.96,44232752,167521,23.151174,23.6,False,False,1803768.0
47,2021-09-07,22.76,23.5958,22.56,23.56,33567192,128076,23.282537,23.185,False,True,1222165.0
48,2021-09-08,23.57,23.81,22.76,22.78,24531317,111224,23.095221,23.01,False,False,1448914.0
49,2021-09-09,22.8,23.72,22.62,23.28,27179819,124486,23.29593,23.4564,True,False,1360948.0
50,2021-09-10,23.4,23.5,22.72,22.75,25422726,113417,23.005997,22.89,False,False,1265327.0
51,2021-09-13,23.01,23.48,22.24,23.31,36342838,140669,23.045827,23.13,True,True,2556325.0
52,2021-09-14,23.18,23.5,22.7,22.86,24541562,118722,22.962836,22.885,False,False,2014549.0
53,2021-09-15,22.75,23.18,22.36,23.17,21542478,96117,22.807547,22.5259,False,True,927496.0
54,2021-09-16,23.1,23.4268,22.915,23.09,19302156,89965,23.150142,23.13,False,False,743389.0
55,2021-09-17,23.14,23.84,23.14,23.55,33585020,120962,23.544664,23.6292,False,False,1398766.0
56,2021-09-20,23.21,23.4,22.62,23.24,32113499,152014,23.021592,23.0439,True,True,1337261.0
57,2021-09-21,23.42,23.685,22.864,22.96,25590414,114557,23.160739,22.98,False,False,1003097.0
58,2021-09-22,23.21,23.93,23.17,23.61,32136938,146211,23.639552,23.54,True,True,1076751.0
59,2021-09-23,23.97,25.06,23.8987,24.69,48832050,198569,24.662343,24.7502,False,False,3000241.0
60,2021-09-24,24.76,25.95,24.6,25.44,48626910,216439,25.39258,25.78,True,False,4687681.0
61,2021-09-27,26.0,27.39,25.92,26.38,57845751,238510,26.68389,26.7,False,False,3439434.0
62,2021-09-28,26.5,26.99,26.11,26.17,34580558,153627,26.395612,26.5399,True,False,2222274.0
63,2021-09-29,26.45,26.49,25.48,25.52,27272697,124572,25.811251,26.18,True,False,1202370.0
64,2021-09-30,25.41,25.51,24.73,25.01,28478673,135799,24.989585,24.835,True,True,1260633.0
65,2021-10-01,26.11,26.565,25.6701,26.09,36795629,179775,26.024598,25.7808,False,True,1440959.0
66,2021-10-04,26.16,26.419,25.235,25.34,33323784,150842,25.691864,25.63,False,False,2382680.0
67,2021-10-05,25.53,26.01,25.27,25.42,26130045,108305,25.584334,25.95,True,False,1711568.0
68,2021-10-06,25.02,25.14,24.36,24.9,36737224,137134,24.727262,24.4992,True,True,1717729.0
69,2021-10-07,25.23,25.28,24.4,24.49,26204619,108326,24.758446,24.915,False,False,1492963.0
70,2021-10-08,24.54,24.695,23.76,23.83,31993735,126004,24.131524,24.4508,False,False,969381.0
71,2021-10-11,23.73,24.44,23.42,23.88,26584966,109158,24.029383,24.075,False,False,969712.0
72,2021-10-12,23.92,24.37,23.81,24.33,25748176,98635,24.156609,24.0601,True,True,861148.0
73,2021-10-13,24.38,24.4,23.61,23.65,28517524,105090,23.839903,23.8458,False,False,1703459.0
74,2021-10-14,23.88,24.0,23.575,23.73,19382566,86789,23.807559,23.852,True,False,779464.0
75,2021-10-15,24.07,24.415,23.625,23.67,22269289,94484,23.97149,24.03,True,False,742939.0
76,2021-10-18,23.45,23.6,22.82,23.13,36891567,160422,23.05253,23.16,True,False,1650883.0
77,2021-10-19,22.98,23.06,22.27,22.34,50715300,190740,22.498262,22.5,False,False,3308158.0
78,2021-10-20,22.35,22.77,22.14,22.44,26900506,111190,22.45072,22.715,True,False,1588185.0
79,2021-10-21,22.555,22.895,22.215,22.33,26734593,94986,22.483066,22.7033,True,False,868709.0
80,2021-10-22,22.19,22.335,21.85,22.29,28963103,109969,22.116261,22.1,False,True,1152255.0
81,2021-10-25,21.81,22.17,21.715,22.05,26041701,112998,21.962135,22.08,True,False,1054051.0
82,2021-10-26,22.13,22.465,21.66,21.82,25250021,112087,22.049804,22.345,False,False,915493.0
83,2021-10-27,21.88,22.0,21.61,21.64,20664332,92671,21.759445,21.73,False,False,929235.0
84,2021-10-28,21.55,22.08,21.31,21.97,22915769,103642,21.745177,21.67,False,True,862722.0
85,2021-10-29,22.0,22.47,21.77,22.16,26615556,112833,22.045883,21.915,True,True,955223.0
86,2021-11-01,22.29,23.1,22.01,23.07,27208576,113621,22.741968,22.585,False,True,977440.0
87,2021-11-02,22.94,23.065,22.55,22.91,21576862,95509,22.793125,22.77,False,True,1305566.0
88,2021-11-03,22.69,23.33,22.57,23.17,22990798,107352,23.119669,23.19,True,False,1271109.0
89,2021-11-04,23.32,23.4889,22.725,22.88,20186033,91157,22.983314,23.07,False,False,630210.0
90,2021-11-05,24.5,25.29,24.1,24.79,67576757,305616,24.670719,24.195,False,True,2280189.0
91,2021-11-08,24.9,25.07,24.449,24.59,33319827,171090,24.735569,24.9696,True,False,4703233.0
92,2021-11-09,24.5,24.54,23.71,24.17,22660954,115282,24.075972,24.37,False,False,2404250.0
93,2021-11-10,23.77,24.34,23.3101,23.49,21505013,97930,23.76048,23.9684,True,False,1735183.0
