,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,98.29,99.75,95.8,95.92,991925,11382,96.552453,97.275,False,False,14034.0
1,2021-07-01,95.4,96.73,94.95,96.11,772834,12660,96.204916,96.34,False,False,6047.0
2,2021-07-02,97.06,97.91,96.29,97.88,320779,6972,97.549251,97.07,False,True,12210.0
3,2021-07-06,97.89,100.04,97.86,99.23,449485,7605,99.040182,99.99,True,False,11586.0
4,2021-07-07,100.16,100.54,98.49,98.83,402188,6713,99.244376,98.72,False,True,8056.0
5,2021-07-08,96.66,98.75,95.5544,98.11,478793,7869,97.821386,97.38,True,True,23942.0
6,2021-07-09,98.18,99.34,97.355,99.22,403620,5776,98.948974,98.3,True,True,7596.0
7,2021-07-12,99.41,99.85,95.73,96.16,801540,15450,96.705948,97.345,False,False,16258.0
8,2021-07-13,95.865,97.14,95.2575,95.84,497095,8825,96.009006,96.56,True,False,17084.0
9,2021-07-14,96.22,97.4,95.27,96.01,814086,9195,96.132495,96.91,True,False,10810.0
10,2021-07-15,95.39,96.31,94.325,95.4,450493,7470,95.312331,95.385,False,True,9311.0
11,2021-07-16,96.35,97.11,95.11,95.31,318117,6824,95.940663,96.9,True,False,5146.0
12,2021-07-19,93.93,95.81,93.53,95.65,407880,9902,95.106535,94.26,True,True,17247.0
13,2021-07-20,95.74,98.38,95.34,97.6,858744,12188,97.546384,96.26,True,True,22149.0
14,2021-07-21,97.295,97.72,96.25,97.41,709061,10771,97.107819,97.535,True,False,9647.0
15,2021-07-22,98.25,98.8,97.0,98.8,814589,10727,98.044194,98.29,True,True,7048.0
16,2021-07-23,99.0,100.75,99.015,100.35,270912,4974,100.171456,99.27,False,True,6083.0
17,2021-07-26,99.55,100.23,97.71,99.59,289885,5477,99.289505,98.41,False,True,13743.0
18,2021-07-27,99.35,99.565,96.76,98.42,485568,6843,97.80568,97.53,False,True,5544.0
19,2021-07-28,98.36,99.675,97.86,98.59,385889,7773,98.66887,98.34,False,True,7721.0
20,2021-07-29,99.03,99.62,98.01,98.12,362564,6693,98.659052,99.22,False,False,3748.0
21,2021-07-30,97.61,99.62,97.05,98.4,492193,7110,98.683103,98.855,True,False,7807.0
22,2021-08-02,98.66,99.675,98.08,98.52,820454,12548,98.737394,98.33,False,True,58427.0
23,2021-08-03,98.66,98.75,96.53,97.57,712101,11167,97.6077,97.97,False,False,15624.0
24,2021-08-04,98.0,100.38,97.565,100.0,1286826,18699,99.387999,98.57,True,True,31813.0
25,2021-08-05,97.53,99.38,93.32,98.74,1554248,21460,97.790303,96.82,False,True,59910.0
26,2021-08-06,98.86,102.63,97.9,102.5,957317,14585,101.302741,98.97,False,True,18908.0
27,2021-08-09,102.7,107.71,102.53,106.4,1358799,22109,106.117713,105.715,True,True,65712.0
28,2021-08-10,106.48,108.74,104.68,105.73,1825887,15533,106.628506,107.38,False,False,26419.0
29,2021-08-11,104.31,105.585,103.13,105.4,2711824,14340,103.817217,104.695,False,True,39561.0
30,2021-08-12,105.42,107.64,104.62,107.23,580433,8954,106.767425,105.81,True,True,29141.0
31,2021-08-13,107.69,107.7874,105.63,106.38,412127,7277,106.376903,107.02,False,False,9380.0
32,2021-08-16,105.82,107.02,103.78,106.42,693769,8846,105.905087,105.81,True,True,13959.0
33,2021-08-17,104.92,106.15,104.41,105.61,480533,9818,105.441163,105.49,True,True,11749.0
34,2021-08-18,105.41,106.2075,105.15,105.43,622248,10275,105.69883,105.65,True,False,11340.0
