,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,175.37,176.99,174.38,174.65,593744,13316,175.212647,176.695,True,False,15762.0
1,2021-07-01,174.62,176.69,173.43,175.8,536255,12168,175.77967,175.46,False,True,11938.0
2,2021-07-02,176.43,177.684,176.12,176.89,409035,11438,176.997002,176.76,True,True,8741.0
3,2021-07-06,176.45,176.98,173.955,175.97,953885,14483,175.767442,174.6,True,True,10182.0
4,2021-07-07,176.98,178.95,175.23,178.83,618946,13030,177.85347,175.36,False,True,14277.0
5,2021-07-08,177.14,179.57,176.0,176.83,659997,16000,177.504596,177.86,True,False,13823.0
6,2021-07-09,176.24,178.61,176.07,177.98,773660,15308,177.790967,178.02,False,False,13836.0
7,2021-07-12,178.35,178.54,175.75,176.33,626871,14190,176.441857,176.4,False,False,11948.0
8,2021-07-13,176.46,177.02,173.87,174.16,651163,14922,174.845762,175.91,True,False,8969.0
9,2021-07-14,175.07,176.77,174.99,176.05,701241,12920,176.090695,175.9,True,True,11632.0
10,2021-07-15,175.71,175.66,173.98,175.36,433895,11184,174.924156,174.3,False,True,30611.0
11,2021-07-16,176.07,177.4099,174.3,174.44,445177,9659,175.331542,175.8,False,False,7161.0
12,2021-07-19,171.95,173.95,171.33,172.43,594796,14162,172.420116,172.97,True,False,17970.0
13,2021-07-20,172.89,177.76,172.59,176.24,623067,12905,176.289149,175.72,True,True,17546.0
14,2021-07-21,176.61,177.94,175.96,177.25,548323,11825,177.227082,176.725,False,True,10370.0
15,2021-07-22,177.77,177.94,176.635,177.46,457381,10851,177.262104,177.68,True,False,7587.0
16,2021-07-23,178.56,181.06,177.96,180.95,366872,8903,179.935383,178.555,True,True,5963.0
17,2021-07-26,181.61,182.4,180.22,181.58,452880,9974,181.398258,180.61,False,True,7523.0
18,2021-07-27,180.55,182.49,178.88,181.3,532989,12792,180.650887,181.18,False,True,10711.0
19,2021-07-28,181.62,182.155,179.56,180.32,540616,11603,180.660876,180.0,False,True,21135.0
20,2021-07-29,181.8,183.78,180.83,183.11,411108,11067,182.9909,182.63,False,True,10642.0
