,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,78.46,78.75,77.67,78.16,1663136,19034,78.064277,77.9649,True,True,56328.0
1,2021-07-01,78.16,78.74,78.04,78.49,4022874,35769,78.514801,78.475,False,True,138784.0
2,2021-07-02,78.57,79.585,78.455,79.46,4644398,39911,79.043055,78.505,False,True,219822.0
3,2021-07-06,79.73,79.94,78.74,79.56,2725844,25647,79.434372,79.01,True,True,58370.0
4,2021-07-07,79.91,80.32,79.64,80.22,3271478,29541,80.103673,79.935,True,True,104245.0
5,2021-07-08,80.06,80.39,79.37,79.74,2104892,26971,79.68614,79.52,False,True,98760.0
6,2021-07-09,79.5,80.035,79.43,79.57,2094024,22495,79.699556,79.89,False,False,56146.0
7,2021-07-12,79.75,80.25,79.43,80.01,1628334,20369,80.012628,80.07,True,False,29574.0
8,2021-07-13,80.15,80.41,79.59,79.72,1471696,20528,79.857328,79.95,False,False,36543.0
9,2021-07-14,79.39,79.86,79.2008,79.62,1284504,17722,79.530192,79.61,True,True,60825.0
10,2021-07-15,79.36,79.71,78.982,79.5,1484245,20637,79.471388,79.15,True,True,56885.0
11,2021-07-16,79.5,79.69,76.92,77.46,3924011,37287,77.689309,77.75,False,False,171723.0
12,2021-07-19,77.27,77.87,76.07,76.72,2931517,34749,76.871232,77.39,False,False,70639.0
13,2021-07-20,76.93,78.71,76.845,77.81,2522229,34624,77.98557,78.27,False,False,79058.0
14,2021-07-21,77.84,78.07,77.1455,77.69,1560065,20770,77.692896,77.55,False,True,73609.0
15,2021-07-22,77.87,78.2,77.56,78.06,1781435,21253,77.977982,77.86,True,True,56138.0
16,2021-07-23,77.5,78.555,77.34,78.41,2020443,26122,78.161486,77.78,True,True,54426.0
17,2021-07-26,78.35,78.83,77.67,78.29,2095523,25130,78.149187,77.81,True,True,90220.0
18,2021-07-27,78.36,79.49,78.3,79.35,2628347,31855,78.990758,79.135,True,True,90868.0
19,2021-07-28,79.23,79.47,78.68,78.76,3248134,24574,78.873749,79.06,False,False,40820.0
20,2021-07-29,78.83,79.36,77.58,78.53,2715008,29654,78.387788,78.39,False,True,53225.0
21,2021-07-30,80.03,80.815,79.22,80.39,3291981,34428,80.154825,79.42,False,True,104586.0
22,2021-08-02,80.04,80.22,79.44,80.11,1863675,28024,79.959664,79.87,False,True,47321.0
23,2021-08-03,80.11,81.97,79.93,81.91,2208896,29893,81.548341,81.055,False,True,83012.0
24,2021-08-04,81.91,82.0,80.065,80.09,2008691,25920,80.519962,81.32,True,False,108292.0
25,2021-08-05,80.35,80.46,79.26,79.9,1423783,18210,79.745997,79.445,False,True,46024.0
26,2021-08-06,79.9,80.395,79.7,80.0,1261648,16867,80.056027,80.16,True,False,29807.0
27,2021-08-09,79.87,80.23,79.575,80.0,1530386,16203,79.904266,79.9,True,True,32006.0
28,2021-08-10,79.71,80.22,78.71,79.1,1438617,19869,79.10103,79.14,False,False,64328.0
29,2021-08-11,79.33,79.82,79.17,79.48,983191,16651,79.520864,79.45,False,True,24715.0
30,2021-08-12,79.32,79.92,79.32,79.54,1094923,16185,79.611649,79.76,True,False,25516.0
31,2021-08-13,79.38,79.98,79.21,79.63,798471,13358,79.720556,79.8222,False,False,22413.0
32,2021-08-16,79.82,80.33,79.6,80.15,1173137,15715,80.037464,80.09,True,True,48937.0
33,2021-08-17,79.86,80.85,79.76,80.78,1350943,16513,80.484416,79.89,False,True,30818.0
34,2021-08-18,80.75,80.97,79.3,79.36,1745260,23580,79.803895,80.23,False,False,35900.0
35,2021-08-19,79.39,80.35,78.9611,79.62,1529815,21782,79.70892,79.77,False,False,33923.0
36,2021-08-20,79.89,80.18,78.75,78.96,2426156,27921,79.434873,80.1025,True,False,267959.0
37,2021-08-23,78.94,79.08,77.615,77.92,2291851,30614,78.002556,78.15,False,False,52757.0
38,2021-08-24,77.92,77.97,76.99,77.19,1769721,22695,77.278443,77.41,False,False,53683.0
39,2021-08-25,77.22,77.36,75.74,76.51,3315439,34822,76.640237,76.34,True,True,75035.0
40,2021-08-26,76.45,76.66,75.83,76.07,1539958,21352,76.178059,76.49,True,False,45343.0
41,2021-08-27,76.18,77.0,75.97,76.84,1325477,19084,76.816571,76.78,False,True,49430.0
42,2021-08-30,76.87,77.15,76.15,76.22,994914,17076,76.444823,77.0,True,False,22885.0
43,2021-08-31,76.17,76.74,75.76,76.35,1780681,25224,76.311869,76.365,False,False,25068.0
44,2021-09-01,76.52,76.63,75.54,76.08,1241509,18185,76.014615,75.86,False,True,25640.0
45,2021-09-02,76.16,76.32,75.57,76.3,1231482,17129,76.050379,75.72,False,True,33567.0
46,2021-09-03,76.28,76.34,75.45,75.69,1818693,20233,75.758406,75.88,True,False,19467.0
47,2021-09-07,75.81,76.655,75.5675,75.79,1936513,27822,75.931674,76.045,True,False,92264.0
48,2021-09-08,75.96,76.19,75.5,75.67,1653956,23138,75.741299,75.77,False,False,45868.0
49,2021-09-09,75.77,76.19,75.03,75.05,1373371,20097,75.397621,76.03,False,False,32225.0
50,2021-09-10,75.0,75.24,73.95,74.45,1654332,25720,74.463135,73.98,False,True,64404.0
51,2021-09-13,74.42,74.71,73.775,74.5,1908466,28412,74.264532,74.18,False,True,53131.0
52,2021-09-14,74.8,74.96,73.55,73.92,1977948,27422,73.9422,74.285,True,False,72191.0
53,2021-09-15,73.97,74.94,73.87,74.23,2533616,28905,74.432066,74.78,True,False,62618.0
54,2021-09-16,74.14,74.4,72.96,74.02,2095423,29004,73.82745,73.09,False,True,65996.0
55,2021-09-17,74.06,75.68,73.92,75.04,8136727,39674,74.957416,74.25,False,True,35703.0
56,2021-09-20,74.95,75.15,73.24,73.69,2108705,27256,73.94523,74.7,False,False,39859.0
57,2021-09-21,73.72,74.31,73.33,73.35,1505391,17890,73.580096,73.95,True,False,31377.0
58,2021-09-22,73.81,73.6,72.865,72.96,1411572,18751,73.125742,73.29,False,False,26266.0
59,2021-09-23,73.1,73.75,72.89,73.17,1949938,26724,73.274688,73.38,False,False,49412.0
60,2021-09-24,72.9,73.44,72.7,72.98,1577648,19310,73.05539,73.05,False,False,25278.0
