,date,open,high,low,close,volume,trade_count,vwap,15min_close,is_positive_start,is_positive_end,15min_volume
0,2021-06-30,49.2,51.57,49.2,51.45,4115992,34164,50.619418,49.725,True,True,94944.0
1,2021-07-01,53.74,54.54,52.05,52.42,2777083,32940,52.875763,53.41,True,False,78412.0
2,2021-07-02,52.35,52.4,51.15,51.59,1511685,20171,51.619362,51.3,False,True,38536.0
3,2021-07-06,51.35,51.66,49.215,49.84,2114809,23278,49.856241,49.4901,False,True,77447.0
4,2021-07-07,49.58,50.72,48.97,50.09,1556719,20223,49.863326,49.03,False,True,153883.0
5,2021-07-08,49.18,50.48,48.34,49.65,1847457,17740,49.453078,49.035,True,True,45641.0
6,2021-07-09,50.31,51.12,49.97,50.66,1266479,14997,50.696462,50.835,False,False,79060.0
7,2021-07-12,49.87,50.95,49.5,50.6,1204721,14482,50.53347,50.61,False,False,38187.0
8,2021-07-13,50.26,50.61,49.32,49.77,1154649,17196,49.724949,49.5,False,True,29401.0
9,2021-07-14,49.89,50.555,49.29,49.59,944143,13272,49.659803,49.6799,False,False,22037.0
10,2021-07-15,49.09,49.92,48.675,49.04,915801,11060,49.168123,49.495,True,False,25942.0
11,2021-07-16,49.44,49.63,46.77,47.16,2296976,24458,47.431079,47.38,False,False,101865.0
12,2021-07-19,45.86,46.33,45.24,45.97,1727005,22065,45.796384,46.18,True,False,44464.0
13,2021-07-20,46.2,47.54,45.75,46.95,1608490,19184,46.999779,47.05,False,False,109416.0
14,2021-07-21,47.8,47.94,47.14,47.9,2344609,23578,47.579319,47.42,True,True,52908.0
15,2021-07-22,47.29,47.6,46.56,47.22,1378406,16602,47.156307,46.94,True,True,82033.0
16,2021-07-23,47.55,47.86,46.67,47.31,1805918,18072,47.156799,47.32,True,False,37705.0
17,2021-07-26,47.52,47.815,46.67,47.68,1823621,21659,47.487489,47.305,False,True,50557.0
18,2021-07-27,47.0,47.9,46.05,47.37,2272851,18571,47.264703,47.68,True,False,38818.0
19,2021-07-28,47.56,48.17,47.01,47.72,1435789,19579,47.83256,47.22,True,True,28918.0
20,2021-07-29,48.41,48.39,47.37,47.63,1604305,20556,47.783295,47.76,False,False,81063.0
21,2021-07-30,48.03,49.08,47.17,47.25,4308127,34429,47.543389,47.68,False,False,35088.0
22,2021-08-02,47.45,47.75,45.91,45.96,2766601,30769,46.430485,46.88,False,False,55312.0
23,2021-08-03,46.28,46.57,44.94,46.45,2847165,22439,46.291631,46.23,True,True,40134.0
24,2021-08-04,46.21,46.58,44.915,45.05,2454773,24405,45.405046,46.29,False,False,44408.0
25,2021-08-05,45.21,45.93,45.08,45.19,1754755,17551,45.390705,45.53,False,False,70580.0
26,2021-08-06,45.81,46.345,45.5,46.19,2050425,20053,46.052038,45.76,False,True,42286.0
27,2021-08-09,46.25,47.25,45.64,47.07,3723522,31214,46.918297,46.52,False,True,61097.0
28,2021-08-10,46.47,48.74,46.3,47.82,3691771,38998,47.918148,48.4,False,False,125568.0
29,2021-08-11,48.3,49.17,47.6,48.31,2403962,28713,48.352784,48.5,True,False,75804.0
